Author List,Full name,Authors and Orcid,Authors without a orcid,Publication Title,Conf/Journal Details,Year,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
"Poncelas, Alberto, Lohar, Pintu, Way, Andy, Hadley, James","Alberto Poncelas, Pintu Lohar, Andy Way, James Hadley","Poncelas, Alberto, ORCID: 0000-0002-5089-1687, Way, Andy, ORCID: 0000-0001-5736-5930, Hadley, James, ORCID: 0000-0003-1950-2679","Lohar, Pintu",The impact of indirect machine translation on sentiment classification.,"The 14th biennial conference of the Association for Machine Translation in the Americas, AMTA, 6-10 Oct 2020, Orlando, Fl, USA (Virtual). (In Press)",2020,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Computational linguistics. Computer Science > Machine translating. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,24951,27 Aug 2020 13:32 by  Alberto Poncelas. Last Modified 27 Aug 2020 13:32,"Proceedings of Association for Machine Translation in the Americas, AMTA (2020)..",,,© 2020 The Authors,"SFI Research Centres Programme (Grant 13/RC/2106), Irish Research Council’s COALESCE scheme (COALESCE/2019/117)",,,
"Basereh, Maryam, Brennan, Rob, Corrigan, Siobhan, Abgaz, Yalemisew","Maryam Basereh, Rob Brennan, Siobhan Corrigan, Yalemisew Abgaz","Brennan, Rob, ORCID: 0000-0001-8236-362X, Corrigan, Siobhan, ORCID: 0000-0003-2046-8252, Abgaz, Yalemisew, ORCID: 0000-0002-3887-5342","Basereh, Maryam",A risk governance framework for healthcare decision support systems based on socio-technical analysis.,"CPAIE2020, Critical Perspectives on Artificial Intelligence Ethics 2020, 22-23 Oct 2020, Edinburgh, Scotland.",2020,,,Conference or Workshop Item (Poster),Conference,No,,,,Computer Science > Artificial intelligence,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24651,18 Jun 2020 16:45 by  Vidatum Academic. Last Modified 18 Jun 2020 16:45,,,,© 2020 The Authors,"Science Foundation Ireland through ADAPT grant number 13/RC/2106, Science Foundation Ireland through D-REAL Centre for Research Training [grant 18/CRT6225], European Regional Development Fund",,,
"Prabhu, Ghanashyama, O'Connor, Noel E., Moran, Kieran","Ghanashyama Prabhu, Noel E. O'Connor, Kieran Moran","Prabhu, Ghanashyama, ORCID: 0000-0003-2836-9734, O'Connor, Noel E., ORCID: 0000-0002-4033-9135, Moran, Kieran, ORCID: 0000-0003-2015-8967",,Recognition and repetition counting for local muscular endurance exercises in exercise-based rehabilitation: a comparative study using artificial Intelligence models.,"Sensor-Based Systems for Kinematics and Kinetics, 20 (17)",2020,,1424-8220,Article (Published),,Yes,,,"exercise-based rehabilitation; local muscular endurance exercises; deep learning; AlexNet;
CNN; SVM; kNN; RF; MLP; PCA; multi-class classification; INSIGHT-LME dataset",Computer Science > Artificial intelligence. Computer Science > Machine learning. Engineering > Electronic engineering. Medical Sciences > Exercise. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. DCU Faculties and Schools > Faculty of Science and Health > School of Health and Human Performance. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,24945,27 Aug 2020 09:26 by  Ghanashyama Prabhu. Last Modified 27 Aug 2020 09:26,,MDPI,http://dx.doi.org/10.3390/s20174791,"© 2020 The Authors. CC-BY-4.0 This is an open access article distributed under the Creative Commons Attribution License which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited",,Article 4791,,
"Svorobej, Sergej, Bendechache, Malika, Griesinger, Frank, Domaschka, Jörg","Sergej Svorobej, Malika Bendechache, Frank Griesinger, Jörg Domaschka","Svorobej, Sergej, ORCID: 0000-0001-8900-8700, Bendechache, Malika, ORCID: 0000-0003-0069-1860","Griesinger, Frank, Domaschka, Jörg",Orchestration from the cloud to the edge.,"Lynn, Theo Mooney, John G., Lee, Brian and Endo, Patricia Takako (eds.) The Cloud-to-Thing Continuum. Palgrave Studies in Digital Business & Enabling Technologies . Palgrave Macmillan, London, UK, pp. 61-77",2020,978-3-030-41110-7,,Book Section,,Yes,,,"cloud computing; edge computing; fog computing, orchestration; management; container orchestration; orchestration tools; orchestration standards; orchestration challenges; orchestration architectures",Computer Science > Computer simulation. Computer Science > Information technology. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. Research Initiatives and Centres > ADAPT. ,,24835,21 Jul 2020 11:21 by  Malika Bendechache. Last Modified 21 Jul 2020 11:21,,Palgrave Macmillan,http://dx.doi.org/10.1007/978-3-030-41110-7,© 2020 The Editors and The Authors. Open Access,,,,
"Gupta, Kamal Kumar, Haque, Rejwanul, Ekbal, Asif, Bhattacharyya, Pushpak, Way, Andy","Kamal Kumar Gupta, Rejwanul Haque, Asif Ekbal, Pushpak Bhattacharyya, Andy Way","Haque, Rejwanul, ORCID: 0000-0003-1680-0099, Way, Andy, ORCID: 0000-0001-5736-5930","Gupta, Kamal Kumar, Ekbal, Asif, Bhattacharyya, Pushpak",Syntax-informed interactive neural machine translation.,"The International Joint Conference on Neural Networks (IJCNN), 19-24 July 2020, Glasgow, UK (Online). (In Press)",2020,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Computational linguistics. Computer Science > Computer engineering. Computer Science > Machine learning. Computer Science > Machine translating. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,24560,22 Jul 2020 12:52 by  Rejwanul Haque. Last Modified 27 Aug 2020 13:43,In IJCNN 2020: Proceedings of the International Joint Conference on Neural Networks..  IEEE.,IEEE,https://2020.wcci-virtual.org/presentation/poster/syntax-informed-interactive-neural-machinetranslation,© 2020 The Authors,"Science Foundation Ireland (SFI) Research Centres Programme (Grant No. 13/RC/2106), European Regional Development Fund, Young Faculty Research Fellowship (YFRF), supported by Visvesvaraya PhD scheme for Electronics and IT, Ministry of Electronics and Information Technology (MeitY), Government of India, being implemented by Digital India Corporation (formerly MediaLab Asia)",,,
"Haque, Rejwanul, Moslem, Yasmin, Way, Andy","Rejwanul Haque, Yasmin Moslem, Andy Way","Haque, Rejwanul, ORCID: 0000-0003-1680-0099, Way, Andy, ORCID: 0000-0001-5736-5930","Moslem, Yasmin",The ADAPT system description for the STAPLE 2020 English-to-Portuguese translation task.,"4th Workshop on Neural Generation and Translation (WNGT 2020), 10 July 2020, Seattle, WA, USA (Online). (In Press)",2020,,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Computational linguistics. Computer Science > Computer engineering. Computer Science > Machine learning. Computer Science > Machine translating. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24562,25 Jun 2020 16:22 by  Rejwanul Haque. Last Modified 25 Jun 2020 16:22,Proceedings of the Fourth Workshop on Neural Generation and Translation..  Association for Computational Linguistics (ACL).,Association for Computational Linguistics (ACL),https://www.aclweb.org/anthology/2020.ngt-1.17,© 2020 The Authors,"Science Foundation Ireland (SFI) Research Centres Programme (Grant No. 13/RC/2106), European Regional Development Fund, European Union’s Horizon 2020 research and innovation programme under the Marie Skłodowska-Curie grant agreement No. 713567, Science Foundation Ireland (SFI) Grant Number 13/RC/2077.",https://sharedtask.duolingo.com/papers/haque.staple20.pdf,,
"Alfano, Marco, Lenzitti, Biagio, Taibi, Davide, Helfert, Markus","Marco Alfano, Biagio Lenzitti, Davide Taibi, Markus Helfert","Alfano, Marco, ORCID: 0000-0001-7200-9547, Lenzitti, Biagio, ORCID: 0000-0003-2664-7788, Taibi, Davide, ORCID: 0000-0002-0785-6771, Helfert, Markus, ORCID: 0000-0001-6546-6408",,Language complexity in on-line health information retrieval.,"18th International Conference on Web-Based Learning, 2-4 May 2019, Heraklion, Crete, Greece",2020,978-3-030-52677-1,,Conference or Workshop Item (Paper),Conference,Yes,,,"Patient empowerment; E-Health, Health Information Seeking; User Requirements; Language Complexity; Structured Data on the Web",Business > Knowledge management. Business > Consumer behaviour. Computer Science > Computer software. Computer Science > Information retrieval. Medical Sciences > Health. Social Sciences > Communication. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24933,13 Aug 2020 12:14 by  Marco Alfano. Last Modified 13 Aug 2020 12:14,"Ziefle, Martina and Maciaszek, Leszek A., (eds.)Information and Communication Technologies for Ageing Well and e-Health. ICT4AWE 2019. Communications in Computer and Information Science1219.  Springer. ISBN 978-3-030-52677-1",Springer,https://doi.org/10.1007/978-3-030-52677-1_5,© 2020 The Authors,"European Union’s Horizon 2020 research and innovation programme under the Marie Skłodowska-Curie grant agreement No 754489, Science Foundation Ireland grant 13/RC/2094 with a co-fund of the European Regional Development Fund through the Southern & Eastern Regional Operational Programme to Lero - the Irish Software Research Centre",,4,
"Smeaton, Alan",Alan Smeaton,"Smeaton, Alan, ORCID: 0000-0003-1028-8389",,Generative forms of multimedia content. (Opening keynote talk).,"IEEE International Conference on Multimedia and Expo - ICME 2020, 6-9 July 2020, London, UK (virtual).",2020,,,Conference or Workshop Item (Invited Talk),Conference,No,,,,Computer Science > Multimedia systems,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24751,08 Jul 2020 16:21 by  Alan Smeaton. Last Modified 08 Jul 2020 16:21,,,,© 2020 The Author,Science Foundation Ireland,Video recording of the presentation is available at https://2020.ieeeicme-virtual.org/presentation/keynote/keynote-1-generative-forms-multimedia-content-alan-smeaton,,
"Wagner, Joachim, Barry, James, Foster, Jennifer","Joachim Wagner, James Barry, Jennifer Foster","Wagner, Joachim, ORCID: 0000-0002-8290-3849, Barry, James, ORCID: 0000-0003-3051-585X, Foster, Jennifer, ORCID: 0000-0002-7789-4853",,Treebank embedding vectors for out-of-domain dependency parsing.,"58th Annual Meeting of the Association for Computational Linguistics (ACL 2020), 05-10 Jul 2020, Online (virtual conference).",2020,,,Conference or Workshop Item (Paper),Conference,Yes,,,dependency parsing,Computer Science > Computational linguistics,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,24861,27 Aug 2020 14:05 by  Joachim Wagner. Last Modified 27 Aug 2020 14:05,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics..  Association for Computational Linguistics (ACL).,Association for Computational Linguistics (ACL),http://dx.doi.org/10.18653/v1/2020.acl-main.778,© 2020 The Authors CC-BY-4.0,"Science Foundation Ireland (SFI) Research Centres Programme (Grant 13/RC/2106), European Regional Development Fund",,,
"Bhattacharjee, Santanu, Haque, Rejwanul, Maillette de Buy Wenniger, Gideon, Way, Andy","Santanu Bhattacharjee, Rejwanul Haque, Gideon Maillette de Buy Wenniger, Andy Way","Haque, Rejwanul, ORCID: 0000-0003-1680-0099, Way, Andy, ORCID: 0000-0001-5736-5930","Bhattacharjee, Santanu, Maillette de Buy Wenniger, Gideon",Investigating query expansion and coreference resolution in question answering on BERT.,"25th International Conference on Natural Language & Information Systems (NLDB 2020)), 24 - 26 June 2020, Saarbrücken, Germany (Online)",2020,978-3-030-51309-2,,Conference or Workshop Item (Paper),Conference,Yes,,,query expansion; coreference resolution; question answering;  information retrieval;  machine translation;  neural machine translation,Computer Science > Computational linguistics. Computer Science > Computer engineering. Computer Science > Information retrieval. Computer Science > Machine learning. Computer Science > Machine translating. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24561,25 Jun 2020 16:16 by  Rejwanul Haque. Last Modified 25 Jun 2020 16:16,"Natural Language Processing and Information Systems, NLDB 2020. Lecture Notes in Computer Science12089.  Springer. ISBN 978-3-030-51309-2",Springer,http://dx.doi.org/10.1007/978-3-030-51310-8_5,© 2020 The Authors,"Science Foundation Ireland (SFI) Research Centres Programme (Grant No. 13/RC/2106), European Regional Development Fund, European Union’s Horizon 2020 research and innovation programme under the Marie Skłodowska-Curie grant agreement No. 713567, Science Foundation Ireland (SFI) Grant Number 13/RC/2077",,8,
