Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Alan F. Smeaton,Utilising Visual Attention Cues for Vehicle Detection and Tracking,"Feiyan Hu, Noel O’Connor, Alan F. Smeaton, Suzanne Little",arXiv preprint arXiv:2008.00106  Accepted to International Conference on …,0,2020
Alan F. Smeaton,MultiMWE: Building a Multi-lingual Multi-Word Expression (MWE) Parallel Corpora,"Lifeng Han, Gareth Jones, Alan F. Smeaton",Proceedings of The 12th Language Resources and Evaluation Conference …,0,2020
Alan F. Smeaton,Chroma Intra Prediction with attention-based CNN architectures,"Marc Górriz, Saverio Blasi, Alan F. Smeaton, Noel O’Connor, Marta Mrak",27th IEEE International Conference on Image Processing 25-28 Oct 2020 Abu …,0,2020
Alan F. Smeaton,Use of neural signals to evaluate the quality of generative adversarial network performance in facial image generation,"Zhengwei Wang, Graham Healy, Alan F. Smeaton, Tomas Ward",Cognitive Computation 12 (1) 13-24,10,2020
Alan F. Smeaton,A Neuro-AI Interface for Evaluating Generative Adversarial Networks,"Zhengwei Wang, Qi She, Alan F. Smeaton, Tomas Ward, Graham Healy",arXiv preprint arXiv:2003.03193,2,2020
Alan F. Smeaton,CNNs for Heart Rate Estimation and Human Activity Recognition in Wrist Worn Sensing Applications,"Eoin Brophy, Willie Muehlhausen, Alan F. Smeaton, Tomas Ward",2020 IEEE International Conference on Pervasive Computing and Communications …,0,2020
Alan F. Smeaton,Optimised Convolutional Neural Networks for Heart Rate Estimation and Human Activity Recognition in Wrist Worn Sensing Applications,"Eoin Brophy, Willie Muehlhausen, Alan F. Smeaton, Tomas Ward",arXiv preprint arXiv:2004.00505,0,2020
Alan F. Smeaton,Experiences and Insights from the Collection of a Novel Multimedia EEG Dataset,"Graham Healy, Zhengwei Wang, Tomas Ward, Alan F. Smeaton, Cathal Gurrin",International Conference on Multimedia Modeling Daejeon S Korea 475-486,2,2020
Alan F. Smeaton,Investigating Class-Level Difficulty Factors In Multi-Label Classification Problems,"Mark Marsden, Kevin McGuinness, Joseph Antony, Haolin Wei, Milan Redžić, Jian Tang, Zhilan Hu, Alan F. Smeaton, Noel O’Connor",2020 IEEE International Conference on Multimedia and Expo (ICME) 1-6,0,2020
Alan F. Smeaton,Generative forms of multimedia content,Alan F. Smeaton,Opening keynote talk presented at IEEE International Conference on …,0,2020
Alan F. Smeaton,Using Online Implicit Association Tests in Opinion Polling,"Alan F. Smeaton, Hyowon Lee, Niamh Morris, David Hanley",arXiv preprint arXiv:2007.04183,0,2020
Alan F. Smeaton,Tracking Skin Colour and Wrinkle Changes During Cosmetic Product Trials Using Smartphone Images,"Alan F. Smeaton, Swathikiran Srungavarapu, Cyril Messaraa, Claire Tansey",Skin Research & Technology 1-8,0,2020
Alan F. Smeaton,Synthetic-Neuroscore: Using a neuro-AI interface for evaluating generative adversarial networks,"Zhengwei Wang, Qi She, Alan F. Smeaton, Tomas Ward, Graham Healy",Neurocomputing 405 26-36,3,2020
Alan F. Smeaton,Interpreting CNN for Low Complexity Learned Sub-pixel Motion Compensation in Video Coding,"Luka Murn, Saverio Blasi, Alan F. Smeaton, Noel O’Connor, Marta Mrak",27th IEEE International Conference on Image Processing 25-28 Oct 2020 Abu …,0,2020
Alan F. Smeaton,Detecting students-at-risk in computer programming classes with learning analytics from students’ digital footprints,"David Azcona, I-Han Hsiao, Alan F. Smeaton",User Modeling and User-Adapted Interaction 29 (4) 759-788,7,2019
Alan F. Smeaton,Saliency guided 2D-object annotation for instrumented vehicles,"Venkatesh Gurum Munirathnam, Feiyan Hu, Noel O’Connor, Alan F. Smeaton, Zhen Yang, Suzanne Little",IEEE,0,2019
Alan F. Smeaton,Assistive technology: Understanding the needs and experiences of individuals with autism spectrum disorder and/or intellectual disability in Ireland and the UK,"Sean J O’Neill, Sinead Smyth, Alan F. Smeaton, Noel O’Connor",Assistive Technology 109,5,2019
Alan F. Smeaton,Gender diversity in SIGMM: we'll just leave this here as well,Alan F. Smeaton,ACM SIGMultimedia Records 10 (4) 1-1,0,2019
Alan F. Smeaton,Report from the SIGMM Emerging Leaders Symposium 2018,"Alan F. Smeaton, Hanwang Zhang, Michael Riegler, Jia Jia, Liqiang Nie",ACM SIGMultimedia Records 10 (4) 2,0,2019
Alan F. Smeaton,user2code2vec: Embeddings for Profiling Students Based on Distributional Representations of Source Code,"David Azcona, Piyush Arora, I-Han Hsiao, Alan F. Smeaton",Proceedings of the 9th International Conference on Learning Analytics …,6,2019
Alan F. Smeaton,Neuroscore: A Brain-inspired Evaluation Metric for Generative Adversarial Networks,"Zhengwei Wang, Qi She, Alan F. Smeaton, Tomas Ward, Graham Healy",arXiv preprint arXiv:1905.04243,8,2019
Alan F. Smeaton,Unlocking the black box of wearable intelligence: ethical considerations and social impact,"Lauri Tuovinen, Alan F. Smeaton",IEEE Congress on Evolutionary Computation Wellington New Zealand,3,2019
Alan F. Smeaton,Issues of Informed Consent from Persons with Dementia When Employing Assistive Technologies,"Peter Novitzky, Cynthia Chen, Alan F. Smeaton, Renaat Verbruggen, Bert Gordijn",Intelligent Assistive Technologies for Dementia: Clinical Ethical Social …,1,2019
Alan F. Smeaton,End-to-End Conditional GAN-based Architectures for Image Colourisation,"Marc Górriz, Marta Mrak, Alan F. Smeaton, Noel O’Connor",IEEE 21st International Workshop on Multimedia Signal Processing Kuala …,1,2019
Alan F. Smeaton,Exploring the Impact of Training Data Bias on Automatic Generation of Video Captions,"Alan F. Smeaton, Yvette Graham, Kevin McGuinness, Noel O’Connor, Sean Quinn, Eric Arazo Sanchez",International Conference on Multimedia Modeling 178-190,0,2019
Alan F. Smeaton,Saliency guided 2D-object annotation for instrumented vehicles,"Venkatesh Gurum Munirathnam, Feiyan Hu, Noel O’Connor, Alan F. Smeaton, Zhen Yang, Suzanne Little",Proceedings of the 17th IEEE Content Based Multimedia Indexing (CBMI …,0,2019
Alan F. Smeaton,Predicting media memorability using ensemble models,"David Azcona, Enric Moreu, Feiyan Hu, Tomas Ward, Alan F. Smeaton",In Proceedings of the MediaEval Benchmarking Initiative for Multimedia …,1,2019
Alan F. Smeaton,Recognising Irish sign language using electromyography,"Laura Christina Galea, Alan F. Smeaton",Proceedings of the 17th IEEE Content Based Multimedia Indexing (CBMI …,1,2019
Alan F. Smeaton,"Advances in Visual Informatics: 6th International Visual Informatics Conference, IVIC 2019, Bangi, Malaysia, November 19–21, 2019, Proceedings","Halimah Badioze Zaman, Alan F. Smeaton, Timothy K Shih, Sergio Velastin, Tada Terutoshi, Nazlena Mohamad Ali, Mohammad Nazir Ahmad",Springer Nature,0,2019
Alan F. Smeaton,"Trecvid 2019: An evaluation campaign to benchmark video activity detection, video captioning and matching, and video search & retrieval","George Awad, Asad Butt, Keith Curtis, Yooyoung Lee, Jonathan Fiscus, Afzad Godil, Andrew Delgado, Alan F. Smeaton, Yvette Graham, Wessel Kraaij, Georges Quénot",Proceedings of TRECVID 2019,28,2019
Alan F. Smeaton,Remote Collaborative Knowledge Discovery for Better Understanding of Self-tracking Data,"Lauri Tuovinen, Alan F. Smeaton",Proc. FRUCT’25  Helsinki Finland  ISBN 978-952-69244-0-3 622 p.  S …,0,2019
Alan F. Smeaton,Tracking Human Behavioural Consistency by Analysing Periodicity of Household Water Consumption,"Sean Quinn, Noel Murphy, Alan F. Smeaton",Proceedings of the 2019 2nd International Conference on Sensors Signal and …,1,2019
Alan F. Smeaton,A Domain Ontology and Software Platform for Collaborative Personal Data Analytics,"Lauri Tuovinen, Alan F. Smeaton",In: Luo Y. (eds) Cooperative Design Visualization and Engineering. CDVE …,1,2019
Alan F. Smeaton,End-to-End Conditional GAN-based Architectures for Image Colourisation,"Marc Górriz, Marta Mrak, Alan F. Smeaton, Noel O’Connor",2019 IEEE 21st International Workshop on Multimedia Signal Processing (MMSP …,2,2019
Alan F. Smeaton,Challenges associated with generative forms of multimedia content (Keynote Talk),Alan F. Smeaton,17th Annual Conference on Content Based Multmedia Information (CBMI'2019),0,2019
Alan F. Smeaton,Rethinking Summarization and Storytelling for Modern Social Multimedia,"Stevan Rudinac, Tat-Seng Chua, Nicolas Diaz-Ferreyra, Gerald Friedland, Tatjana Gornostaja, Benoit Huet, Rianne Kaptein, Krister Lindén, Marie-Francine Moens, Jaakko Peltonen, Miriam Redi, Markus Schedl, David A Shamma, Alan F. Smeaton, Lexing Xie",The 24th International Conference on Multimedia Modeling (MMM2018) 5-7 Feb …,8,2018
Alan F. Smeaton,"Inhibition and Updating, but not Switching, Predict Developmental Dyslexia and Individual Variation in Reading Ability","Caoilainn Doyle, Alan F. Smeaton, Richard Roche, Lorraine Boran",Frontiers in Psychology 9 795,8,2018
Alan F. Smeaton,Computer Vision for Lifelogging: Characterizing Everyday Activities Based on Visual Semantics,"Peng Wang, Lifeng Sun, Alan F. Smeaton, Cathal Gurrin, Shiqiang Yang",Computer Vision for Assistive Healthcare 249-282,5,2018
