Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Alessandra Mileo,Query Based Access Control for Linked Data,"Sabrina Kirrane, Alessandra Mileo, Axel Polleres, Stefan Decker",arXiv preprint arXiv:2007.00461,0,2020
Alessandra Mileo,Towards architecture-agnostic neural transfer: a knowledge-enhanced approach,"Sean Quinn, Alessandra Mileo",International Joint Conferences on Artificial Intelligence Organization,0,2019
Alessandra Mileo,Enhancing the scalability of expressive stream reasoning via input-driven parallelization,"Thu-Le Pham, Muhammad Intizar Ali, Alessandra Mileo",Semantic Web 10 (3) 457-474,8,2019
Alessandra Mileo,Towards Explaining Deep Neural Networks Through Graph Analysis,"Vitor Ac Horta, Alessandra Mileo",International Conference on Database and Expert Systems Applications 155-165,0,2019
Alessandra Mileo,C-ASP: Continuous ASP-Based Reasoning over RDF Streams,"B Thu-Le Pham, Muhammad Intizar Ali, Alessandra Mileo",Logic Programming and Nonmonotonic Reasoning: 15th International Conference …,0,2019
Alessandra Mileo,C-ASP: Continuous ASP-Based Reasoning over RDF Streams,"Thu-Le Pham, Muhammad Intizar Ali, Alessandra Mileo",International Conference on Logic Programming and Nonmonotonic Reasoning 45-50,2,2019
Alessandra Mileo,Injecting knowledge into deep neural networks,"Sean Quinn, Alessandra Mileo",,0,2018
Alessandra Mileo,"Observing the pulse of a city: A smart city framework for real-time discovery, federation, and aggregation of data streams","Sefki Kolozali, Maria Bermudez-Edo, Nazli Farajidavar, Payam Barnaghi, Feng Gao, Muhammad Intizar Ali, Alessandra Mileo, Marten Fischer, Thorben Iggena, Daniel Kuemper, Ralf Tonjes",IEEE Internet of Things Journal 6 (2) 2651-2668,13,2018
Alessandra Mileo,Automated discovery and integration of semantic urban data streams: The ACEIS middleware,"Feng Gao, Muhammad Intizar Ali, Edward Curry, Alessandra Mileo",Future Generation Computer Systems 76 561-581,18,2017
Alessandra Mileo,Towards scalable non-monotonic stream reasoning via input dependency analysis,"Thu-Le Pham, Alessandra Mileo, Muhammad Intizar Ali",2017 IEEE 33rd International Conference on Data Engineering (ICDE) 1553-1558,9,2017
Alessandra Mileo,Automatic configuration of smart city applications for user-centric decision support,"Thu-Le Pham, Stefano Germano, Alessandra Mileo, Daniel Kuemper, Muhammad Intizar Ali",2017 20th Conference on Innovations in Clouds Internet and Networks (ICIN …,2,2017
Alessandra Mileo,Stream reasoning,"Alessandra Mileo, Minh Dao-Tran, Thomas Eiter, Michael Fink",Springer-Verlag,6,2017
Alessandra Mileo,Real-time data analytics and event detection for IoT-enabled communication systems,"Muhammad Intizar Ali, Naomi Ono, Mahedi Kaysar, Zia Ush Shamszaman, Thu-Le Pham, Feng Gao, Keith Griffin, Alessandra Mileo",Journal of Web Semantics 42 19-37,33,2017
Alessandra Mileo,Access control and the resource description framework: A survey,"Sabrina Kirrane, Alessandra Mileo, Stefan Decker",Semantic Web 8 (2) 311-352,38,2017
Alessandra Mileo,Qos-aware adaptation for complex event service,"Feng Gao, Muhammad Intizar Ali, Edward Curry, Alessandra Mileo",Proceedings of the 31st Annual ACM Symposium on Applied Computing 1597-1604,3,2016
Alessandra Mileo,Citypulse: Large scale data analytics framework for smart cities,"Dan Puiu, Payam Barnaghi, Ralf Tonjes, Daniel Kuemper, Muhammad Intizar Ali, Alessandra Mileo, Josiane Xavier Parreira, Marten Fischer, Sefki Kolozali, Nazli Farajidavar, Feng Gao, Thorben Iggena, Thu-Le Pham, Cosmin-Septimiu Nechifor, Daniel Puschmann, Joao Fernandes",IEEE Access 4 1086-1108,148,2016
Alessandra Mileo,Events describe places: Tagging places with event based social network data,"Vinod Hegde, Alessandra Mileo, Alexei Pozdnoukhov",Proceedings of the 3rd IKDD Conference on Data Science 2016 1-6,2,2016
Alessandra Mileo,Planning ahead: Stream-driven linked-data access under update-budget constraints,"Shen Gao, Daniele Dell’Aglio, Soheila Dehghanzadeh, Abraham Bernstein, Emanuele Della Valle, Alessandra Mileo",International Semantic Web Conference 252-270,13,2016
Alessandra Mileo,Qos-aware stream federation and optimization based on service composition,"Feng Gao, Muhammad Intizar Ali, Edward Curry, Alessandra Mileo",International Journal on Semantic Web and Information Systems (IJSWIS) 12 (4 …,4,2016
Alessandra Mileo,Approximate continuous query answering over streams and dynamic linked data sets,"Soheila Dehghanzadeh, Daniele Dell’Aglio, Shen Gao, Emanuele Della Valle, Alessandra Mileo, Abraham Bernstein",International Conference on Web Engineering 307-325,23,2015
Alessandra Mileo,"Web Reasoning and Rule Systems: 9th International Conference, RR 2015, Berlin, Germany, August 4-5, 2015, Proceedings.","Balder Ten Cate, Alessandra Mileo",Springer,0,2015
Alessandra Mileo,RDF stream processing for smart city applications,"Feng Gao, Muhammad Intizar Ali, Alessandra Mileo",RDF Stream Processing Workshop (ESWC2015) 1-3,1,2015
Alessandra Mileo,On the need for adaptivity in rdf stream processing,"Zia Ush Shamszaman, Muhammad Intizar Ali, Alessandra Mileo",,1,2015
Alessandra Mileo,Online view maintenance for continuous query evaluation,"Soheila Dehghanzadeh, Alessandra Mileo, Daniele Dell’Aglio, Emanuele Della Valle, Shen Gao, Abraham Bernstein",Proceedings of the 24th International Conference on World Wide Web 25-26,2,2015
Alessandra Mileo,A semantic processing framework for IoT-enabled communication systems,"Muhammad Intizar Ali, Naomi Ono, Mahedi Kaysar, Keith Griffin, Alessandra Mileo",International semantic web conference 241-258,26,2015
Alessandra Mileo,Web stream reasoning: From data streams to actionable knowledge,Alessandra Mileo,Reasoning Web International Summer School 75-87,4,2015
Alessandra Mileo,Web stream reasoning in practice: on the expressivity vs. scalability tradeoff,"Stefano Germano, Thu-Le Pham, Alessandra Mileo",International Conference on Web Reasoning and Rule Systems 105-112,7,2015
Alessandra Mileo,A Hybrid Approach to Inference in Probabilistic Non-Monotonic Logic Programming.,"Matthias Nickles, Alessandra Mileo",PLP@ ICLP 57-68,11,2015
Alessandra Mileo,A system for probabilistic inductive answer set programming,"Matthias Nickles, Alessandra Mileo",International Conference on scalable uncertainty management 99-105,7,2015
Alessandra Mileo,Citybench: A configurable benchmark to evaluate rsp engines using smart city datasets,"Muhammad Intizar Ali, Feng Gao, Alessandra Mileo",International Semantic Web Conference 374-389,126,2015
Alessandra Mileo,Semantic modelling of smart city data,"Stefan Bischof, Athanasios Karapantelakis, Cosmin-Septimiu Nechifor, Amit P Sheth, Alessandra Mileo, Payam Barnaghi",,82,2014
Alessandra Mileo,Using linked data to mine RDF from wikipedia's tables,"Emir Munoz, Aidan Hogan, Alessandra Mileo",Proceedings of the 7th ACM international conference on Web search and data …,59,2014
Alessandra Mileo,Probabilistic inductive logic programming based on answer set programming,"Matthias Nickles, Alessandra Mileo",arXiv preprint arXiv:1405.0720,16,2014
Alessandra Mileo,Real time iot stream processing and large-scale data analytics for smart city applications,"Ralf Tonjes, Payam Barnaghi, M Ali, Alessandra Mileo, M Hauswirth, F Ganz, S Ganea, B Kjærgaard, Daniel Kuemper, Septimiu Nechifor, Dan Puiu, A Sheth, V Tsiatsis, L Vestergaard",poster session European Conference on Networks and Communications,80,2014
Alessandra Mileo,Semantic Discovery and Integration of Urban Data Streams⋆,"Feng Gao, Muhammad Intizar Ali, Alessandra Mileo",challenge 7 16,24,2014
Alessandra Mileo,Web stream reasoning using probabilistic answer set programming,"Matthias Nickles, Alessandra Mileo",International Conference on Web Reasoning and Rule Systems 197-205,13,2014
Alessandra Mileo,How Good Is Your SPARQL Endpoint?,"Muhammad Intizar Ali, Alessandra Mileo","OTM Confederated International Conferences"" On the Move to Meaningful …",5,2014
