Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Alistair Sutherland,Practising public speaking: user responses to using a mirror versus a multimodal positive computing system,"Fiona Dermody, Alistair Sutherland",Scitepress,0,2019
Alistair Sutherland,Hand orientation redundancy filter applied to hand-shapes dataset,"Marlon Oliveira, Houssem Chatbri, Naresh Yarlapati, Noel O’Connor, Alistair Sutherland",Proceedings of the 2nd International Conference on Applications of …,0,2019
Alistair Sutherland,A novel approach for occluded ear recognition based on shape context,"Rizhin Nuree Othman, Fattah Alizadeh, Alistair Sutherland",2018 International Conference on Advanced Science and Engineering (ICOASE …,3,2018
Alistair Sutherland,Principal component pyramids for manifold learning in hand shape recognition,"Mohamed Farouk, Alistair Sutherland",ICT Express 4 (2) 63-68,0,2018
Alistair Sutherland,Recommendations from a Study of a Multimodal Positive Computing System for Public Speaking,"Fiona Dermody, Alistair Sutherland",International Joint Conference on Computer Vision Imaging and Computer …,0,2018
Alistair Sutherland,A Multimodal Positive Computing System for Public Speaking,"Fiona Dermody, Alistair Sutherland",,0,2018
Alistair Sutherland,Multimodal systems for public speaking: a case in support of a positive computing approach,"Fiona Dermody, Alistair Sutherland",Proceedings of the 2nd International Conference on Computer-Human …,1,2018
Alistair Sutherland,A Multimodal Positive Computing System for Public Speaking - Evaluating User Responses to Avatar and Video Speaker Representations,"Fiona Dermody, Alistair Sutherland",13th International Joint Conference on Computer Vision Imaging and Computer …,0,2018
Alistair Sutherland,A comparison between end-to-end approaches and feature extraction based approaches for Sign Language recognition,"Marlon Oliveira, Houssem Chatbri, Suzanne Little, Noel O’Connor, Alistair Sutherland",2017 International Conference on Image and Vision Computing New Zealand …,6,2017
Alistair Sutherland,Educational video classification by using a transcript to image transform and supervised learning,"Houssem Chatbri, Marlon Oliveira, Kevin McGuinness, Suzanne Little, Keisuke Kameyama, Paul Kwan, Alistair Sutherland, Noel O’Connor",2017 Seventh International Conference on Image Processing Theory Tools and …,0,2017
Alistair Sutherland,A dataset for irish sign language recognition,"Marlon Oliveira, Houssem Chatbri, Ylva Ferstl, Mohamed Farouk, Suzanne Little, Noel O’Connor, Alistair Sutherland",,7,2017
Alistair Sutherland,Irish sign language recognition using principal component analysis and convolutional neural networks,"Marlon Oliveira, Houssem Chatbri, Suzanne Little, Ylva Ferstl, Noel O’Connor, Alistair Sutherland",2017 International Conference on Digital Image Computing: Techniques and …,6,2017
Alistair Sutherland,Manifold interpolation for an efficient hand shape recognition in the irish sign language,"Marlon Oliveira, Alistair Sutherland, Mohamed Farouk",International Symposium on Visual Computing 320-329,4,2016
Alistair Sutherland,Disparity estimation by simultaneous edge drawing,"Dexmont Pena, Alistair Sutherland",Asian Conference on Computer Vision 124-135,14,2016
Alistair Sutherland,Multimodal system for public speaking with real time feedback: a positive computing perspective,"Fiona Dermody, Alistair Sutherland",Proceedings of the 18th ACM International Conference on Multimodal …,8,2016
