Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Andy Way,MTrill project: Machine Translation impact on language learning,"Natália Resende, Andy Way",Proceedings of the 22nd Annual Conference of the European Association for …,0,2020
Andy Way,A human evaluation of English-Irish statistical and neural machine translation,"Meghan Dowling, Sheila Castilho, Joss Moorkens, Teresa Lynn, Andy Way",,0,2020
Andy Way,MT syntactic priming effects on L2 English speakers,"Natália Resende, Benjamin Cowan, Andy Way",Proceedings of the 22nd Annual Conference of the European Association for …,0,2020
Andy Way,The European Language Technology Landscape in 2020: Language-Centric and Human-Centric AI for Cross-Cultural Communication in Multilingual Europe,"Georg Rehm, Katrin Marheinecke, Stefanie Hegele, Stelios Piperidis, Kalina Bontcheva, Jan Hajič, Khalid Choukri, Andrejs Vasiļjevs, Gerhard Backfried, Christoph Prinz, José Manuel Gómez Pérez, Luc Meertens, Paul Lukowicz, Josef Van Genabith, Andrea Lösch, Philipp Slusallek, Morten Irgens, Patrick Gatellier, Joachim Köhler, Laure Le Bars, Dimitra Anastasiou, Albina Auksoriūtė, Núria Bel, António Branco, Gerhard Budin, Walter Daelemans, Koenraad De Smedt, Radovan Garabík, Maria Gavriilidou, Dagmar Gromann, Svetla Koeva, Simon Krek, Cvetana Krstev, Krister Lindén, Bernardo Magnini, Jan Odijk, Maciej Ogrodniczuk, Eiríkur Rögnvaldsson, Mike Rosner, Bolette Sandford Pedersen, Inguna Skadiņa, Marko Tadić, Dan Tufiş, Tamás Váradi, Kadri Vider, Andy Way, François Yvon",arXiv preprint arXiv:2003.13833,2,2020
Andy Way,Multiple Segmentations of Thai Sentences for Neural Machine Translation,"Alberto Poncelas, Wichaya Pidchamook, Chao-Hong Liu, James Hadley, Andy Way",arXiv preprint arXiv:2004.11472,1,2020
Andy Way,A Tool for Facilitating OCR Postediting in Historical Documents,"Alberto Poncelas, Mohammad Aboomar, Jan Buts, James Hadley, Andy Way",arXiv preprint arXiv:2004.11471,1,2020
Andy Way,Facilitating Access to Multilingual COVID-19 Information via Neural Machine Translation,"Andy Way, Rejwanul Haque, Guodong Xie, Federico Gaspari, Maja Popovic, Alberto Poncelas",arXiv preprint arXiv:2005.00283,0,2020
Andy Way,Selecting Backtranslated Data from Multiple Sources for Improved Neural Machine Translation,"Xabier Soto, Dimitar Shterionov, Alberto Poncelas, Andy Way",arXiv preprint arXiv:2005.00308,0,2020
Andy Way,"ELRI: A Decentralised Network of National Relay Stations to Collect, Prepare and Share Language Resources","Thierry Etchegoyhen, Borja Anza Porras, Andoni Azpeitia, Eva Martínez Garcia, José Luis Fonseca, Patricia Fonseca, Paulo Vale, Jane Dunne, Federico Gaspari, Teresa Lynn, Helen Mchugh, Andy Way, Victoria Arranz, Khalid Choukri, Hervé Pusset, Alexandre Sicard, Rui Neto, Maite Melero, David Perez, António Branco, Ruben Branco, Luís Gomes",Proceedings of the 1st International Workshop on Language Technology …,0,2020
Andy Way,On Context Span Needed for Machine Translation Evaluation,"Sheila Castilho, Maja Popovic, Andy Way",Proceedings of The 12th Language Resources and Evaluation Conference 3735-3742,1,2020
