Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Cathal Gurrin,LifeSeeker 2.0: Interactive Lifelog Search Engine at LSC 2020,"Le Tu-Khiem, Van-Tu Ninh, Minh Triet Tran, Thanh-An Nguyen, Hai-Dang Nguyen, Liting Zhou, Graham Healy, Cathal Gurrin",Proceedings of the Third Annual Workshop on Lifelog Search Challenge 57-62,1,2020
Cathal Gurrin,Detection of Semantic Risk Situations in Lifelog Data for Improving Life of Frail People,"Thinhinane Yebda, Jenny Benois-Pineau, Marion Pech, Hélène Amièva, Cathal Gurrin",Proceedings of the 2020 International Conference on Multimedia Retrieval …,0,2020
Cathal Gurrin,Myscéal: An Experimental Interactive Lifelog Retrieval System for LSC'20,"Ly-Duyen Tran, Manh-Duy Nguyen, Nguyen Thanh Binh, Hyowon Lee, Cathal Gurrin",Proceedings of the Third Annual Workshop on Lifelog Search Challenge 23-28,1,2020
Cathal Gurrin,Rethinking the test collection methodology for personal self-tracking data,"Frank Hopfgartner, Cathal Gurrin, Hideo Joho",International Conference on Multimedia Modeling 463-474,0,2020
Cathal Gurrin,Baseline Analysis of a Conventional and Virtual Reality Lifelog Retrieval System,"Aaron Duane, Cathal Gurrin",International Conference on Multimedia Modeling 412-423,2,2020
Cathal Gurrin,"ImageCLEF 2020: Multimedia retrieval in lifelogging, medical, nature, and internet applications","Bogdan Ionescu, Henning Muller, Renaud Péteri, Duc Tien Dang Nguyen, Liting Zhou, Luca Piras, Michael Riegler, Pål Halvorsen, Minh Triet Tran, Mathias Lux, Cathal Gurrin, Jon Chamberlain, Adrian Clark, Antonio Campello, Alba García Seco De Herrera, Asma Ben Abacha, Vivek Datla, Sadid A Hasan, Joey Liu, Dina Demner-Fushman, Obioma Pelka, Christoph M Friedrich, Yashin Dicente Cid, Serge Kozlovski, Vitali Liauchuk, Vassili Kovalev, Raul Berari, Paul Brie, Dimitri Fichou, Mihai Dogariu, Liviu Daniel Stefan, Mihai Gabriel Constantin",European Conference on Information Retrieval 533-541,0,2020
Cathal Gurrin,Considerations on privacy in the era of digitally logged lives,"Rashmi Gupta, Martin Crane, Cathal Gurrin",Online Information Review,1,2020
Cathal Gurrin,An Active Learning Framework for Duplicate Detection in SaaS Platforms,"Quy H Nguyen, Duc Tien Dang Nguyen, Minh-Son Dao, Duc Tien Dang Nguyen, Cathal Gurrin, Binh T Nguyen",Proceedings of the 2020 International Conference on Multimedia Retrieval …,0,2020
Cathal Gurrin,Experiences and insights from the collection of a novel multimedia EEG dataset,"Graham Healy, Zhengwei Wang, Tomas Ward, Alan F. Smeaton, Cathal Gurrin",International Conference on Multimedia Modeling 475-486,2,2020
Cathal Gurrin,A Framework for Paper Submission Recommendation System,"Dinh V Cuong, Duc Tien Dang Nguyen, Son Huynh, Phong Huynh, Cathal Gurrin, Minh-Son Dao, Duc Tien Dang Nguyen, Binh T Nguyen",Proceedings of the 2020 International Conference on Multimedia Retrieval …,0,2020
Cathal Gurrin,Malware Detection Using System Logs,"Nhu T Nguyen, Thuy T Pham, X Tien Dang, Minh-Son Dao, Duc Tien Dang Nguyen, Cathal Gurrin, Binh T Nguyen",Proceedings of the 2020 Intelligent on Intelligent Cross-Data Analysis and …,0,2020
Cathal Gurrin,Duplicate Identification Algorithms in SaaS Platforms,"Duc Tien Dang Nguyen, Quy H Nguyen, Minh-Son Dao, Duc Tien Dang Nguyen, Cathal Gurrin, Binh T Nguyen",Proceedings of the 2020 Intelligent on Intelligent Cross-Data Analysis and …,0,2020
Cathal Gurrin,Voxento: A Prototype Voice-controlled Interactive Search Engine for Lifelogs,"Ahmed Alateeq, Mark Roantree, Cathal Gurrin",Proceedings of the Third Annual Workshop on Lifelog Search Challenge 77-81,1,2020
Cathal Gurrin,VRLE: Lifelog Interaction Prototype in Virtual Reality: Lifelog Search Challenge at ACM ICMR 2020,"Aaron Duane, Björn Þór Jónsson, Cathal Gurrin",Proceedings of the Third Annual Workshop on Lifelog Search Challenge 7-12,0,2020
Cathal Gurrin,FIRST-Flexible Interactive Retrieval SysTem for Visual Lifelog Exploration at LSC 2020,"Minh Triet Tran, Thanh-An Nguyen, Quoc-Cuong Tran, Mai-Khiem Tran, Khanh Nguyen, Van-Tu Ninh, Le Tu-Khiem, Hoang-Phuc Trang-Trung, Hoang-Anh Le, Hai-Dang Nguyen, Trong-Le Do, Viet-Khoa Vo-Ho, Cathal Gurrin",Proceedings of the Third Annual Workshop on Lifelog Search Challenge 67-72,1,2020
Cathal Gurrin,Introduction to the Third Annual Lifelog Search Challenge (LSC'20),"Cathal Gurrin, Le Tu-Khiem, Van-Tu Ninh, Duc Tien Dang Nguyen, Björn Þór Jónsson, Jakub Lokoš, Wolfgang Hurst, Minh Triet Tran, Klaus Schoeffmann",Proceedings of the 2020 International Conference on Multimedia Retrieval …,10,2020
Cathal Gurrin,Correction to: MultiMedia Modeling,"Ioannis Kompatsiaris, Benoit Huet, Vasileios Mezaris, Cathal Gurrin, Wen-Huang Cheng, Stefanos Vrochidis",International Conference on Multimedia Modeling C1-C1,0,2019
Cathal Gurrin,Overview of the NTCIR-14 Lifelog-3 Task,"G Healy C Gurrin, Hideo Joho, Frank Hopfgartner, L Zhou, Vt Ninh, Tk Le, Rami Albatal, Duc Tien Dang Nguyen",14th NTCIR conference (NTCIR-14),0,2019
Cathal Gurrin,"Imageclef 2019: Multimedia retrieval in lifelogging, medical, nature, and security applications","Bogdan Ionescu, Henning Muller, Renaud Péteri, Duc Tien Dang Nguyen, Luca Piras, Michael Riegler, Minh Triet Tran, Mathias Lux, Cathal Gurrin, Yashin Dicente Cid, Vitali Liauchuk, Vassili Kovalev, Asma Ben Abacha, Sadid A Hasan, Vivek Datla, Joey Liu, Dina Demner-Fushman, Obioma Pelka, Christoph M Friedrich, Jon Chamberlain, Adrian Clark, Alba Garcia Seco De Herrera, Narciso Garcia, Ergina Kavallieratou, Carlos Roberto Del Blanco, Carlos Cuevas, Nikos Vasillopoulos, Konstantinos Karampidis",European Conference on Information Retrieval 301-308,5,2019
Cathal Gurrin,Considering manual annotations in dynamic segmentation of multimodal lifelog data,"Rashmi Gupta, Cathal Gurrin",2019 IEEE International Conference on Pervasive Computing and Communications …,1,2019
Cathal Gurrin,Task Intelligence Workshop@ WSDM 2019,"Ahmed Hassan Awadallah, Cathal Gurrin, Mark Sanderson, Ryen W White",Proceedings of the Twelfth ACM International Conference on Web Search and …,2,2019
Cathal Gurrin,LIFER 2.0: Discovering Personal Lifelog Insights using an Interactive Lifelog Retrieval System,"Tu-Ninh Van, Le Tu-Khiem, Liting Zhou, Luca Piras, Michael Riegler, Mathias Lux, Minh Triet Tran, Cathal Gurrin, Duc Tien Dang Nguyen",CLEF,2,2019
Cathal Gurrin,User interaction for visual lifelog retrieval in a virtual environment,"Aaron Duane, Cathal Gurrin",International Conference on Multimedia Modeling 239-250,3,2019
Cathal Gurrin,A test collection for interactive lifelog retrieval,"Cathal Gurrin, Klaus Schoeffmann, Hideo Joho, Bernd Munzer, Rami Albatal, Frank Hopfgartner, Liting Zhou, Duc Tien Dang Nguyen",International Conference on Multimedia Modeling 312-324,25,2019
Cathal Gurrin,DCU team at the 2019 insight for wellbeing task: multimodal personal health lifelog data analysis,"Le Tu-Khiem, Ninh Van-Tu, Zhou Liting, Duc Tien Dang Nguyen, Cathal Gurrin",,0,2019
Cathal Gurrin,Comparing Approaches to Interactive Lifelog Search at the Lifelog Search Challenge (LSC2018),"Cathal Gurrin, Klaus Schoeffmann, Hideo Joho, Andreas Leibetseder, Liting Zhou, Aaron Duane, Duc Tien Dang Nguyen, Michael Riegler, Luca Piras, Minh Triet Tran, Jakub Lokoč, Wolfgang Hurst",ITE Transactions on Media Technology and Applications 7 (2) 46-59,25,2019
Cathal Gurrin,LifeSeeker: Interactive Lifelog Search Engine at LSC 2019,"Le Tu-Khiem, Van-Tu Ninh, Duc Tien Dang Nguyen, Minh Triet Tran, Liting Zhou, Pablo Redondo, Sinead Smyth, Cathal Gurrin",Proceedings of the ACM Workshop on Lifelog Search Challenge 37-40,9,2019
Cathal Gurrin,Interactive video retrieval in the age of deep learning,"Jakub Lokoč, Klaus Schoeffmann, Werner Bailer, Luca Rossetto, Cathal Gurrin",Proceedings of the 2019 on International Conference on Multimedia Retrieval 2-4,0,2019
Cathal Gurrin,Overview of ImageCLEFlifelog 2019: solve my life puzzle and lifelog moment retrieval,"Duc Tien Dang Nguyen, Luca Piras, Michael Riegler, Liting Zhou, Mathias Lux, Minh Triet Tran, Le Tu-Khiem, Van-Tu Ninh, Cathal Gurrin",CEUR Workshop Proceedings,20,2019
Cathal Gurrin,"VieLens, An Interactive Search engine for LSC2019","Son P Nguyen, Dien H Le, Uyen H Pham, Martin Crane, Graham Healy, Cathal Gurrin",Proceedings of the ACM Workshop on Lifelog Search Challenge 33-35,1,2019
Cathal Gurrin,Kids’ everyday exposure to food marketing,"Ln Signal, James Stanley, M Smith, Mb Barr, Tim Chambers, J Zhou, Aaron Duane, Cathal Gurrin, Alan F. Smeaton, Christina McKerchar, Amber Pearson, Janet Hoek, Gabrielle Ls Jenkin, C Ni Mhurchu",,0,2019
Cathal Gurrin,Advances in lifelog data organisation and retrieval at the ntcir-14 lifelog-3 task,"Cathal Gurrin, Hideo Joho, Frank Hopfgartner, Liting Zhou, Van-Tu Ninh, Le Tu-Khiem, Rami Albatal, Duc Tien Dang Nguyen, Graham Healy",NII Conference on Testbeds and Community for Information Access Research 16-28,2,2019
Cathal Gurrin,Special issue on lifelogging behaviour and practice,"Frank Hopfgartner, Cathal Gurrin, Hideo Joho",Online Information Review,0,2019
Cathal Gurrin,Panel: Challenges for multimedia/multimodal research in the next decade,"Shih-Fu Chang, Louis-Philippe Morency, Alexander Hauptmann, Alberto Del Bimbo, Cathal Gurrin, Hayley Hung, Heng Ji, Alan F. Smeaton",Proceedings of the 27th ACM International Conference on Multimedia 2234-2235,0,2019
Cathal Gurrin,Seeing is believing: the feasibility and acceptability of using wearable cameras to enhance self-management of heart failure,"S Cartledge, M Rogerson, Tkr Singh, V Huynh Huu, D Phung, Cathal Gurrin, C Neil, K Ball, R Maddison",EUROPEAN HEART JOURNAL 40 96-96,0,2019
Cathal Gurrin,Replay detection and multi-stream synchronization in CS: GO game streams using content-based Image retrieval and Image signature matching,"Van-Tu Ninh, Le Tu-Khiem, Cathal Gurrin",,0,2019
Cathal Gurrin,"ImageCLEF 2019: Multimedia retrieval in medicine, lifelogging, security and nature","Bogdan Ionescu, Henning Muller, Renaud Péteri, Yashin Dicente Cid, Vitali Liauchuk, Vassili Kovalev, Dzmitri Klimuk, Aleh Tarasau, Asma Ben Abacha, Sadid A Hasan, Vivek Datla, Joey Liu, Dina Demner-Fushman, Duc Tien Dang Nguyen, Luca Piras, Michael Riegler, Minh Triet Tran, Mathias Lux, Cathal Gurrin, Obioma Pelka, Christoph M Friedrich, Alba Garcia Seco De Herrera, Narciso Garcia, Ergina Kavallieratou, Carlos Roberto Del Blanco, Carlos Cuevas, Nikos Vasillopoulos, Konstantinos Karampidis, Jon Chamberlain, Adrian Clark, Antonio Campello",International Conference of the Cross-Language Evaluation Forum for European …,58,2019
Cathal Gurrin,Activity Recognition and Segmentation Approaches to Multimodal Lifelog Data,"Rashmi Gupta, Cathal Gurrin",2019 International Conference on Content-Based Multimedia Indexing (CBMI) 1-7,0,2019
Cathal Gurrin,Causality Inspired Retrieval of Human-object Interactions from Video,"Liting Zhou, Jianquan Liu, Shoji Nishimura, Joseph Antony, Cathal Gurrin",2019 International Conference on Content-Based Multimedia Indexing (CBMI) 1-6,0,2019
Cathal Gurrin,The use of wearable cameras in assessing children's dietary intake and behaviours in China,"Qianling Zhou, Di Wang, Cliona Ni Mhurchu, Cathal Gurrin, Jiang Zhou, Yu Cheng, Haijun Wang",Appetite 139 1-7,4,2019
Cathal Gurrin,A Baseline Interactive Retrieval Engine for Visual Lifelogs at the NTCIR-14 Lifelog-3 Task,"Van-Tu Ninh, Le Tu-Khiem, Liting Zhou, Graham Healy, Kaushik Venkataraman, Minh Triet Tran, Duc Tien Dang Nguyen, Sinead Smyth, Cathal Gurrin",NII Conference on Testbeds and Community for Information Access Research 29-41,6,2019
Cathal Gurrin,Computer vision for lifelogging: Characterizing everyday activities based on visual semantics,"Peng Wang, Lifeng Sun, Alan F. Smeaton, Cathal Gurrin, Shiqiang Yang",Computer Vision for Assistive Healthcare 249-282,5,2018
Cathal Gurrin,An Interactive Lifelog Retrieval System for Activities of Daily Living Understanding.,"Liting Zhou, Luca Piras, Michael Riegler, Mathias Lux, Duc Tien Dang Nguyen, Cathal Gurrin",CLEF (Working Notes),3,2018
Cathal Gurrin,Preface: Special issue on measuring behaviour 2016,T Steckler,Journal of Neuroscience Methods 300 1-3,0,2018
Cathal Gurrin,LSC 2018 chairs' welcome,"Cathal Gurrin, Klaus Schoeffmann, Hideo Joho, Duc Tien Dang Nguyen, Michael Riegler, Luca Piras",1st ACM Workshop on the Lifelog Search Challenge LSC 2018 iii,0,2018
Cathal Gurrin,Overview of ImageCLEF 2018,"Bogdan Ionescu, Henning Muller, Mauricio Villegas, Alba Garcia Seco De Herrera, Carsten Eickhoff, Vincent Andrearczyk, Yashin Dicente Cid, Vitali Liauchuk, Vassili Kovalev, Sadid A Hasan, Yuan Ling, Oladimeji Farri, Joey Liu, Matthew Lungren, Duc Tien Dang Nguyen, Luca Piras, Michael Riegler, Liting Zhou, Mathias Lux, Cathal Gurrin",Experimental IR meets multilinguality multimodality and interaction: 9th …,0,2018
Cathal Gurrin,Proceedings of the 2018 ACM Workshop on The Lifelog Search Challenge,"Cathal Gurrin, Acm Special Interest Group On Multimedia",ACM,3,2018
Cathal Gurrin,A deep learning based food recognition system for lifelog images,"Binh T Nguyen, Duc Tien Dang Nguyen, X Tien Dang, Phat Thai, Cathal Gurrin",Scitepress–Science and Technology Publications,7,2018
Cathal Gurrin,Approaches for event segmentation of visual lifelog data,"Rashmi Gupta, Cathal Gurrin",International Conference on Multimedia Modeling 581-593,8,2018
Cathal Gurrin,Lifelog exploration prototype in virtual reality,"Aaron Duane, Cathal Gurrin",International Conference on Multimedia Modeling 377-380,8,2018
Cathal Gurrin,Challenges and opportunities within personal life archives,"Duc Tien Dang Nguyen, Michael Riegler, Liting Zhou, Cathal Gurrin",Proceedings of the 2018 ACM on International Conference on Multimedia …,3,2018
Cathal Gurrin,An interactive lifelog search engine for LSC2018,"Adrià Alsina, Xavier Giró Nieto, Cathal Gurrin",Proceedings of the 2018 ACM Workshop on The Lifelog Search Challenge 30-32,6,2018
Cathal Gurrin,Lifer: An interactive lifelog retrieval system,"Liting Zhou, Zaher Hinbarji, Duc Tien Dang Nguyen, Cathal Gurrin",Proceedings of the 2018 ACM Workshop on The Lifelog Search Challenge 9-14,11,2018
Cathal Gurrin,Geospatial access to lifelogging photos in virtual reality,"Wolfgang Hurst, Kevin Ouwehand, Marijn Mengerink, Aaron Duane, Cathal Gurrin",Proceedings of the 2018 ACM Workshop on The Lifelog Search Challenge 33-37,2,2018
Cathal Gurrin,"Overview of ImageCLEF 2018: Challenges, datasets and evaluation","Bogdan Ionescu, Henning Muller, Mauricio Villegas, Alba Garcia Seco De Herrera, Carsten Eickhoff, Vincent Andrearczyk, Yashin Dicente Cid, Vitali Liauchuk, Vassili Kovalev, Sadid A Hasan, Yuan Ling, Oladimeji Farri, Joey Liu, Matthew Lungren, Duc Tien Dang Nguyen, Luca Piras, Michael Riegler, Liting Zhou, Mathias Lux, Cathal Gurrin",International Conference of the Cross-Language Evaluation Forum for European …,52,2018
Cathal Gurrin,LSE2018 panel-Challenges of lifelog search and access,"Duc Tien Dang Nguyen, Klaus Schoeffmann, Wolfgang Hurst",Proceedings of the 2018 ACM Workshop on The Lifelog Search Challenge 1-2,8,2018
Cathal Gurrin,"MultiMedia Modeling: 25th International Conference, MMM 2019, Thessaloniki, Greece, January 8–11, 2019, Proceedings, Part I","Ioannis Kompatsiaris, Benoit Huet, Vasileios Mezaris, Cathal Gurrin, Wen-Huang Cheng, Stefanos Vrochidis",Springer,1,2018
Cathal Gurrin,Dublin's participation in the predicting media memorability task at MediaEval 2018,"Alan F. Smeaton, Owen Corrigan, Paul Dockree, Cathal Gurrin, Graham Healy, Feiyan Hu, Kevin McGuinness, Eva Mohedano, Tomas Ward",CEUR-WS,0,2018
Cathal Gurrin,Interactive Video Search: Where is the User in the Age of Deep Learning?,"Klaus Schoeffmann, Werner Bailer, Cathal Gurrin, George Awad, Jakub Lokoč",Proceedings of the 26th ACM international conference on Multimedia 2101-2103,6,2018
Cathal Gurrin,Introduction to Special Issue of the 23rd International Conference on Multimedia Modeling (MMM 2017),"Laurent Amsaleg, Cathal Gurrin, Björn Þór Jónsson, Shin’Ichi Satoh",Multimedia Tools and Applications 77 (22) 29405-29406,0,2018
Cathal Gurrin,Overview of ImageCLEFlifelog 2018: Daily Living Understanding and Lifelog Moment Retrieval.,"Duc Tien Dang Nguyen, Luca Piras, Michael Riegler, Liting Zhou, Mathias Lux, Cathal Gurrin",CLEF (Working Notes),35,2018
Cathal Gurrin,The impact of temporal regularisation in egocentric saliency prediction,"Linardos Panagiotis, Eva Mohedano, Monica Cherto, Cathal Gurrin, Xavier Giró Nieto",,0,2018
Cathal Gurrin,Temporal Saliency Adaptation in Egocentric Videos,"Linardos Panagiotis, Eva Mohedano, Monica Cherto, Cathal Gurrin, Xavier Giró Nieto",arXiv preprint arXiv:1808.09559,0,2018
Cathal Gurrin,Introduction to the special issue: Egocentric Vision and Lifelogging,"Mariella Dimiccoli, Cathal Gurrin, David Crandall, Xavier Giró Nieto, Petia Radeva",Journal of Visual Communication and Image Representation 55 352-353,1,2018
Cathal Gurrin,Virtual reality lifelog explorer: lifelog search challenge at ACM ICMR 2018,"Aaron Duane, Cathal Gurrin, Wolfgang Hurst",Proceedings of the 2018 ACM Workshop on The Lifelog Search Challenge 20-23,20,2018
Cathal Gurrin,"MultiMedia Modeling: 23rd International Conference, MMM 2017, Reykjavik, Iceland, January 4-6, 2017, Proceedings","Björn Þór Jónsson, Cathal Gurrin, Gylfi Þór Guðmundsson, Laurent Amsaleg",Springer,0,2017
Cathal Gurrin,Interactive Search in Video & Lifelogging Repositories,"Frank Hopfgartner, Klaus Schoeffmann",Proceedings of the 2017 Conference on Conference Human Information …,1,2017
