Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Charlie Daly,"Pilot Evaluation of a School-Based Programme Focused on Activity, Fitness, and Function among Children with Cerebral Palsy at GMFCS Level IV: Single-Subject Research Design","Carol Daly, Connie L Moore, Suzanne Johannes, Julie Middleton, Lisa K Kenyon",Physiotherapy Canada 72 (2) 195-204,1,2020
Charlie Daly,Abstract book,"Hüseyin Çakallı, Ekrem Savaş, İzzet Sakallı, Jane Horgan, Charlie Daly, James Power, LjubiˇSa Kocinac, M Marcelo Cavalanti, Wellington J CorrˆEa, Türker Özsarı, Rodrigo V Asem, Robin Harte, Ahu Açıkgöz, Ferhat Esenbel, Ali Ameer Jabor, Ahmed Abd-Ali Omran, Banu Pazar Varol, Bekbolot Kanetov, Anara Baidzhuranova, Ulukbek Saktanov, Dinara Kanetova, Meerim Zhanakunova, Chuan Liu, Esra Dalan Yıldırım, Hakan Şahin, Ishak Altun, Duran Türkoğlu, Hürmet Fulya Akız, Osman Mucuk, Mohammad Reza Motallebi, Serap Demir, Tunçar Şahan, Smail Kelaiaia, Taja Yaying, Takashi Noiri, Tane Vergili, Vildan Çetkin, Zoran Misajleski, Nikita Shekutkovski, Emin Durmishi, Ali Berkane, Mohamed Belhout, Aries Mohammed Es-Salih, Ayşe Sönmez, Bachir Messirdi, Mohammed Derhab, Tewfik Khedim, Belhadj Karim, Doria Affane, Mustapha Fateh Yarou, Fatih Yılmaz, Meltem Sertbaş, Faycal Bouchelaghem, Abdelouaheb Ardjouni, Ahcene Djoudi, Gülseren Çiçek, Elimhan Mahmudov, Hamdy A El-Metwally, M Al-Kaff, Heybetkulu Mustafayev, Hülya Duru, Kheireddine Biroud",Maltepe Üniversitesi,0,2019
Charlie Daly,Simulation: It’s the name of the game,"Jane Horgan, Charlie Daly, James Power",Maltepe Üniversitesi,0,2019
Charlie Daly,Lichen sclerosus management-gynaecology versus dermatology and vulval specialty clinics,"Charlie Daly, B Murphy, S Hutchinson",BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY 125 19-19,0,2018
Charlie Daly,Home-based circuit training program for an adolescent female with severe traumatic brain injury: a case report,"Devashish Tiwari, Carol Daly, Bara Alsalaheen",Physiotherapy theory and practice 34 (2) 137-145,3,2018
Charlie Daly,Penternak babi harus sedar risiko wabak JE,"J Abbott, L Campbell, C Hay, T Naesje, A Ndumba, J Purvis, Ka Alexander, Jk Blackburn, Me Vandewalle, R Pesapane, Ek Baipoledi, Ph Elzer, J Allen, S Lavau, Hf Alrøe, M Vaarst, Es Kristensen, P Althoff, Alia Amin, Cr Anderson, Sm Mclachlan, I Anderson, K Anderson, J Andrews, L Armand-Lefevre, R Ruimy, A Andremont, M Asano-Tamanoi, Gp Asner, Aj Elmore, Lp Olander, Re Martin, At Harris, H Atan, Pj Atkins, Pj Atkins, I Bowler, Pj Atkins, Pa Robinson, M Atwood, N Avieli, Ru Ayres, Mk Azrul, Am Babjee, Tc Yap, Ys Chee, P Candiah, Es Lim, Yl Cheong, F Bager, Tj Braggins, Ce Devine, Ae Graafhuis, Dj Mellor, A Tavener, Mp Upsdell, Aj Bailey, R Bailey, A Froggatt, L Wellesley, G Band, Sef Guimaraes, Ps Lopes, J Peixoto, Da Faria, Av Pires, F Figueiredo, Cs Nascimento, La Miranda Gomide, E Barclay, A Barkema, M Drabenstott, K Welch, Dl Barlett, Jb Steele, Jr Barton, B Bastian, S Loughman, N Haslam, Hrm Radke, C Bell, L Neill, F Bergeaud-Blackler, C Bergsten, N Berkhout, C Biermann, B Mansfield, S Bjerklie, Dk Blackmore, P Blaikie, P Blaikie, H Brookfield, B Bock, H Buller, Mh Bokma-Bakker, G Munnichs, Mbm Bracke, Ek Visser, F Schepers, Ww Ursinus, Hj Blokhuis, Ma Gerritzen, E Gast, Ag Evers, Mha Haan, Em Mil, Cg Reenen, Fwa Brom, R Botreau, I Veissier, P Perny, M Bourrie, A Bowman, K Mueller, M Smith, W Boyd, Fwr Brambell, B Braun, N Castree, E Brooks, J Emel, P Robbins, B Jokisch, K Brown, D Gilfoyle, M Brown, C Rasmussen, A Bruce, N Bryant, M Buchowski, Cw Buerkle, H Buller, H Buller, H Buller, E Roe, Jm Burgos, Ba Ellington, Mf Varela, L Busch, Pb Thompson, Sr Bush, Sr Bush, M Duijf, V Butler, I Caple, P Mcgown, N Gregory, P Cusack, Ra Caras, N Castree",Geographies of Meat: Politics Economy and Culture 51 (3) 1-12,0,2017
Charlie Daly,"Vaso-occlusive delivery device with kink resistant, flexible distal end","William S Henry, Charlie Daly, Russell Ford, Michael D Williams, Hanh Duong, Hughie Devaney, Kamal Ramzipoor, Clifford Teoh, Richard Murphy, Andrew Huffmaster, Scott Mcgill",US Patent 9636115,66,2017
Charlie Daly,Standing activity intervention and motor function in a young child with cerebral palsy: A case report,"Olukemi Audu, Carol Daly",Physiotherapy theory and practice 33 (2) 162-172,2,2017
Charlie Daly,Clinical Case Poster session 2,"Al Tojino, Hf Sta Maria, Rp Tiongco, R Laymouna, E Elsharkawy, Y Morsy, M Elshafei, M Elgowelly, A Almaghraby, A Monteiro, L Branco, A Agapito, L Sousa, A Galrinho, F Pinto, P Rio, S Rosa, G Portugal, R Ferreira, A Velcea, S Mihaila, N Patrascu, A Adronic, M Cinteza, D Vinereanu, L Almeida Morais, A Fiarresga, D Cacela, L Sousa, A Galrinho, L Branco, R Rodrigues, N Banazol, L Ferreira, R Ferreira, N Enzan, T Tsutsumi, T Matsumoto, T Uchida, A Yamada, Tl Wang, Mc Hsiung, Tuğba Kemaloglu Oz, Mehmet Eren, A Mursa, L Zarma, Ba Popescu, C Ginghina, R Jurcut, B Pfeiffer, A Neugebauer, A Rigopoulos, H Seggewiss, M Tomaszewski, E Czekajska-Chehab, R Pietura, A Tomaszewski, S Cuddy, V Sullivan, J Cosgrave, Charlie Daly, R Murphy, A Giubertoni, J Zanaboni, M Gravellone, C Piccinino, Pn Marino, N Rojo Prieto, C Lezcano Pertejo, C Hernandez Diez, L Alvarez Roy, E Martinez Paz, Mg Ascencio Lemus, M Lopez Benito, F Fernandez-Vazquez, E Martin Gutierrez, M Castano Ruiz, C Ruivo, J Guardado, L Santos, F Montenegro Sa, F Saraiva, J Correia, J Morais, M Saito, K Mahara, T Ueda, T Ishii, Y Hamamichi, S Katsuragi, Dm Dorobantu, Ramona Enache, P Platon, A Vladaia, Ba Popescu, Cd Ginghina, Hs Kemal, A Gunsel, L Cerit, Hs Duygu",European Heart Journal-Cardiovascular Imaging 17 (suppl_2) ii114-ii121,0,2016
Charlie Daly,"Heart rate awareness in patients with chronic stable heart failure. A multi-center observational study (vol 177, pg 380, 2014)","D Moran, A Buckley, K Daly, B Meaney, R Curtin, Jo O’Neill, N Colwell, N Mahon, N Murphy, R O’Hanlon, Charlie Daly, B Mc Adam, K Mc Donald, V Maher",INTERNATIONAL JOURNAL OF CARDIOLOGY 210 180-180,0,2016
Charlie Daly,Corrigendum to “Heart rate awareness in patients with chronic stable heart failure. A multi-center observational study”[Int. J. Cardiol. 2014. 177 (2): 380–4],"D Moran, A Buckley, K Daly, B Meaney, R Curtin, Jo O’Neill, N Colwell, N Mahon, N Murphy, R O’Hanlon, Charlie Daly, B Mc Adam, K Mc Donald, V Maher",International Journal of Cardiology 210 180,0,2016
Charlie Daly,Poster session 6,"H Lofmark, R Winter, Ja Moukarzel, Jm Filipuzzi, F Vaisbuj, F Salmo, E Guevara, P Barbier, G Savioli, K Keramida, N Kouris, D Dawson, Cd Olympios, P Nihoyannopoulos, R Meel, F Peters, E Libhaber, S Nel, R Goncalves, Mr Essop, Pg Dinis, R Teixeira, M Madeira, Mc Cachulo, L Goncalves, S Jorstig, K Emilsson, M Waldenborg, M Liden, M Wodecki, P Thunberg, Valverde Perez Iv, J Sotelo, P Beerbaum, H Grotenhuis, G Greil, R Razavi, S Uribe, A Figueroa, M Zemedkun, Z Wang, Fm Asch, G Gizzi, D Fabiani, A Lavorgna, C Napoletano, Sanjoy Kumar Saha, L Muthukumar, E Englund, R Toole, As Gopal, G Di Salvo, Z Issa, N Moiduddin, G Siblini, Z Bulbul, Selen Yurdakul, G Ercan, Ilker Tekkesin, St Sahin, B Cengiz, G Celik, Sabri Demircan, Saide Aytekin, T Chumarnaya, Y Alueva, Vv Kochmasheva, O Solovyova, L Tuset, Am Maceira Gonzalez, B Igual, Hacm Bruin De-Bon, R Cocchieri, Gs Wagner, S Eberl, Rba Brink Van Den, Bj Bouma, T Onishi, H Kawai, H Tanaka, S Fujiwara, K Hirata, M Marketou, F Parthenakis, J Kontaraki, A Patrianakos, H Nakou, S Maragkoudakis, D Vougia, J Logakis, K Roufas, P Vardas, Mt Bayuga, Re Ramboyong, Mc Johansson, C Wallentin Guron, A Thurin, N Wessling, Q Almodares, M Fu, M Mandour Ali, La Mohamed, T Abd Al-Rahman, Hm Maghraby, Im Kora, Fr Abdel-Hameed, Mn Ali, Gj King, D Byrne, K Bennett, K Norris, Charlie Daly, Rt Murphy, G Marti, A Degiovanni, Mv Di Ruocco, C Sartori, P Devecchi, P Marino, A Angelis, K Aggeli, N Ioakeimidis, I Felekos, K Aznaouridis, K Rokas, M Abdelrasoul, D Terentes, C Vlachopoulos, D Tousoulis, L Spinelli, E Stabile, M Santoro, C Morisco, Ca Giudice, G Esposito, B Trimarco, R Dragoi Galrinho, Ao Ciobanu, Rc Rimbas, Gc Manole, B Marinescu, D Vinereanu, G Krljanac, D Trifunovic, L Savic, M Asanin, R Lasica, S Aleksandric, N Zlatic, M Petrovic",Eur Heart J Cardiovasc Imaging Abstracts Supplement 16 (suppl_2) S213-S239,0,2015
Charlie Daly,124| The 100 Most Important Sporting Events in American History,"Chuck Daly, Alex Sachare, Jack Mccallum",The 100 Most Important Sporting Events in American History 124,0,2015
Charlie Daly,9 Left atrial force as a precise haemodynamic monitor in patients with hereditary haemochromatosis pre and post venesection,"Gj King, D Byrne, K Bennett, S Norris, Charlie Daly, Rt Murphy",Heart 101 (Suppl 5) A5-A5,0,2015
Charlie Daly,Health and Safety Audit of a General Practice,"Charlie Daly, M Sayegh",IRISH JOURNAL OF MEDICAL SCIENCE 184 295-295,0,2015
Charlie Daly,Improving quality of colonoscopy: how can we push up the bar?,"Dn Bowles, Charlie Daly, Wa Stack, Lm Jackson",IRISH JOURNAL OF MEDICAL SCIENCE 184 S240-S240,0,2015
Charlie Daly,Minimally invasive Ivor-Lewis oesophagectomy following neoadjuvant chemoradiotherapy for the treatment of oesophageal cancer: first 30 consecutive unselected cases,"P Carroll, D Power, S O’Reilly, F Vernimmen, J Gilmore, P Maceneaney, A Griffith, Mw Bennett, T-J Browne, M Buckley, Charlie Daly, T Murphy",IRISH JOURNAL OF MEDICAL SCIENCE 184 S80-S80,0,2015
Charlie Daly,Head to head comparison of risk stratification scores HEART vs TIMI score for patients with undifferentiated chest pain and correlating with frequencies of in-hospital major …,"S Mubarak, M Ashfaque, Charlie Daly",EUROPEAN HEART JOURNAL 35 983-983,0,2014
Charlie Daly,Minimally Invasive Ivor-Lewis Oesophagectomy Following Neoadjuvant Chemoradiotherapy for the Treatment of Oesophageal Cancer: First 30 Consecutive Unselected Cases,"P Carroll, D Power, S O’Reily, F Vernimmen, J Gilmore, P Maceneaney, A Griffith, M Bennett, Tj Browne, M Buckley, Charlie Daly, T Murphy",IRISH JOURNAL OF MEDICAL SCIENCE 183 S245-S245,0,2014
Charlie Daly,IMPACT OF ADVERSE IN UTERO ENVIRONMENT AND POSTNATAL EXCESS ENERGY DIET ON OVARIAN FOLLICLE DEVELOPMENT,"Charlie Daly, O Sarr, K Barr, K Dunlop, Trh Regnault, Gm Kidder",IRISH JOURNAL OF MEDICAL SCIENCE 183 S549-S549,0,2014
Charlie Daly,"An evaluation of the effectiveness of teamwork, with an emphasis on peer assessment and peer review, in an introductory engineering course",Charlie Daly,Journal of the Southern African Institute of Mining and Metallurgy 114 (12 …,1,2014
Charlie Daly,Heart rate awareness in patients with chronic stable heart failure. A multi-center observational study,"D Moran, A Buckley, K Daly, B Meaney, R Curtin, Jo O’Neill, N Colwell, N Mahon, N Murphy, R O’Hanlon, Charlie Daly, B Mc Adam, K Mc Donald, V Maher",International journal of cardiology 177 (2) 380-384,10,2014
Charlie Daly,Using Moodle—An open source leaning management system in Australian Mining Engineering Education,"Serkan Saydam, Wendy Timms, S Raval, Charlie Daly",2013 IEEE International Conference in MOOC Innovation and Technology in …,6,2013
Charlie Daly,"Ambulatory postoperative ward-based epidural analgesia: a retrospective review of 1,147 cases","P Duff, Charlie Daly, C Mccrory",Irish journal of medical science 182 (1) 139-141,7,2013
Charlie Daly,Safety comes first: Are doctors attentive enough to their initial clinical assessment notes?,"Caoimhe Daly, Ian Callanan, Marcus Butler",Irish Medical Journal (IMJ),6,2013
Charlie Daly,"Introductory programming, problem solving and computer-based assessment","Charlie Daly, J Waldron",CAA 2002 International Conference University of Loughborough Retrieved …,6,2012
Charlie Daly,Introduction of Microbubbles technique for pre-operative sentinel node assessment for breast cancer patients in a district general hospital: Cancer/Surgical Oncology I 0658,"C Cashell, Charlie Daly, M Dani, D Allen, H Devalia",British Journal of Surgery 99,0,2012
Charlie Daly,A project management approach to the undergraduate Mining Engineering thesis.,"Paul Hagan, Basil Beamish, Chris Daly",Cuprum: czasopismo naukowo-techniczne górnictwa rud 27-36,0,2012
Charlie Daly,My patient has no blood pressure: are they empty or full? Point-of-care ultrasound of the inferior vena cava in the hypotensive emergency department patient,"Paul Atkinson, Cathy Daly",Ultrasound 19 (3) 169-173,2,2011
Charlie Daly,The ECCU Course: Emergency and Critical Care Ultrasound,"Paul Atkinson, John Sloan, Uk Chester, Heather Venables, Jim Connelly, John Wright, Uk Bob Jarman, Uk Gateshead, Andrew Haig, Michael Howlett, Cathy Daly, Peter Ross, Tushar Pishe",,0,2011
