Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Gareth Jones,Sport Experience Design: Wearable Fitness Technology in the Health and Fitness Industry,"Anthony D Pizzo, Bradley J Baker, Gareth Jones, Daniel C Funk",Journal of Sport Management 1 (aop) 1-14,0,2020
Gareth Jones,Kernel Density Estimation based Factored Relevance Model for Multi-Contextual Point-of-Interest Recommendation,"Anirban Chakraborty, Debasis Ganguly, Annalina Caputo, Gareth Jones",arXiv preprint arXiv:2006.15679,0,2020
Gareth Jones,Response to LiveBot: Generating Live Video Comments Based on Visual and Textual Contexts,"Hao Wu, Gareth Jones, Francois Pitie",arXiv preprint arXiv:2006.03022,0,2020
Gareth Jones,MultiMWE: Building a Multi-lingual Multi-Word Expression (MWE) Parallel Corpora,"Lifeng Han, Gareth Jones, Alan F. Smeaton",arXiv preprint arXiv:2005.10583,0,2020
Gareth Jones,An Interface for Agent Supported Conversational Search,"Abhishek Kaushik, Vishal Bhat Ramachandra, Gareth Jones",Proceedings of the 2020 Conference on Human Information Interaction and …,0,2020
Gareth Jones,Third Workshop on Evaluation of Personalisation in Information Retrieval (WEPIR 2020) In Memoriam Seamus Lawless,"Gareth Jones, Nicholas J Belkin, Noriko Kando, Gabriella Pasi",Proceedings of the 2020 Conference on Human Information Interaction and …,0,2020
Gareth Jones,The Curious Case of IR Explainability: Explaining Document Scores within and across Ranking Models,"Procheta Sen, Debasis Ganguly, Manisha Verma, Gareth Jones",Proceedings of the 43rd International ACM SIGIR Conference on Research and …,0,2020
Gareth Jones,Multimodal Speaker Adaptation of Acoustic Model and Language Model for Asr Using Speaker Face Embedding,"Yasufumi Moriya, Gareth Jones",ICASSP 2019-2019 IEEE International Conference on Acoustics Speech and …,1,2019
Gareth Jones,About Sound and Vision: CLEF Beyond Text Retrieval Tasks,Gareth Jones,Information Retrieval Evaluation in a Changing World 307-329,0,2019
Gareth Jones,Report on the CHIIR 2019 Second Workshop on Evaluation of Personalisation in Information Retrieval (WEPIR 2019),"Gareth Jones, Nicholas J Belkin, Seamus Lawless, Gabriella Pasi",SIGIR Forum 53 (1) 29-37,1,2019
