Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Graham Healy,LifeSeeker 2.0: Interactive Lifelog Search Engine at LSC 2020,"Le Tu-Khiem, Van-Tu Ninh, Minh Triet Tran, Thanh-An Nguyen, Hai-Dang Nguyen, Liting Zhou, Graham Healy, Cathal Gurrin",Proceedings of the Third Annual Workshop on Lifelog Search Challenge 57-62,1,2020
Graham Healy,A Neuro-AI interface for evaluating generative adversarial networks,"Zhengwei Wang, Qi She, Alan F. Smeaton, Tomas Ward, Graham Healy",Bridging AI and Cognitive Science (BAICS),2,2020
Graham Healy,Experiences and insights from the collection of a novel multimedia EEG dataset,"Graham Healy, Zhengwei Wang, Tomas Ward, Alan F. Smeaton, Cathal Gurrin",International Conference on Multimedia Modeling 475-486,2,2020
Graham Healy,The Neuroscience of Trust Violation,"Lisa Van Der Werff, Deirdre O’Shea, Graham Healy, Finian Buckley, Colette Real, Michael Keane, Theo Lynn",Academy of Management Proceedings 2020 (1) 17037,0,2020
Graham Healy,Synthetic-Neuroscore: Using a neuro-AI interface for evaluating generative adversarial networks,"Zhengwei Wang, Qi She, Alan F. Smeaton, Tomas Ward, Graham Healy",Neurocomputing,3,2020
Graham Healy,Spatial filtering pipeline evaluation of cortically coupled computer vision system for rapid serial visual presentation,"Zhengwei Wang, Graham Healy, Alan F. Smeaton, Tomas Ward",Brain-Computer Interfaces 5 32–145,3,2019
Graham Healy,A baseline interactive retrieval engine for the nticr-14 lifelog-3 semantic access task,"Van-Tu Ninh, Le Tu-Khiem, Liting Zhou, Graham Healy, Minh Triet Tran, Duc Tien Dang Nguyen, Sinead Smyth, Cathal Gurrin",The Fourteenth NTCIR Conference (NTCIR-14),6,2019
Graham Healy,Neuroscore: A brain-inspired evaluation metric for generative adversarial networks,"Zhengwei Wang, Qi She, Alan F. Smeaton, Tomas Ward, Graham Healy",arXiv preprint arXiv:1905.04243,8,2019
Graham Healy,Overview of the NTCIR-14 Lifelog-3 Task,"Cathal Gurrin, Hideo Joho, Frank Hopfgartner, Liting Zhou, Van-Tu Ninh, Le Tu-Khiem, Rami Albatal, Duc Tien Dang Nguyen, Graham Healy",The 14th NTCIR Conference Evaluation of Information Access Technologies,73,2019
Graham Healy,"VieLens, An Interactive Search engine for LSC2019","Son P Nguyen, Dien H Le, Uyen H Pham, Martin Crane, Graham Healy, Cathal Gurrin",Proceedings of the ACM Workshop on Lifelog Search Challenge 33-35,1,2019
