Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Heather J. Ruskin,Assessing the impact of HIV treatment interruptions using stochastic cellular Automata,"Andreas Hillmann, Martin Crane, Heather J. Ruskin",Journal of theoretical biology 502 110376,0,2020
Heather J. Ruskin,Release modelling of nanoencapsulated food ingredients by probabilistic models: Cellular Automata and Monte Carlo Methods,"Marija Bezbradica, Martin Crane, Heather J. Ruskin",Release and Bioavailability of Nanoencapsulated Food Ingredients 273-309,0,2020
Heather J. Ruskin,Understanding Urban Mobility and Pedestrian Movement,"Marija Bezbradica, Heather J. Ruskin",Smart Urban Development,0,2019
Heather J. Ruskin,Financial Time Series: Motif Discovery and Analysis Using VALMOD,"Eoin Cartwright, Martin Crane, Heather J. Ruskin",International Conference on Computational Science 771-778,0,2019
Heather J. Ruskin,Recent advances in computational epigenetics,"Heather J. Ruskin, Ana Barat",Advances in Genomics and Genetics 8 1-12,2,2017
Heather J. Ruskin,HIV models for treatment interruption: Adaptation and comparison,"Andreas Hillmann, Martin Crane, Heather J. Ruskin",Physica A: Statistical Mechanics and its Applications 483 44-56,8,2017
Heather J. Ruskin,EpiGeNet: a graph database of interdependencies between genetic and epigenetic events in colorectal cancer,"Irina Balaur, Mansoor Saqi, Ana Barat, Artem Lysenko, Alexander Mazein, Christopher J Rawlings, Heather J. Ruskin, Charles Auffray",Journal of Computational Biology 24 (10) 969-980,16,2017
Heather J. Ruskin,Rothamsted Repository Download,"Irina Balaur, M Saqi, A Barat, A Lysenko, A Mazein, Heather J. Ruskin",JOURNAL OF COMPUTATIONAL BIOLOGY 24 (10),0,2017
Heather J. Ruskin,A Computational Lymph Tissue Model for Long Term HIV Infection Progression and Immune Fitness.,"Andreas Hillmann, Martin Crane, Heather J. Ruskin",AICS 245-257,1,2017
Heather J. Ruskin,Finding motifs in large personal lifelogs,"Na Li, Martin Crane, Cathal Gurrin, Heather J. Ruskin",Proceedings of the 7th Augmented Human International Conference 2016 1-8,10,2016
Heather J. Ruskin,Applications of High Performance Algorithms to Large Scale Cellular Automata Frameworks Used in Pharmaceutical Modelling.,"Marija Bezbradica, Martin Crane, Heather J. Ruskin",J. Cell. Autom. 11 (1) 21-45,4,2016
Heather J. Ruskin,Evaluating the Volatility Behaviour in Irish ISEQ Overall Index Using GARCH Models,"Adel M Alsharkasi, Martin Crane, Heather J. Ruskin",Journal of Economics Management and Trade 1-13,0,2016
