Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Jennifer Foster,The ADAPT Enhanced Dependency Parser at the IWPT 2020 Shared Task,"James Barry, Joachim Wagner, Jennifer Foster",Proceedings of the 16th International Conference on Parsing Technologies and …,0,2020
Jennifer Foster,Treebank Embedding Vectors for Out-of-Domain Dependency Parsing,"Joachim Wagner, James Barry, Jennifer Foster",arXiv preprint arXiv:2005.00800,1,2020
Jennifer Foster,Shape of synth to come: Why we should use synthetic data for English surface realization,"Henry Elder, Robert Burke, Alexander O’Connor, Jennifer Foster",arXiv preprint arXiv:2005.02693,0,2020
Jennifer Foster,Cross-lingual Parsing with Polyglot Training and Multi-treebank Learning: A Faroese Case Study,"James Barry, Joachim Wagner, Jennifer Foster",arXiv preprint arXiv:1910.07938,0,2019
Jennifer Foster,Ilfhocail: A Lexicon of Irish MWEs,"Abigail Walsh, Teresa Lynn, Jennifer Foster",Proceedings of the Joint Workshop on Multiword Expressions and WordNet (MWE …,0,2019
Jennifer Foster,Fact or factitious? Contextualized opinion spam detection,"Stefan Kennedy, Niall Walsh, Kirils Sloka, Andrew McCarren, Jennifer Foster",Proceedings of the 57th Annual Meeting of the Association for Computational …,5,2019
Jennifer Foster,Is It Dish Washer Safe? Automatically Answering “Yes/No” Questions Using Customer Reviews,"Daria Dzendzik, Carl Vogel, Jennifer Foster",Proceedings of the 2019 Conference of the North American Chapter of the …,0,2019
Jennifer Foster,Designing a symbolic intermediate representation for neural surface realization,"Henry Elder, Jennifer Foster, James Barry, Alexander O’Connor",arXiv preprint arXiv:1905.10486,3,2019
Jennifer Foster,Sentiment Expression Boundaries in Sentiment Polarity Classification,"Rasoul Kaljahi, Jennifer Foster",Proceedings of the 9th Workshop on Computational Approaches to Subjectivity …,0,2018
Jennifer Foster,If you can’t beat them join them: handcrafted features complement neural nets for non-factoid answer reranking,"Dasha Bogdanova, Jennifer Foster, Daria Dzendzik, Liu Qun",Proceedings of the 15th Conference of the European Chapter of the …,9,2017
Jennifer Foster,Morphological features of the Irish universal dependency treebank,"Teresa Lynn, Jennifer Foster, Mark Dras",CEUR-WS,1,2017
Jennifer Foster,Query expansion for sentence retrieval using pseudo relevance feedback and word embedding,"Piyush Arora, Jennifer Foster, Gareth Jones",International Conference of the Cross-Language Evaluation Forum for European …,3,2017
Jennifer Foster,Report on ACL Survey on Preprint Publishing and Reviewing,"Jennifer Foster, Marti Hearst, Joakim Nivre, Shiqi Zhao",Association for Computational Linguistics,3,2017
