Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Malika Bendechache,Simulating Resource Management across the Cloud-to-Thing Continuum: A Survey and Future Directions,"Malika Bendechache, Sergej Svorobej, Patricia Takako Endo, Theo Lynn",Future Internet 12 (6) 95,0,2020
Malika Bendechache,Towards an automatic data value analysis method for relational databases,"Malika Bendechache, Nihar Sudhanshu Limaye, Rob Brennan",,1,2020
Malika Bendechache,Simulating Across the Cloud-to-Edge Continuum,"Minas Spanopoulos-Karalexidis, Christos Filelis Papadopoulo, Konstantinos M Giannoutakis, George A Gravvanis, Dimitrios Tzovaras, Malika Bendechache, Sergej Svorobej, Patricia Takako Endo, Theo Lynn",Managing Distributed Cloud Applications and Infrastructure 93-115,0,2020
Malika Bendechache,Orchestration from the Cloud to the Edge,"Sergej Svorobej, Malika Bendechache, Frank Griesinger, Jörg Domaschka",The Cloud-to-Thing Continuum 61-77,0,2020
Malika Bendechache,Detecting Human Activities Based on a Multimodal Sensor Data Set Using a Bidirectional Long Short-Term Memory Model: A Case Study,"Silvano Ramos De Assis Neto, Guto Leoni Santos, Elisson Da Silva Rocha, Malika Bendechache, Pierangelo Rosati, Theo Lynn, Patricia Takako Endo",Challenges and Trends in Multimodal Fall Detection for Healthcare 31-51,1,2020
Malika Bendechache,Towards simulation and optimization of cache placement on large virtual content distribution networks,"Christos Filelis Papadopoulo, Patricia Takako Endo, Malika Bendechache, Sergej Svorobej, Konstantinos M Giannoutakis, George A Gravvanis, Dimitrios Tzovaras, James Byrne, Theo Lynn",Journal of Computational Science 39 101052,1,2020
Malika Bendechache,Analysing dependability and performance of a real-world Elastic Search application,"Malika Bendechache, Ivanovitch Silva, Guto Leoni Santos, Luiz Affonso Guedes, Sergej Svorobej, Mario Macías, M Eduardo Ares, James Byrne, Patricia Takako Endo, Theo Lynn",2019 9th Latin-American Symposium on Dependable Computing (LADC) 1-8,0,2019
Malika Bendechache,Parallel and distributed clustering framework for big spatial data mining,"Malika Bendechache, A-Kamel Tari, M-Tahar Kechadi",International Journal of Parallel Emergent and Distributed Systems 34 (6 …,10,2019
Malika Bendechache,Modelling and simulation of ElasticSearch using CloudSim,"Malika Bendechache, Sergej Svorobej, Patricia Takako Endo, Mario Macías, M Eduardo Ares, James Byrne, Theo Lynn",2019 IEEE/ACM 23rd International Symposium on Distributed Simulation and …,2,2019
Malika Bendechache,Simulating fog and edge computing scenarios: An overview and research challenges,"Sergej Svorobej, Patricia Takako Endo, Malika Bendechache, Christos Filelis Papadopoulo, Konstantinos M Giannoutakis, George A Gravvanis, Dimitrios Tzovaras, James Byrne, Theo Lynn",Future Internet 11 (3) 55,30,2019
Malika Bendechache,Performance evaluation of a distributed clustering approach for spatial datasets,"Malika Bendechache, Nhien-An Le-Khac, M-Tahar Kechadi",Australasian Conference on Data Mining 38-56,3,2017
Malika Bendechache,Study of Distributed Dynamic Clustering Framework for Spatial Data Mining,Malika Bendechache,University College Dublin. School of Computer Science,0,2017
Malika Bendechache,Hierarchical aggregation approach for distributed clustering of spatial datasets,"Malika Bendechache, Nhien-An Le-Khac, M-Tahar Kechadi",2016 IEEE 16th International Conference on Data Mining Workshops (ICDMW …,8,2016
Malika Bendechache,Efficient large scale clustering based on data partitioning,"Malika Bendechache, M-Tahar Kechadi, Nhien-An Le-Khac",2016 IEEE International Conference on Data Science and Advanced Analytics …,13,2016
Malika Bendechache,Distributed clustering algorithm for spatial data mining,"Malika Bendechache, M-Tahar Kechadi",2015 2nd IEEE International Conference on Spatial Data Mining and …,21,2015
