Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Marija Bezbradica,Scenario-Based Requirements Elicitation for User-Centric Explainable AI,"Douglas Cirqueira, Dietmar Nedbal, Markus Helfert, Marija Bezbradica",International Cross-Domain Conference for Machine Learning and Knowledge …,0,2020
Marija Bezbradica,Release modelling of nanoencapsulated food ingredients by probabilistic models: Cellular Automata and Monte Carlo Methods,"Marija Bezbradica, Martin Crane, Heather J. Ruskin",Release and Bioavailability of Nanoencapsulated Food Ingredients 273-309,0,2020
Marija Bezbradica,Predicting Students’ Academic Performance and Main Behavioral Features Using Data Mining Techniques,"Suad Almutairi, Hadil Shaiba, Marija Bezbradica",International Conference on Computing 245-259,2,2019
Marija Bezbradica,Received Total Wideband Power Data Analysis: Multiscale wavelet analysis of RTWP data in a 3G network,"John Garrigan, Martin Crane, Marija Bezbradica",Proceedings of the 22nd International ACM Conference on Modeling Analysis …,0,2019
Marija Bezbradica,AI Cloud-Based Smart Manufacturing and 3D Printing Techniques for Future In-House Production,"Mohammed Saeed Jawad, Marija Bezbradica, Martin Crane, Mohammed Khalil Alijel",2019 International Conference on Artificial Intelligence and Advanced …,0,2019
Marija Bezbradica,Towards Preprocessing Guidelines for Neural Network Embedding of Customer Behavior in Digital Retail,"Douglas Cirqueira, Markus Helfert, Marija Bezbradica",Proceedings of the 2019 3rd International Symposium on Computer Science and …,2,2019
Marija Bezbradica,Customer Purchase Behavior Prediction in E-commerce: A Conceptual Framework and Research Agenda,"Douglas Cirqueira, Markus Hofer, Dietmar Nedbal, Markus Helfert, Marija Bezbradica",International Workshop on New Frontiers in Mining Complex Patterns 119-136,2,2019
Marija Bezbradica,The role of user emotions for content personalization in e-commerce: literature review,"Artem Bielozorov, Marija Bezbradica, Markus Helfert",International Conference on Human-Computer Interaction 177-193,2,2019
Marija Bezbradica,The Shift from Financial to Non-financial Measures During Transition into Digital Retail–A Systematic Literature Review,"Gültekin Cakir, Marija Bezbradica, Markus Helfert",International Conference on Business Information Systems 189-200,2,2019
Marija Bezbradica,"Customer Purchase Behavior Prediction in E-commerce: Current Tasks, Applications and Methodologies","Douglas Cirqueira, Markus Hofer, Dietmar Nedbal, Markus Helfert, Marija Bezbradica",International Workshop New Frontiers in Mining Complex Patterns,1,2019
Marija Bezbradica,Understanding Urban Mobility and Pedestrian Movement,"Marija Bezbradica, Heather J. Ruskin",Smart Urban Development,0,2019
Marija Bezbradica,"Day ahead forecasting of FAANG stocks using ARIMA, LSTM networks and wavelets.","Tom Skehin, Martin Crane, Marija Bezbradica",CEUR Workshop Proceedings,4,2018
Marija Bezbradica,A usage analytics model for analysing user behaviour in IBM academic cloud,"Manoj Kesavulu, Duc Tien Dang Nguyen, Marija Bezbradica, Markus Helfert",,0,2018
Marija Bezbradica,Bitcoin currency fluctuation,"Marius Kinderis, Marija Bezbradica, Martin Crane",Scitepress,7,2018
Marija Bezbradica,An overview of user-level usage monitoring in cloud environment,"Manoj Kesavulu, Duc Tien Dang Nguyen, Markus Helfert, Marija Bezbradica",UKAIS,4,2018
Marija Bezbradica,A requirements framework for the design of smart city reference architectures,"Viviana Bastidas, Markus Helfert, Marija Bezbradica",Proceedings of the 51st Hawaii International Conference on System Sciences,5,2018
Marija Bezbradica,Cities as enterprises: a comparison of smart city frameworks based on enterprise architecture requirements,"Viviana Bastidas, Marija Bezbradica, Markus Helfert",International Conference on Smart Cities 20-28,15,2017
Marija Bezbradica,Generic Refactoring Methodology for Cloud Migration-Position Paper,"Manoj Kesavulu, Marija Bezbradica, Markus Helfert",International Conference on Cloud Computing and Services Science 2 692-695,1,2017
Marija Bezbradica,A usage-based data extraction framework for cloud-based application-an human-computer interaction approach,"Manoj Kesavulu, Markus Helfert, Marija Bezbradica",Scitepress,4,2017
Marija Bezbradica,Performance analysis of the quality of service-aware networking scheme for smart internet of things gateways,"Anderson Augusto Simiscuka, Marija Bezbradica, Gabriela Magureanu",2017 13th International Wireless Communications and Mobile Computing …,8,2017
Marija Bezbradica,Usage Analytics: A Process to Extract and Analyse Usage Data to Understand User Behaviour in Cloud,"Manoj Kesavulu, Duc Tien Dang Nguyen, Marija Bezbradica, Markus Helfert",International Conference on Computer-Human Interaction Research and …,0,2017
Marija Bezbradica,Types of IT architectures in smart cities–a review from a business model and enterprise architecture perspective,"Zohreh Pourzolfaghar, Marija Bezbradica, Markus Helfert",,4,2016
Marija Bezbradica,Urban enterprise: a review of smart city frameworks from an enterprise architecture perspective,"Aleksas Mamkaitis, Marija Bezbradica, Markus Helfert",2016 IEEE International Smart Cities Conference (ISC2) 1-5,18,2016
Marija Bezbradica,Towards Refactoring in Cloud-Centric Internet of Things for Smart Cities,"Manoj Kesavulu, Markus Helfert, Marija Bezbradica",,1,2016
Marija Bezbradica,Urban Enterprise Principles development approach: a case from a European City,"Aleksas Mamkaitis, Marija Bezbradica, Markus Helfert",AIS Pre-ICIS Work. IoT Smart City Challenges Appl. Dublin Irel 1-9,4,2016
Marija Bezbradica,Applications of High Performance Algorithms to Large Scale Cellular Automata Frameworks Used in Pharmaceutical Modelling.,"Marija Bezbradica, Martin Crane, Heather J. Ruskin",J. Cell. Autom. 11 (1) 21-45,4,2016
Marija Bezbradica,Comparative analysis of asynchronous cellular automata in stochastic pharmaceutical modelling,"Marija Bezbradica, Heather J. Ruskin, Martin Crane",Journal of Computational Science 5 (5) 834-840,4,2014
Marija Bezbradica,Modelling impact of morphological urban structure and cognitive behaviour on pedestrian flows,"Marija Bezbradica, Heather J. Ruskin",International Conference on Computational Science and Its Applications 268-283,3,2014
Marija Bezbradica,Probabilistic pharmaceutical modelling: a comparison between synchronous and asynchronous cellular automata,"Marija Bezbradica, Heather J. Ruskin, Martin Crane",International Conference on Parallel Processing and Applied Mathematics 699-710,2,2013
Marija Bezbradica,Stochastic computational modelling of complex drug delivery systems,Marija Bezbradica,Dublin City University,2,2013
Marija Bezbradica,High-performance computing for data analytics,"Dimitri Perrin, Marija Bezbradica, Martin Crane, Heather J. Ruskin, Christophe Duhamel",2012 IEEE/ACM 16th International Symposium on Distributed Simulation and …,2,2012
Marija Bezbradica,Parallelisation strategies for large scale cellular automata frameworks in pharmaceutical modelling,"Marija Bezbradica, Martin Crane, Heather J. Ruskin",2012 International Conference on High Performance Computing & Simulation …,10,2012
Marija Bezbradica,Modelling drug coatings: A parallel cellular automata model of ethylcellulose-coated microspheres,"Marija Bezbradica, Heather J. Ruskin, Martin Crane",IACSIT Press Singapore,6,2011
Marija Bezbradica,Probabilistic models for dissolution of ethylcellulose coated microsphere,"Marija Bezbradica, Ana Barat, Heather J. Ruskin, Martin Crane",ESM-Eurosis,2,2010
