Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Mark Roantree,Voxento: A Prototype Voice-controlled Interactive Search Engine for Lifelogs,"Ahmed Alateeq, Mark Roantree, Cathal Gurrin",Proceedings of the Third Annual Workshop on Lifelog Search Challenge 77-81,1,2020
Mark Roantree,An Evaluation of the Irish Life Schools Fitness Challenge: 2983: Board# 29 May 31 2: 00 PM-3: 30 PM,"Kevin D O’Brien, Sarah M Kelly, Mark Roantree, Andrew McCarren, Brona Furlong, Niall Moyna",Medicine & Science in Sports & Exercise 51 (6) 817,0,2019
Mark Roantree,Benchmarking algorithms for genomic prediction of complex traits,"Christina B Azodi, Andrew McCarren, Mark Roantree, Gustavo De Los Campos, Shin-Han Shiu",bioRxiv 614479,2,2019
Mark Roantree,Automating data mart construction from semi-structured data sources,"Michael Scriney, Suzanne Mccarthy, Andrew McCarren, Paolo Cappellari, Mark Roantree",The Computer Journal 62 (3) 394-413,3,2019
Mark Roantree,Detecting Multi-Relationship Links in Sparse Datasets,"Dongyun Nie, Mark Roantree",ICEIS,0,2019
Mark Roantree,An automated ETL for online datasets,"Suzanne Mccarthy, Andrew McCarren, Mark Roantree",IEEE,1,2019
Mark Roantree,Representative Sample Extraction from Web Data Streams,"Michael Scriney, Congcong Xing, Andrew McCarren, Mark Roantree",International Conference on Database and Expert Systems Applications 341-351,0,2019
Mark Roantree,Benchmarking parametric and Machine Learning models for genomic prediction of complex traits,"Christina B Azodi, Emily Bolger, Andrew McCarren, Mark Roantree, Gustavo De Los Campos, Shin-Han Shiu",G3: Genes Genomes Genetics 9 (11) 3691-3702,5,2019
Mark Roantree,A Method for Automated Transformation and Validation of Online Datasets,"Suzanne Mccarthy, Andrew McCarren, Mark Roantree",2019 IEEE 23rd International Enterprise Distributed Object Computing …,0,2019
Mark Roantree,Multistep-ahead prediction: A comparison of analytical and algorithmic approaches,"Fouad Bahrpeyma, Mark Roantree, Andrew McCarren",International Conference on Big Data Analytics and Knowledge Discovery 345-354,2,2018
Mark Roantree,Combining web and enterprise data for lightweight data mart construction,"Suzanne Mccarthy, Andrew McCarren, Mark Roantree",International Conference on Database and Expert Systems Applications 138-146,2,2018
Mark Roantree,Optimizing data stream processing for large‐scale applications,"Paolo Cappellari, Mark Roantree, Soon Ae Chun",Software: Practice and Experience 48 (9) 1607-1641,0,2018
Mark Roantree,An architecture and services for constructing data marts from online data sources,"Suzanne Mccarthy, Andrew McCarren, Mark Roantree",,1,2018
Mark Roantree,Physiological profile and activity pattern of minor Gaelic football players,"Bryan Cullen, Mark Roantree, Andrew McCarren, David T Kelly, Paul L O’Connor, Sarah Hughes, Pat G Daly, Niall Moyna",The Journal of Strength & Conditioning Research 31 (7) 1811-1820,9,2017
Mark Roantree,Generating cubes from smart city web data,"Michael Scriney, Martin O Connor, Mark Roantree",Proceedings of the Australasian Computer Science Week Multiconference 1-8,6,2017
Mark Roantree,Anomaly detection in agri warehouse construction,"Andrew McCarren, Suzanne Mccarthy, Conor O’Sullivan, Mark Roantree",Proceedings of the Australasian Computer Science Week Multiconference 1-10,11,2017
Mark Roantree,"Predicting prices, volume and trade for meat and dairy products: an agri food data model","Suzanne Mccarthy, Andrew McCarren, Mark Roantree",,2,2017
Mark Roantree,Integrating online data for smart city data marts,"Michael Scriney, Martin O Connor, Mark Roantree",British International Conference on Databases 23-35,1,2017
Mark Roantree,Data mining in agri warehouses using modwt wavelet analysis,"Ken Bailey, Mark Roantree, Martin Crane, Andrew McCarren",International Conference on Information and Software Technologies 241-253,1,2017
Mark Roantree,Multi-resolution forecast aggregation for time series in agri datasets,"Fouad Bahrpeyma, Mark Roantree, Andrew McCarren",CEUR-WS,1,2017
Mark Roantree,Integrating online data for smart city data marts,"Mark Roantree, Michael Scriney, Martin O Connor",Springer International Publishing 10365 (1),0,2017
Mark Roantree,Detecting feature interactions in agricultural trade data using a deep neural network,"Jim O’Donoghue, Mark Roantree, Andrew McCarren",International Conference on Big Data Analytics and Knowledge Discovery 449-458,4,2017
Mark Roantree,A toolkit for analysis of deep learning experiments,"Jim O’Donoghue, Mark Roantree",International Symposium on Intelligent Data Analysis 134-145,2,2016
Mark Roantree,ISE: A High Performance System for Processing Data Streams.,"Paolo Cappellari, Soon Ae Chun, Mark Roantree",DATA 13-24,2,2016
Mark Roantree,A Scalable Platform for Low-Latency Real-Time Analytics of Streaming Data,"Paolo Cappellari, Mark Roantree, Soon Ae Chun",International Conference on Data Management Technologies and Applications 1-24,1,2016
Mark Roantree,Variable interactions in risk factors for dementia,"Jim O’Donoghue, Mark Roantree, Andrew McCarren",2016 IEEE Tenth International Conference on Research Challenges in …,2,2016
Mark Roantree,Efficient cube construction for smart city data,"Michael Scriney, Mark Roantree",CEUR-WS. org,8,2016
Mark Roantree,Mapping longitudinal studies to risk factors in an ontology for dementia,"Mark Roantree, Jim O’Donoghue, Noel O’Kelly, Maria Pierce, Kate Irving, Martin Van Boxtel, Sebastian Köhler",Health Informatics Journal 22 (2) 414-426,8,2016
Mark Roantree,Reducing dementia risk by targeting modifiable risk factors in mid-life: study protocol for the Innovative Midlife Intervention for Dementia Deterrence (In-MINDD) randomised …,"Catherine A O’Donnell, Susan Browne, Maria Pierce, Alex Mcconnachie, Kay Deckers, Martin Pj Van Boxtel, Valeria Manera, Sebastian Köhler, Muriel Redmond, Frans Rj Verhey, Marjan Van Den Akker, Kevin Power, Kate Irving, In-Mindd Team",Pilot and feasibility studies 1 (1) 40,25,2015
Mark Roantree,Reducing dementia risk by targeting modifiable risk factors in mid-life: Study protocol for the Innovative Midlife Intervention for Dementia Deterrence (In-MINDD) randomised …,"O’Donnell C., Susan Browne, Maria Pierce, Mcconnachie A., Kay Deckers, Van Boxtel M., Manera V., Sebastian Köhler, Muriel Redmond, Frans Rj Verhey, Marjan Van Den Akker, Power K., Kate Irving, Woods K., Boran L., Mcgarrigle L., Barry S., De Vugt M., Schiepers O., Vos S., Bourgeois J., Cauvin A., Robert P., Mark Roantree, Noel O’Kelly, Jim O’Donoghue, Alan F. Smeaton, Ward N., Kevin D O’Brien, Clissman C.",Pilot and Feasibility Studies,25,2015
Mark Roantree,Exploring variable interactions with restricted Boltzmann machines,"Jim O’Donoghue, Mark Roantree",,0,2015
Mark Roantree,Anomaly and event detection for unsupervised athlete performance data,"Jim O’Donoghue, Mark Roantree, Bryan Cullen, Niall Moyna, Conor O’Sullivan, Andrew McCarren",CEUR-WS. org,6,2015
Mark Roantree,A configurable deep network for high-dimensional clinical trial data,"Jim O’Donoghue, Mark Roantree, Martin Van Boxtel",2015 International Joint Conference on Neural Networks (IJCNN) 1-8,7,2015
Mark Roantree,A framework for selecting deep learning hyper-parameters,"Jim O’Donoghue, Mark Roantree",British international conference on databases 120-132,4,2015
Mark Roantree,Data cube computational model with hadoop mapreduce,"Bo Wang, Hao Gui, Mark Roantree, Martin O Connor",SCITEPRESS,9,2014
Mark Roantree,Distributed Applications and Interoperable Systems,"Kostas Magoutis, Peter Pietzuch, Mario Macías, Jordi Guitart, Stefan Brenner, Benjamin Garbers, Rüdiger Kapitza, Kamal Hakimzadeh, Hooman Peiro Sajjad, Jim Dowling, João Paulo, José Pereira, Paulo Almeida, Carlos Baquero, Ricardo Gonçalves, Nuno Preguiça, Victor Fonte, Neil Donnelly, Kate Irving, Mark Roantree, Davide Frey, Mathieu Goessens, Anne-Marie Kermarrec, Kent Simonsen, Lars Kristensen, Gonçalo Avelar, Luís Veiga, Ali Shoker, Mathieu Pasquet, Francisco Maia, Etienne Rivière, Valerio Schiavoni, Andreas Benzing, Boris Koldehofe, Kurt Rothermel, Abdulrahman Azab, Hein Meling, Reggie Davidrajuh, Fatemeh Rahimian, Amir Payberah, Sarunas Girdzijauskas, Seif Haridi, Alessio Mansutti, Marino Miculan, Marco Peressotti",,0,2014
Mark Roantree,Automating the integration of clinical studies into medical ontologies,"Mark Roantree, Jim O’Donoghue, Noel O’Kelly, Martin Van Boxtel, Sebastian Köhler",2014 47th Hawaii International Conference on System Sciences 2938-2947,11,2014
Mark Roantree,Cooperation across multiple healthcare clinics on the cloud,"Neil Donnelly, Kate Irving, Mark Roantree",IFIP International Conference on Distributed Applications and Interoperable …,6,2014
Mark Roantree,A heuristic approach to selecting views for materialization,"Mark Roantree, Jun Li",Software: Practice and Experience 44 (10) 1157-1179,12,2014
Mark Roantree,Deep learning for high dimensional and sparse clinical study data,"Jim O’Donoghue, Mark Roantree",,0,2014
Mark Roantree,FibLSS: a scalable label storage scheme for dynamic XML updates,"Martin O Connor, Mark Roantree",East European Conference on Advances in Databases and Information Systems …,3,2013
Mark Roantree,Using a pipeline approach to build data cube for large xml data streams,"Hao Gui, Mark Roantree",International Conference on Database Systems for Advanced Applications 59-73,3,2013
Mark Roantree,Topological XML data cube construction,"Hao Gui, Mark Roantree",International journal of Web engineering and technology 8 (4) 347-368,3,2013
Mark Roantree,Path-oriented keyword search over graph-modeled web data,"Paolo Cappellari, Roberto De Virgilio, Mark Roantree",World Wide Web 15 (5-6) 631-661,5,2012
Mark Roantree,Data transformation and query management in personal health sensor networks,"Mark Roantree, Jie Shi, Paolo Cappellari, Martin O Connor, Niall Moyna",Journal of Network and Computer Applications 35 (4) 1191–1202,25,2012
Mark Roantree,A data cube model for analysis of high volumes of ambient data,"Hao Gui, Mark Roantree",Procedia Computer Science 10 94-101,12,2012
Mark Roantree,SCOOTER: a compact and scalable dynamic labeling scheme for XML updates,"Martin O Connor, Mark Roantree",International Conference on Database and Expert Systems Applications 26-40,12,2012
Mark Roantree,CORBA 2 In The LIOM Project,"Pierce Hickey, Mark Roantree, Alan Crilly, John Murphy",OOIS’96: 1996 International Conference on Object Oriented Information …,0,2012
