Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Martin Crane,Assessing the impact of HIV treatment interruptions using stochastic cellular Automata,"Andreas Hillmann, Martin Crane, Heather J. Ruskin",Journal of theoretical biology 502 110376,0,2020
Martin Crane,Design Challenges for GDPR RegTech,"Paul Ryan, Martin Crane, Rob Brennan",arXiv preprint arXiv:2005.12138,0,2020
Martin Crane,Considerations on privacy in the era of digitally logged lives,"Rashmi Gupta, Martin Crane, Cathal Gurrin",Online Information Review,1,2020
Martin Crane,Release modelling of nanoencapsulated food ingredients by probabilistic models: Cellular Automata and Monte Carlo Methods,"Marija Bezbradica, Martin Crane, Heather J. Ruskin",Release and Bioavailability of Nanoencapsulated Food Ingredients 273-309,0,2020
Martin Crane,Cross-Correlation Dynamics and Community Structures of Cryptocurrencies,"Harshal Chaudhari, Martin Crane",Journal of Computational Science,0,2020
Martin Crane,Employee Turnover Prediction Using Machine Learning,"Lama Alaskar, Martin Crane, Mai Alduailij",International Conference on Computing 301-316,0,2019
Martin Crane,Received Total Wideband Power Data Analysis: Multiscale wavelet analysis of RTWP data in a 3G network,"John Garrigan, Martin Crane, Marija Bezbradica",Proceedings of the 22nd International ACM Conference on Modeling Analysis …,0,2019
Martin Crane,AI Cloud-Based Smart Manufacturing and 3D Printing Techniques for Future In-House Production,"Mohammed Saeed Jawad, Marija Bezbradica, Martin Crane, Mohammed Khalil Alijel",2019 International Conference on Artificial Intelligence and Advanced …,0,2019
Martin Crane,Computer-based Approach to Detect Wrinkles and Suggest Facial Fillers,"Amal Alrabiah, Mai Alduailij, Martin Crane",Editorial Preface From the Desk of Managing Editor… 10 (9),0,2019
Martin Crane,Financial Time Series: Motif Discovery and Analysis Using VALMOD,"Eoin Cartwright, Martin Crane, Heather J. Ruskin",International Conference on Computational Science 771-778,0,2019
Martin Crane,"VieLens, An Interactive Search engine for LSC2019","Son P Nguyen, Dien H Le, Uyen H Pham, Martin Crane, Graham Healy, Cathal Gurrin",Proceedings of the ACM Workshop on Lifelog Search Challenge 33-35,1,2019
Martin Crane,Analysis of Cryptocurrency Commodities with Motifs and LSTM.,"Benjamin Barry, Martin Crane",AICS 28-39,0,2019
Martin Crane,"Day ahead forecasting of FAANG stocks using ARIMA, LSTM networks and wavelets.","Tom Skehin, Martin Crane, Marija Bezbradica",CEUR Workshop Proceedings,4,2018
Martin Crane,Motif Discovery and Evaluation: Focus on Finance,"Eoin Cartwright, Martin Crane, Heather J. Ruskin",Econophysics 2018 (EC2018),0,2018
Martin Crane,Bitcoin currency fluctuation,"Marius Kinderis, Marija Bezbradica, Martin Crane",Scitepress,7,2018
Martin Crane,A Computational Lymph Tissue Model for Long Term HIV Infection Progression and Immune Fitness.,"Andreas Hillmann, Martin Crane, Heather J. Ruskin",AICS 245-257,1,2017
Martin Crane,Data mining in agri warehouses using modwt wavelet analysis,"Ken Bailey, Mark Roantree, Martin Crane, Andrew McCarren",International Conference on Information and Software Technologies 241-253,1,2017
Martin Crane,HIV models for treatment interruption: Adaptation and comparison,"Andreas Hillmann, Martin Crane, Heather J. Ruskin",Physica A: Statistical Mechanics and its Applications 483 44-56,8,2017
Martin Crane,NTCIR-12 lifelog data analytics,"Na Li, Cathal Gurrin, Martin Crane, Heather J. Ruskin",Proceedings of the first Workshop on Lifelogging Tools and Applications 27-36,3,2016
