Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Murat YILMAZ,Auction-based serious game for bug tracking,"Çağdaş Üsfekes, Eray Tuzun, Murat Yilmaz, Yagup Macit, Paul M. Clarke",IET Software 13 (5) 386-392,1,2019
Murat YILMAZ,Guest Editorial: Gamification and Persuasive Games for Software Engineering,"Murat Yilmaz, Rory O’Connor, Ricardo Colomo Palacios, Paul M. Clarke",IET SOFTWARE 13 (2) 97-98,0,2019
Murat YILMAZ,Anti-Social: Bireylerin Sosyal Medya Bağımlılığını Azaltmak Amacıyla Düşünülmüş Bir Ciddi Oyun,"Ulaş Güleç, Murat Yilmaz, Can Koral Adalı, Veysi İşler",13. Ulusal Yazılım Mühendisliği Sempozyumu (UYMS 2019),0,2019
Murat YILMAZ,Integration of accessibility design patterns with the software implementation process of ISO/IEC 29110,"Sandra Sanchez‐Gordon, Mary Sánchez‐Gordón, Murat Yilmaz, Rory O’Connor",Journal of Software: Evolution and Process 31 (1) e1987,6,2019
Murat YILMAZ,Observed Effects of Software Processes Change in Three Software Firms: Industrial Exploratory Case Study,Murat Yilmaz,Pamukkale Üniversitesi Mühendislik Bilimleri Dergisi 25 (2) 240-246,2,2019
Murat YILMAZ,CENGO: A Web-Based Serious Game to Increase the Programming Knowledge Levels of Computer Engineering Students,"Ulas Gulec, Murat Yilmaz, Alihan Dogus Yalcin, Rory O’Connor, Paul M. Clarke",European Conference on Software Process Improvement 1060 237--248,2,2019
Murat YILMAZ,Yazılım Uzmanları için Tasarlanmış Dijital Olmayan İş Birliği Oyunu,"Hazal Ipek Kahraman, Yasemin Bekturk, Irmak Angun, Yasemin Yigit Kuru, Murat Yilmaz",13. Ulusal Yazılım Mühendisliği Sempozyumu (UYMS 2019),0,2019
Murat YILMAZ,Assessing Personality Traits in a Large Scale Software Development Company: Exploratory Industrial Case Study,"Zulal Akarsu, Pinar Orgun, Gunyel Bora Dinc Hakan, Murat Yilmaz",Systems Software and Services Process Improvement: 26th European Conference …,1,2019
Murat YILMAZ,A 3D virtual environment for training soccer referees,"Ulas Gulec, Murat Yilmaz, Veysi Isler, Rory O’Connor, Paul M. Clarke",Computer Standards & Interfaces 64 1-10,8,2019
Murat YILMAZ,Software Testing: A Changing Career,"Sean Cunningham, Jemil Gambo, Aidan Lawless, Declan Moore, Murat Yilmaz, Paul M. Clarke, Rory O’Connor",European Conference on Software Process Improvement 731-742,2,2019
Murat YILMAZ,Cengo: A web-based serious game to increase the programming knowledge levels of computer engineering students,"Ulas Gulec, Murat Yilmaz, Alihan Dogus Yalcin, Rory O’Connor, Paul M. Clarke",European Conference on Software Process Improvement 237-248,2,2019
Murat YILMAZ,Assessing personality traits in a large scale software development company: exploratory industrial case study,"Zulal Akarsu, Pinar Orgun, Hakan Dinc, Bora Gunyel, Murat Yilmaz",European Conference on Software Process Improvement 192-206,1,2019
Murat YILMAZ,The Changing Role of the Software Engineer,"Edward Meade, Emma O’Keeffe, Niall Lyons, Dean Lynch, Murat Yilmaz, Ulas Gulec, Rory O’Connor, Paul M. Clarke",European Conference on Software Process Improvement 682-694,1,2019
Murat YILMAZ,Applying Blockchain to Improve the Integrity of the Software Development Process,"Murat Yilmaz, Serdar Tasel, Eray Tuzun, Ulas Gulec, Rory O’Connor, Paul M. Clarke",European Conference on Software Process Improvement 260-271,2,2019
Murat YILMAZ,Yazılım Mühendisliği Dersi için Geliştirilmiş Ders Akış Modeli ve İlgili Vaka Çalışması,"Murat Yilmaz, Ulas Gulec",12th Turkish National Software Engineering Conference (UYMS 2018) 1-11,0,2018
Murat YILMAZ,Virtual Reality-Based Daily Scrum Meetings.,Murat Yilmaz,Encyclopedia of Computer Graphics and Games 1--6,2,2018
Murat YILMAZ,An Exploratory Study to Assess Digital Map Zoom/Pan/Rotate Methods with HoloLens,"İsmail Kılınç, Murat Yilmaz",Süleyman Demirel Üniversitesi Fen Bilimleri Enstitüsü Dergisi 22 (2) 458-463,0,2018
Murat YILMAZ,An interactive 3D virtual environment to reduce the public speaking anxiety levels of novice software engineers,"Merve Denizci Nazligul, Murat Yilmaz, Ulas Gulec, Adviye Esin Yılmaz, Veysi Isler, Rory O’Connor, Ma Gozcu, Paul M. Clarke",IET Software 13 (2) 152-158,7,2018
Murat YILMAZ,Using Adapted Version of Hoshin Matrix for Selection of Agile Software Development Processes,"Zulal Akarsu, Ozgun Onat Metin, Yasemin Yigit Kuru, Murat Yilmaz",12th Turkish National Software Engineering Conference (UYMS 2018),1,2018
Murat YILMAZ,Software Development Overall Efficiency Improvement in a CMMI Level 5 Organization within the scope of a Case Study,"Pınar Örgün, Deniz Gungor, Yasemin Yigit Kuru, Ozgun Onat Metin, Murat Yilmaz",Uluslararası Bilgisayar Bilimleri ve Mühendisliği Konferansı (UBMK 2018) 1-12,3,2018
