Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Silvana Togneri Mac Mahon,A Framework for Taxonomy Based Testing Using Classification of Defects in Health Software-SW91,"Hamsini Ketheswarasarma Rajaram, John Loane, Silvana Togneri Mac Mahon, Fergal McCaffery",European Conference on Software Process Improvement 606-618,0,2019
Silvana Togneri Mac Mahon,Taxonomy‐based testing and validation of a new defect classification for health software,"Hamsini Ketheswarasarma Rajaram, John Loane, Silvana Togneri Mac Mahon, Fergal McCaffery",Journal of Software: Evolution and Process 31 (1) e1985,1,2019
Silvana Togneri Mac Mahon,Revising IEC 80001-1: Risk management of health information technology systems,"Silvana Togneri Mac Mahon, Todd Cooper, Fergal McCaffery",Computer Standards & Interfaces 60 67-72,7,2018
Silvana Togneri Mac Mahon,"Taxonomy Based Testing using SW91, a Medical Device Software Defect Taxonomy","Hamsini Ketheswarasarma Rajaram, John Loane, Silvana Togneri Mac Mahon, Fergal McCaffery",,0,2018
Silvana Togneri Mac Mahon,Taxonomy Based Testing and Validation of a new Defect Classification for Health Software,"Hamsini Ketheswarasarma Rajaram, John Loane, Silvana Togneri Mac Mahon, Fergal McCaffery",Journal of Software: Evolution and Process,0,2018
Silvana Togneri Mac Mahon,Approach to the development of a Unified Framework for Safety Critical Software Development,"Andrzej Beniamin Bujok, Silvana Togneri Mac Mahon, Peadar Grant, Dick Whelan, William J Rickard, Fergal McCaffery",Computer Standards & Interfaces 54 152-161,7,2017
Silvana Togneri Mac Mahon,A Proposed Approach to the Revision of IEC 80001-1 Following Annex SL,"Silvana Togneri Mac Mahon, Todd Cooper, Fergal McCaffery",International Conference on Software Process Improvement and Capability …,0,2017
Silvana Togneri Mac Mahon,Benefits of Defect Taxonomies and Validation of a new Defect Classifi-cation for Health Software,"Hamsini Ketheswarasarma Rajaram, John Loane, Silvana Togneri Mac Mahon, Fergal McCaffery",EuroAsiaSPI2 Blue Book Series Selected Papers,4,2017
Silvana Togneri Mac Mahon,The MedITNet assessment framework: development and validation of a framework for improving risk management of medical IT networks,"Silvana Togneri Mac Mahon, Fergal McCaffery, Frank Keenan",Journal of Software: Evolution and Process 28 (9) 817-834,4,2016
Silvana Togneri Mac Mahon,Safety Critical Software Development–Extending Quality Management System Practices to Achieve Compliance with Regulatory Requirements,"Andrzej Beniamin Bujok, Silvana Togneri Mac Mahon, Fergal McCaffery, Dick Whelan, Bernard Mulcahy, William J Rickard",International Conference on Software Process Improvement and Capability …,3,2016
Silvana Togneri Mac Mahon,The MedITNet Assessment Method–Development and Validation using Action Design Research. Self Assessment against IEC 80001-1,"Silvana Togneri Mac Mahon, Fergal McCaffery, Frank Keenan",International Journal on Advances in Life Sciences 8 (1 & 2) 143-153,0,2016
Silvana Togneri Mac Mahon,Development of the MedITNet Assessment Method. Enabling Healthcare Delivery Organisation Self Assessment against IEC 80001-1,"Silvana Togneri Mac Mahon, Fergal McCaffery, Frank Keenan",The First International Conference on Fundamentals and Advances in Software …,3,2015
Silvana Togneri Mac Mahon,Development and validation of the MedITNet assessment framework: improving risk management of medical IT networks,"Silvana Togneri Mac Mahon, Fergal McCaffery, Frank Keenan",Proceedings of the 2015 International Conference on Software and System …,8,2015
Silvana Togneri Mac Mahon,Assessing a hospital's medical IT network risk management practice with 80001-1,"Francis J Hegarty, Silvana Togneri Mac Mahon, Patricia Byrne, Fergal McCaffery",Biomedical instrumentation & technology 48 (1) 64-71,11,2014
Silvana Togneri Mac Mahon,Using IEC80001-1 to assess a hospital’s Medical IT-Network risk management practice,"Silvana Togneri Mac Mahon, Francis J Hegarty, Fergal McCaffery, Patricia Byrne",Biomedical Instrumentation & Technology,0,2014
Silvana Togneri Mac Mahon,The Approach to the Development of an Assessment Method for IEC 80001-1,"Silvana Togneri Mac Mahon, Fergal McCaffery, Frank Keenan",International Conference on Software Process Improvement and Capability …,5,2013
Silvana Togneri Mac Mahon,Risk management of medical IT networks: an ISO/IEC 15504 compliant approach to assessment against IEC 80001-1,"Silvana Togneri Mac Mahon, Fergal McCaffery, Frank Keenan",Proceedings of the 2013 International Conference on Software and System …,5,2013
Silvana Togneri Mac Mahon,Assessing against IEC 80001-1,"Silvana Togneri Mac Mahon, Fergal McCaffery, Sherman Eagles, Frank Keenan, Marion Lepmets, Alain Renault",,2,2013
Silvana Togneri Mac Mahon,Improving safety in medical devices from concept to retirement,"Martin Mchugh, Fergal McCaffery, Silvana Togneri Mac Mahon, Anita Finnegan",Handbook of Medical and Healthcare Technologies 453-480,4,2013
Silvana Togneri Mac Mahon,Transforming requirements of IEC 80001-1 into an ISO/IEC 15504-2 compliant process reference model and process assessment model,"Silvana Togneri Mac Mahon, Fergal McCaffery, Frank Keenan",Euro SPI,7,2013
Silvana Togneri Mac Mahon,Towards a process assessment model for IEC 80001-1,"Silvana Togneri Mac Mahon, Fergal McCaffery, Frank Keenan",,4,2013
Silvana Togneri Mac Mahon,Experience gained in applying IEC 80001-1 principles to a medical IT network supporting a clinical information system.,"Silvana Togneri Mac Mahon, Francis J Hegarty, Patricia Byrne",Medical Physics International 1 (2) 299,0,2013
Silvana Togneri Mac Mahon,Development of a process assessment model for assessing medical IT networks against IEC 80001-1,"Silvana Togneri Mac Mahon, Fergal McCaffery, Sherman Eagles, Frank Keenan, Marion Lepmets, Alain Renault",International Conference on Software Process Improvement and Capability …,9,2012
