Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Suzanne Little,Utilising Visual Attention Cues for Vehicle Detection and Tracking,"Feiyan Hu, Noel O’Connor, Alan F. Smeaton, Suzanne Little",arXiv preprint arXiv:2008.00106,0,2020
Suzanne Little,Multiple path prediction for traffic scenes using LSTMs and mixture density models,"Jaime B Fernandez, Suzanne Little, Noel O’Connor",,0,2020
Suzanne Little,ECIR 2020 Workshops: Assessing the Impact of Going Online,"Sérgio Nunes, Suzanne Little, Sumit Bhatia, Ludovico Boratto, Guillaume Cabanac, Ricardo Campos, Francisco M Couto, Stefano Faralli, Ingo Frommholz, Adam Jatowt, Alípio Jorge, Mirko Marras, Philipp Mayr, Giovanni Stilo",arXiv preprint arXiv:2005.06748,1,2020
Suzanne Little,A Single-Shot Approach Using an LSTM for Moving Object Path Prediction,"Jaime B Fernandez, Suzanne Little, Noel O’Connor",2019 Ninth International Conference on Image Processing Theory Tools and …,0,2019
Suzanne Little,Saliency Guided 2D-Object Annotation for Instrumented Vehicles,"Gm Venkatesh, Feiyan Hu, Noel O’Connor, Alan F. Smeaton, Zhen Yang, Suzanne Little",2019 International Conference on Content-Based Multimedia Indexing (CBMI) 1-7,0,2019
Suzanne Little,"Semi-Automatic Multi-Object Video Annotation Based on Tracking, Prediction and Semantic Segmentation","Jaime B Fernandez, Gm Venkatesh, Dian Zhang, Suzanne Little, Noel O’Connor",2019 International Conference on Content-Based Multimedia Indexing (CBMI) 1-4,0,2019
Suzanne Little,Fashion Police: Towards Semantic Indexing of Clothing Information in Surveillance Data,"Owen Corrigan, Suzanne Little",International Conference on Multimedia Modeling 191-201,0,2019
Suzanne Little,Saliency guided 2D-object annotation for instrumented vehicles,"Venkatesh Gurum Munirathnam, Feiyan Hu, Noel O’Connor, Alan F. Smeaton, Zhen Yang, Suzanne Little",IEEE,0,2019
Suzanne Little,A Low-Cost Smart Sensor Network for Catchment Monitoring,"Dian Zhang, Brendan Heery, Maria O’Neil, Suzanne Little, Noel O’Connor, Fiona Regan",Sensors 19 (10) 2278,2,2019
Suzanne Little,MediaEval 2019: Concealed FGSM perturbations for privacy preservation,"Linardos Panagiotis, Suzanne Little, Kevin McGuinness",arXiv preprint arXiv:1910.11603,1,2019
Suzanne Little,Performance of video processing at the edge for crowd-monitoring applications,"Camille Bailas, Mark Marsden, Dian Zhang, Noel O’Connor, Suzanne Little",2018 IEEE 4th World Forum on Internet of Things (WF-IoT) 482-487,12,2018
Suzanne Little,"People, penguins and petri dishes: Adapting object counting models to new visual domains and object types without forgetting","Mark Marsden, Kevin McGuinness, Suzanne Little, Ciara E Keogh, Noel O’Connor",Proceedings of the IEEE Conference on Computer Vision and Pattern …,26,2018
Suzanne Little,A deep residual architecture for skin lesion segmentation,"Gm Venkatesh, Yg Naresh, Suzanne Little, Noel O’Connor",OR 2.0 Context-Aware Operating Theaters Computer Assisted Robotic Endoscopy …,20,2018
Suzanne Little,A residual encoder-decoder network for semantic segmentation in autonomous driving scenarios,"Yg Naresh, Suzanne Little, Noel O’Connor",2018 26th European Signal Processing Conference (EUSIPCO) 1052-1056,3,2018
Suzanne Little,A novel shape descriptor based on salient keypoints detection for binary image matching and retrieval,"Houssem Chatbri, Keisuke Kameyama, Paul Kwan, Suzanne Little, Noel O’Connor",Multimedia Tools and Applications 77 (21) 28925-28948,3,2018
