Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Tomas Ward,IROS 2019 Lifelong Robotic Vision: Object Recognition Challenge [Competitions],"Heechul Bae, Eoin Brophy, Rosa Hm Chan, Baoquan Chen, Fan Feng, Gabriele Graffieti, Vidit Goel, Xinyue Hao, Hyonyoung Han, Sathursan Kanagarajah, Somesh Kumar, Siew-Kei Lam, Tin Lun Lam, Chuanlin Lan, Qi Liu, Vincenzo Lomonaco, Liang Ma, Davide Maltoni, German I Parisi, Lorenzo Pellegrini, Duvindu Piyasena, Shiliang Pu, Qi She, Debdoot Sheet, Soonyong Song, Youngsung Son, Zhengwei Wang, Tomas Ward, Jianwen Wu, Meiqing Wu, Di Xie, Yangsheng Xu, Lin Yang, Qihan Yang, Qiaoyong Zhong, Liguang Zhou",IEEE Robotics & Automation Magazine 27 (2) 11-16,0,2020
Tomas Ward,A Neuro-AI interface for evaluating generative adversarial networks,"Zhengwei Wang, Qi She, Alan F. Smeaton, Tomas Ward, Graham Healy",arXiv preprint arXiv:2003.03193,2,2020
Tomas Ward,"Cognitive Performance, Quality and Quantity of Movement Reflect Psychological Symptoms in Adolescents","Maedeh Mansoubi, Benjamin David Weedon, Patrick Esser, Nancy Mayo, Mina Fazel, Will Wade, Tomas Ward, Steve Kemp, Anne Delextrat, Helen Dawes",Journal of Sports Science & Medicine 19 (2) 364,0,2020
Tomas Ward,Use of neural signals to evaluate the quality of generative adversarial network performance in facial image generation,"Zhengwei Wang, Graham Healy, Alan F. Smeaton, Tomas Ward",Cognitive Computation 12 (1) 13-24,10,2020
Tomas Ward,Experiences and insights from the collection of a novel multimedia EEG dataset,"Graham Healy, Zhengwei Wang, Tomas Ward, Alan F. Smeaton, Cathal Gurrin",International Conference on Multimedia Modeling 475-486,2,2020
Tomas Ward,Artifact Abstract: CNNs for Heart Rate Estimation and Human Activity Recognition in Wrist Worn Sensing Applications,"Eoin Brophy, Willie Muehlhausen, Alan F. Smeaton, Tomas Ward",2020 IEEE International Conference on Pervasive Computing and Communications …,0,2020
Tomas Ward,Nested similarity in matrix theory,"Annraoi De Paor, Tomas Ward",Mathematical Proceedings of the Royal Irish Academy 120 (1) 19-24,0,2020
Tomas Ward,CNNs for Heart Rate Estimation and Human Activity Recognition in Wrist Worn Sensing Applications,"Eoin Brophy, Willie Muehlhausen, Alan F. Smeaton, Tomas Ward",2020 IEEE International Conference on Pervasive Computing and Communications …,0,2020
Tomas Ward,Optimised Convolutional Neural Networks for Heart Rate Estimation and Human Activity Recognition in Wrist Worn Sensing Applications,"Eoin Brophy, Willie Muehlhausen, Alan F. Smeaton, Tomas Ward",arXiv preprint arXiv:2004.00505,0,2020
Tomas Ward,Predicting Injectable Medication Adherence via a Smart Sharps Bin and Machine Learning,"Yingqi Gu, Akshay Zalkikar, Lara Kelly, Kieran Daly, Tomas Ward",arXiv preprint arXiv:2004.01144,0,2020
Tomas Ward,IROS 2019 Lifelong Robotic Vision Challenge--Lifelong Object Recognition Report,"Qi She, Fan Feng, Qi Liu, Rosa Hm Chan, Xinyue Hao, Chuanlin Lan, Qihan Yang, Vincenzo Lomonaco, German I Parisi, Heechul Bae, Eoin Brophy, Baoquan Chen, Gabriele Graffieti, Vidit Goel, Hyonyoung Han, Sathursan Kanagarajah, Somesh Kumar, Siew-Kei Lam, Tin Lun Lam, Liang Ma, Davide Maltoni, Lorenzo Pellegrini, Duvindu Piyasena, Shiliang Pu, Debdoot Sheet, Soonyong Song, Youngsung Son, Zhengwei Wang, Tomas Ward, Jianwen Wu, Meiqing Wu, Di Xie, Yangsheng Xu, Lin Yang, Qiaoyong Zhong, Liguang Zhou",arXiv preprint arXiv:2004.14774,1,2020
Tomas Ward,PNS230 USING MACHINE LEARNING FOR SIGNAL DETECTION IN REALWORLD DATA FROM WRISTWORN WEARABLE DEVICES TO IDENTIFY FRAUDULENT BEHAVIOUR,"Willie Muehlhausen, L Zhang, L Smith, Tomas Ward",Value in Health 22 S325,0,2019
Tomas Ward,Neuroscore: A brain-inspired evaluation metric for generative adversarial networks,"Zhengwei Wang, Qi She, Alan F. Smeaton, Tomas Ward, Graham Healy",arXiv preprint arXiv:1905.04243,11,2019
Tomas Ward,A machine learning approach towards detecting dementia based on its modifiable risk factors,"Reem Bin-Hezam, Tomas Ward",International Journal of Advanced Computer Science and Applications 10 (8),0,2019
Tomas Ward,Detection of chronic kidney disease using machine learning algorithms with least number of predictors,"Marwa Almasoud, Tomas Ward",International Journal of Soft Computing and Its Applications 10 (8),1,2019
Tomas Ward,Brain plasticity and motor skill competence development in adolescents with poor motor skill acquisition and performance: Trial Protocol for a controlled experimental paradigm,"Patrick Esser, Benjamin D Weedon, Andy Meaney, Anne Delextrat, Wala Mahmoud, Piergiorgio Salvan, Thomas Wassenaar, Shawn Joshi, Yan-Ci Liu, Steve Kemp, Tomas Ward, Heidi Johansen-Berg, Helen Dawes",DOI 10.17605/OSF.IO/W8GJ6,0,2019
Tomas Ward,A p300-based brain-computer interface for improving attention,"Mahnaz Arvaneh, Ian Robertson, Tomas Ward",Frontiers in human neuroscience 12 524,9,2019
Tomas Ward,Quick and easy time series generation with established image-based GANs,"Eoin Brophy, Zhengwei Wang, Tomas Ward",arXiv preprint arXiv:1902.05624,10,2019
Tomas Ward,Investigating the Application of Transfer Learning to Neural Time Series Classification,"Damien Kearney, Seamus Mcloone, Tomas Ward",2019 30th Irish Signals and Systems Conference (ISSC) 1-5,0,2019
Tomas Ward,A Neuro-AI Interface: Learning DNNs from the Human Brain,"Zhengwei Wang, Qi She, Eoin Brophy, Alan F. Smeaton, Tomas Ward, Graham Healy",,0,2019
Tomas Ward,Generative adversarial networks in computer vision: A survey and taxonomy,"Zhengwei Wang, Qi She, Tomas Ward",arXiv preprint arXiv:1906.01529,55,2019
Tomas Ward,Synthesis of Realistic ECG using Generative Adversarial Networks,"Anne Marie Delaney, Eoin Brophy, Tomas Ward",arXiv preprint arXiv:1909.09150,4,2019
Tomas Ward,A novel approach to using machine learning algorithms for fraud detection in real world data from wrist worn wearable devices,"Willie Muehlhausen, Lili Zhang, Eoin Brophy, Tomas Ward",QUALITY OF LIFE RESEARCH 28 S177-S178,0,2019
Tomas Ward,Predicting media memorability using ensemble models,"David Azcona, Enric Moreu, Feiyan Hu, Tomas Ward, Alan F. Smeaton",CEUR Workshop Proceedings,1,2019
Tomas Ward,PNS309 UTILIZING MACHINE LEARNING AND ECG DATA FOR CONTINUOUS USER AUTHENTICATION OF PATIENTS DURING A CLINICAL TRIAL,"Willie Muehlhausen, C Smyth, B Cardiff, Tomas Ward",Value in Health 22 S816,0,2019
Tomas Ward,"Quantifying the concentration of glucose, urea, and lactic acid in mixture by confocal Raman microscopy","Zhengyuan Tang, Sinead J Barton, Tomas Ward, John Lowry, Michelle Doran, Hugh J Byrne, Bryan M Hennelly",Biophotonics: Photonic Solutions for Better Health Care VI 10685 106850V,0,2018
Tomas Ward,A wearable sensor-based exercise biofeedback system: mixed methods evaluation of Formulift,"Martin O’Reilly, Patrick Slevin, Tomas Ward, Brian Caulfield",JMIR mHealth and uHealth 6 (1) e33,6,2018
Tomas Ward,Algorithm for optimal denoising of Raman spectra,"Sinead J Barton, Tomas Ward, Bryan M Hennelly",Analytical Methods 10 (30) 3759-3769,9,2018
Tomas Ward,A review of feature extraction and classification algorithms for image RSVP based BCI,"Zhengwei Wang, Graham Healy, Alan F. Smeaton, Tomas Ward",Signal processing and machine learning for brain-machine interfaces 243-270,7,2018
Tomas Ward,Revealing Cortical Activation Patterns of Novel Task Performance in Children With Low Coordination via fNIRS,"Shawn Joshi, Benjamin David Weedon, Patrick Esser, Y Liu, Dn Springett, Andrew Meaney, Anne Delextrat, Steve Kemp, Tomas Ward, Hasan Ayaz, Helen Dawes",Front. Hum. Neurosci. Conference Abstract: 2nd International Neuroergonomics …,2,2018
Tomas Ward,Wearable inertial sensor systems for lower limb exercise detection and evaluation: a systematic review,"Martin O’Reilly, Brian Caulfield, Tomas Ward, William Johnston, Cailbhe Doherty",Sports Medicine 48 (5) 1221-1246,36,2018
Tomas Ward,A machine vision approach to human activity recognition using photoplethysmograph sensor data,"Eoin Brophy, José Juan Dominguez, Zhengwei Wang, Tomas Ward",2018 29th Irish Signals and Systems Conference (ISSC) 1-6,3,2018
Tomas Ward,Validation of low-cost wireless EEG system for measuring event-related potentials,"Yongxiang Wang, Zhengwei Wang, William Clifford, Charles Markham, Tomas Ward, Catherine Deegan",2018 29th Irish Signals and Systems Conference (ISSC) 1-6,1,2018
Tomas Ward,Multicomponent analysis using a confocal Raman microscope,"Zhengyuan Tang, Sinead J Barton, Tomas Ward, John Lowry, Michelle Doran, Hugh J Byrne, Bryan M Hennelly",Applied optics 57 (22) E118-E130,1,2018
Tomas Ward,Spatial filtering pipeline evaluation of cortically coupled computer vision system for rapid serial visual presentation,"Zhengwei Wang, Graham Healy, Alan F. Smeaton, Tomas Ward",Brain-Computer Interfaces 5 (4) 132-145,3,2018
Tomas Ward,Dublin's participation in the predicting media memorability task at MediaEval 2018,"Alan F. Smeaton, Owen Corrigan, Paul Dockree, Cathal Gurrin, Graham Healy, Feiyan Hu, Kevin McGuinness, Eva Mohedano, Tomas Ward",CEUR-WS,0,2018
Tomas Ward,An interpretable machine vision approach to human activity recognition using photoplethysmograph sensor data,"Eoin Brophy, José Juan Dominguez, Zhengwei Wang, Alan F. Smeaton, Tomas Ward",arXiv preprint arXiv:1812.00668,5,2018
Tomas Ward,Technology in rehabilitation: evaluating the single leg squat exercise with wearable inertial measurement units,"Darragh Whelan, Martin O’Reilly, Tomas Ward, Eamonn Delahunt, Brian Caulfield",Methods Inf Med 56 (2) 88-94,22,2017
Tomas Ward,Technology in rehabilitation: Comparing personalised and global classification methodologies in evaluating the squat exercise with wearable IMUs,"Darragh Whelan, Martin O’Reilly, Tomas Ward, Eamonn Delahunt, Brian Caulfield",Methods of Information in Medicine 56 (05) 361-369,3,2017
Tomas Ward,"Feature-free activity classification of inertial sensor data with machine vision techniques: method, development, and evaluation","José Juan Dominguez, Martin O’Reilly, Darragh Whelan, Brian Caulfield, Tomas Ward",JMIR mHealth and uHealth 5 (8) e115,17,2017
Tomas Ward,JMIR Rehabilitation and Assistive Technologies,"Alessandro Peretti, Francesco Amenta, Seyed Tayebati, Giulio Nittari, Syed Mahdi, Thomas Stütz, Gerlinde Emsenhuber, Daniela Huber, Michael Domhardt, Martin Tiefengrabner, Gertie Oostingh, Ulrike Fötschl, Nicholas Matis, Simon Ginzinger, Martin O’Reilly, Joe Duffin, Tomas Ward, Brian Caulfield, Stephan Huber, Janosch Priebe, Kaja-Maria Baumann, Anne Plidschun, Christine Schiessl, Thomas Tölle, Hendrik Buimer, Monique Tabak, Lex Van Velsen, Thea Van Der Geest, Hermie Hermens, Luca Lonini, Aakash Gupta, Susan Deems-Dluhy, Shenan Hoppe-Ludwig, Konrad Kording, Arun Jayaraman",JMIR 4 (2),1,2017
Tomas Ward,Technology in Rehabilitation: Evaluating the Single Leg Squat Exercise with Wearable Inertial Measurement Units,"Martin O’Reilly, Tomas Ward, Eamonn Delahunt, Brian Caulfield",Methods of Information in Medicine 55 (6) 88-94,0,2017
Tomas Ward,An eeg image-search dataset: A first-of-its-kind in IR/IIR. NAILS: neurally augmented image labelling strategies,"Graham Healy, Zhengwei Wang, Cathal Gurrin, Tomas Ward, Alan F. Smeaton",,7,2017
Tomas Ward,Mobile app to streamline the development of wearable sensor-based exercise biofeedback systems: system development and evaluation,"Martin O’Reilly, Joe Duffin, Tomas Ward, Brian Caulfield",JMIR rehabilitation and assistive technologies 4 (2) e9,9,2017
Tomas Ward,Technology in strength and conditioning tracking lower-limb exercises with wearable sensors,"Martin O’Reilly, Darragh Whelan, Tomas Ward, Eamonn Delahunt, Brian Caulfield",The Journal of Strength & Conditioning Research 31 (6) 1726-1736,11,2017
Tomas Ward,Classification of lunge biomechanics with multiple and individual inertial measurement units,"Martin O’Reilly, Darragh Whelan, Tomas Ward, Eamonn Delahunt, Brian Caulfield",Sports biomechanics 16 (3) 342-360,13,2017
Tomas Ward,Technology in strength and conditioning: assessing bodyweight squat technique with wearable sensors,"Martin O’Reilly, Darragh Whelan, Tomas Ward, Eamonn Delahunt, Brian Caulfield",The Journal of Strength & Conditioning Research 31 (8) 2303-2312,9,2017
Tomas Ward,Overview of NTCIR-13 NAILS task,"Graham Healy, Tomas Ward, Cathal Gurrin, Alan F. Smeaton",NRCIR,9,2017
Tomas Ward,Facilitating motor imagery-based brain–computer interface for stroke patients using passive movement,"Mahnaz Arvaneh, Cuntai Guan, Kai Keng Ang, Tomas Ward, Karen Sg Chua, Christopher Wee Keong Kuah, Gopal Joseph Ephraim Joseph, Kok Soon Phua, Chuanchu Wang",Neural Computing and Applications 28 (11) 3259-3272,23,2017
Tomas Ward,Improving the robustness and performance of parallel joins over distributed systems,"Long Cheng, Spyros Kotoulas, Tomas Ward, Georgios Theodoropoulos",Journal of Parallel and Distributed Computing 109 310-323,7,2017
Tomas Ward,Classification of deadlift biomechanics with wearable inertial measurement units,"Martin O’Reilly, Darragh Whelan, Tomas Ward, Eamonn Delahunt, Brian Caulfield",Journal of biomechanics 58 155-161,16,2017
Tomas Ward,Evaluating performance of the lunge exercise with multiple and individual inertial measurement units,"Darragh Whelan, Martin O’Reilly, Tomas Ward, Eamonn Delahunt, Brian Caulfield",Pervasive Health 2016: 10th EAI International Conference on Pervasive …,18,2016
Tomas Ward,Effects of anodal high-definition transcranial direct current stimulation on bilateral sensorimotor cortex activation during sequential finger movements: an fNIRS study,"Makii Muthalib, Pierre Besson, John Rothwell, Tomas Ward, Stephane Perrey",Oxygen Transport to Tissue XXXVII 351-359,28,2016
Tomas Ward,Improving memory performance using a wearable BCI,"Mahnaz Arvaneh, R Mc Cormack, Tomas Ward, Ian Robertson",Brain-Computer Interfaces,1,2016
Tomas Ward,Improving Task Performance through High Level Shared Control of Multiple Robots with a Context Aware Human-Robot Interface,"Simon O’Keeffe, Tomas Ward, Rudi Villing",2016 International Conference on Autonomous Robot Systems and Competitions …,1,2016
Tomas Ward,An investigation of triggering approaches for the rapid serial visual presentation paradigm in brain computer interfacing,"Zhengwei Wang, Graham Healy, Alan F. Smeaton, Tomas Ward",2016 27th Irish Signals and Systems Conference (ISSC) 1-6,8,2016
Tomas Ward,A closed-loop BCI system for rehabilitation of the hemiplegic upper-limb: A performance study of the systems ability to detect intention of movement,"Juliette Hurtier, Leh Van Dokkum, Sami Dalhoumi, Aodhan Coffey, Stephane Perrey, Claire Jourdan, Gerard Dray, Tomas Ward, Jerôme Froger, Isabelle Laffont",Annals of physical and rehabilitation medicine 59 e88,4,2016
Tomas Ward,Data collection requirements for mobile connected health: an end user development approach,"José Juan Dominguez, Tomas Ward",Proceedings of the 1st International Workshop on Mobile Development 23-30,4,2016
Tomas Ward,Predicting risk of suicide using resting state heart rate,"Daud Sikander, Mahnaz Arvaneh, Francesco Amico, Graham Healy, Tomas Ward, Damien Kearney, Eva Mohedano, Jennifer Fagan, John Yek, Alan F. Smeaton, Justin Brophy",2016 Asia-Pacific Signal and Information Processing Association Annual …,5,2016
Tomas Ward,Brain computer interfaces for neurorehabilitation–its current status as a rehabilitation strategy post-stroke,"Leh Van Dokkum, Tomas Ward, Isabelle Laffont",Annals of physical and rehabilitation medicine 58 (1) 3-8,113,2015
