Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year,Filename,Ignore Y/N
Alan F. Smeaton,Automatically assisting human memory: A SenseCam browser,"Aiden Doherty, Chris Moulin, Alan F. Smeaton",Memory 19 (7) 785-795,95,2011,,
Alan F. Smeaton,CNNs for Heart Rate Estimation and Human Activity Recognition in Wrist Worn Sensing Applications,"Eoin Brophy, Willie Muehlhausen, Alan F. Smeaton, Tomas Ward",2020 IEEE International Conference on Pervasive Computing and Communications …,0,2020,,
Alan F. Smeaton,I-JEN,"Nazlena Mohamad Ali, Masnizah Mohd, Hyowon Lee, Alan F. Smeaton, Fabio Crestani, Shahrul Azman Mohd Noah",2nd International Visual Informatics Conference IVIC 2011,0,2011,,
Alan F. Smeaton,Report from the SIGMM Emerging Leaders Symposium 2018,"Alan F. Smeaton, Hanwang Zhang, Michael Riegler, Jia Jia, Liqiang Nie",ACM SIGMultimedia Records 10 (4) 2,0,2019,,
Alan F. Smeaton,Special Issue in MultiMedia Modeling,"Benoit Huet, Alan F. Smeaton, Ketan Mayer-Patel, Yannis Avrithis",EURASIP Journal on Image and Video Processing 2010 (1) 792567,0,2010,,
Alan F. Smeaton,Generating power footprints without appliance interaction: An enabler for privacy intrusion,"Alex Sintoni, Anthony Schoofs, Aiden Doherty, Alan F. Smeaton, Greg Mp O’Hare, Antonio G Ruzzelli",Distributed Computing in Sensor Systems and Workshops (DCOSS) 2011 …,4,2011,,
Alan F. Smeaton,"Advances in Visual Informatics: 6th International Visual Informatics Conference, IVIC 2019, Bangi, Malaysia, November 19–21, 2019, Proceedings","Halimah Badioze Zaman, Alan F. Smeaton, Timothy K Shih, Sergio Velastin, Tada Terutoshi, Nazlena Mohamad Ali, Mohammad Nazir Ahmad",Springer Nature,0,2019,,
Alan F. Smeaton,Information Retrieval Technology,"Nazlena Mohamad Ali, Shahrul Azman Mohd Noah, Alan F. Smeaton, Peter Bruza, Zainab Abu Bakar, Nursuriati Jamil, Tengku Mohd Sembok, Azizah Jaafar",Springer,10,2014,,
Alan F. Smeaton,Method and apparatus to provide broadcasting program information on screen of broadcast receiver,"Taeung Jung, Hyowon Lee, Choi Yoonhee, Alan F. Smeaton, Cathal Gurrin",US Patent 9338386,49,2016,,
Alan F. Smeaton,Quality-oriented multiple-source multimedia delivery over heterogeneous wireless networks,"Seung-Bum Lee, Alan F. Smeaton, Gabriela Magureanu",IEEE Transactions on Broadcasting 57 (2) 216-230,11,2011,,
Alan F. Smeaton,Interaction design for multi-touch interactive walls,"Wang Chen, Song-Yang Lao, Hyowon Lee, Alan F. Smeaton",2012 Second International Conference on Intelligent System Design and …,4,2012,,
