Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year,Filename,Ignore Y/N
Alistair Sutherland,Non-parametric image transforms for sparse disparity maps,"Dexmont Pena, Alistair Sutherland",2015 14th IAPR International Conference on Machine Vision Applications (MVA …,1,2015,,
Alistair Sutherland,A simple and efficient approach for 3D model decomposition,"Fattah Alizadeh, Alistair Sutherland, Alireza Dehghani",2013 8th Iranian Conference on Machine Vision and Image Processing (MVIP) 1-4,1,2013,,
Alistair Sutherland,A novel approach for occluded ear recognition based on shape context,"Rizhin Nuree Othman, Fattah Alizadeh, Alistair Sutherland",2018 International Conference on Advanced Science and Engineering (ICOASE …,3,2018,,
Alistair Sutherland,Recommendations from a Study of a Multimodal Positive Computing System for Public Speaking,"Fiona Dermody, Alistair Sutherland",International Joint Conference on Computer Vision Imaging and Computer …,0,2018,,
Alistair Sutherland,Manifold interpolation for an efficient hand shape recognition in the irish sign language,"Marlon Oliveira, Alistair Sutherland, Mohamed Farouk",International Symposium on Visual Computing 320-329,4,2016,,
Alistair Sutherland,Boosted subunits: a framework for recognising sign language from videos,"Junwei Han, George Awad, Alistair Sutherland",IET Image Processing 7 (1) 70-80,20,2013,,
Alistair Sutherland,Fast obstacle detection using sparse edge-based disparity maps,"Dexmont Alejandro Pena Carrillo, Alistair Sutherland",2016 Fourth International Conference on 3D Vision (3DV) 66-72,4,2016,,
Alistair Sutherland,Patch-Wise Charge Distribution Density for 3D Model Retrieval,"Fattah Alizadeh, Alistair Sutherland, Khaled Moradi",International Journal of Modeling and Optimization 4 (3) 233,1,2014,,
Alistair Sutherland,Novel boosting framework for subunit-based sign language recognition,"George Awad, Junwei Han, Alistair Sutherland",2009 16th IEEE International Conference on Image Processing (ICIP) 2729-2732,21,2009,,
Alistair Sutherland,Interpolating eigenvectors from secondstage pca to find the pose angle in handshape recognition,"Marlon Oliveira, Alistair Sutherland",Irish Machine Vision & Image Processing Conference 114-117,4,2015,,
Alistair Sutherland,Automatic skin segmentation and tracking in sign language recognition,"Junwei Han, George Awad, Alistair Sutherland",IET Computer Vision 3 (1) 24-35,60,2009,,
Alistair Sutherland,Disparity estimation by simultaneous edge drawing,"Dexmont Pena, Alistair Sutherland",Asian Conference on Computer Vision 124-135,14,2016,,
Alistair Sutherland,Modelling and segmenting subunits for sign language recognition based on hand motion analysis,"Junwei Han, George Awad, Alistair Sutherland",Pattern Recognition Letters 30 (6) 623-633,87,2009,,
Alistair Sutherland,A Robust 3D Shape Descriptor based on the Electrical Charge Distribution.,"Fattah Alizadeh, Alistair Sutherland",VISAPP (1) 213-218,2,2013,,
Alistair Sutherland,Principal component pyramids for manifold learning in hand shape recognition,"Mohamed Farouk, Alistair Sutherland",ICT Express 4 (2) 63-68,0,2018,,
Alistair Sutherland,A combined two-stage local-spatial interest point matching algorithm,"Alireza Dehghani, Alistair Sutherland",2013 8th Iranian Conference on Machine Vision and Image Processing (MVIP …,1,2013,,
Alistair Sutherland,Charge density-based 3D model retrieval using bag-of-feature,"Fattah Alizadeh, Alistair Sutherland",Proceedings of the Sixth Eurographics Workshop on 3D Object Retrieval 97-100,2,2013,,
Alistair Sutherland,3D Mesh Decomposition Using Protrusion and Boundary Part Detection,"Fattah Alizadeh, Alistair Sutherland",International Conference on Computer Analysis of Images and Patterns 126-134,0,2013,,
Alistair Sutherland,A Dynamic Hybrid Local-spatial Interest Point Matching Algorithm for Articulated Human Body Tracking.,"Alireza Dehghani, Alistair Sutherland",ICPRAM 536-543,2,2014,,
Alistair Sutherland,Two-stage PCA with interpolated data for hand shape recognition in sign language,"Marlon Oliveira, Alistair Sutherland, Mohamed Farouk",2016 IEEE Applied Imagery Pattern Recognition Workshop (AIPR) 1-4,4,2016,,
Alistair Sutherland,A novel interest-point-based background subtraction algorithm,"Alireza Dehghani, Alistair Sutherland",ELCVIA Electronic Letters on Computer Vision and Image Analysis 13 (1) 50-67,7,2014,,
Alistair Sutherland,An improved interest point matching algorithm for human body tracking,"Alireza Dehghani, Alistair Sutherland, David Moloney, Dexmont Pena",International Image Processing Applications and Systems Conference 1-6,1,2014,,
Alistair Sutherland,3D model retrieval using the 2D poisson equation,"Fattah Alizadeh, Alistair Sutherland",2012 10th International Workshop on Content-Based Multimedia Indexing (CBMI …,8,2012,,
