Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year,Filename,Ignore Y/N
Annalina Caputo,Combining Distributional Semantic Models and Sense Distribution for Effective Italian Word Sense Disambiguation,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",The First Italian Conference on Computational Linguistics CLiC-it 2014 43,0,2014,,
Annalina Caputo,Time Event Extraction to Boost an Information Retrieval System,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro, Lucia Siciliani",Information Filtering and Retrieval 1-12,2,2017,,
Annalina Caputo,Extending an Information Retrieval System through Time Event Extraction.,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro, Lucia Siciliani",DART@ AI* IA 36-47,4,2014,,
Annalina Caputo,TRI: a tool for the diachronic analysis of large corpora and social media,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Settimo Convegno Annuale AIUCD 2018 222-227,1,2018,,
Annalina Caputo,Entity linking for tweets,"Pierpaolo Basile, Annalina Caputo",Encyclopedia with Semantic Computing and Robotic Intelligence 1 (01) 1630020,5,2017,,
Annalina Caputo,Kronos-it: a Dataset for the Italian Semantic Change Detection Task.,"Pierpaolo Basile, Giovanni Semeraro, Annalina Caputo",CLiC-it,2,2019,,
Annalina Caputo,Semantic Re-ranking in Ad-hoc Robust Retrieval.,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",IIR,0,2011,,
Annalina Caputo,Integrating Named Entities in a Semantic Search Engine.,"Annalina Caputo, Pierpaolo Basile, Giovanni Semeraro",IIR 15-16,1,2010,,
Annalina Caputo,Integrating sense discrimination in a semantic information retrieval system,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Information Retrieval and Mining in Distributed Environments 249-265,8,2010,,
Annalina Caputo,Concept-based item representations for a cross-lingual content-based recommendation process,"Fedelucio Narducci, Pierpaolo Basile, Cataldo Musto, Pasquale Lops, Annalina Caputo, Marco De Gemmis, Leo Iaquinta, Giovanni Semeraro",Information Sciences 374 15-31,29,2016,,
Annalina Caputo,UNIBA: Combining Distributional Semantic Models and Word Sense Disambiguation for Textual Similarity,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",,0,2014,,
Annalina Caputo,SEPIR: a semantic and personalised information retrieval tool for the public administration based on distributional semantics,"Pierpaolo Basile, Annalina Caputo, Marco Di Ciano, Gaetano Grasso, Gaetano Rossiello, Giovanni Semeraro",International Journal of Electronic Governance 9 (1-2) 132-155,2,2017,,
Annalina Caputo,Supervised Learning and Distributional Semantic Models for Super-Sense Tagging,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Congress of the Italian Association for Artificial Intelligence 97-108,0,2013,,
Annalina Caputo,Boosting a semantic search engine by named entities,"Annalina Caputo, Pierpaolo Basile, Giovanni Semeraro",International Symposium on Methodologies for Intelligent Systems 241-250,11,2009,,
Annalina Caputo,Linking historical sources to established knowledge bases in order to inform entity linkers in cultural heritage.,"Gary Munnelly, Annalina Caputo, Seamus Lawless",COMHUM 59-66,0,2018,,
Annalina Caputo,Overview of the EVALITA 2016 Named Entity rEcognition and Linking in Italian tweets (NEEL-IT) task,"Pierpaolo Basile, Annalina Caputo, Anna Lisa Gentile, Giuseppe Rizzo",of the Final Workshop 7 December 2016 Naples 40,18,2016,,
Annalina Caputo,UNIBA: combining distributional semantic models and sense distribution for multilingual all-words sense disambiguation and entity linking,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Proceedings of the 9th International Workshop on Semantic Evaluation …,5,2015,,
Annalina Caputo,Exploiting distributional semantic models in question answering,"Piero Molino, Pierpaolo Basile, Annalina Caputo, Pasquale Lops, Giovanni Semeraro",2012 IEEE Sixth International Conference on Semantic Computing 146-153,19,2012,,
Annalina Caputo,Temporal Entity Random Indexing,"Seamus Lawless, Gary Munnelly",Digital Humanities 2018 DH 2018 Book of Abstracts El Colegio de Mexico …,2,2018,,
Annalina Caputo,Modeling Short-Term Preferences in Time-Aware Recommender Systems.,"Pierpaolo Basile, Annalina Caputo, Marco De Gemmis, Pasquale Lops, Giovanni Semeraro",UMAP Workshops,6,2015,,
Annalina Caputo,Negation for document re-ranking in ad-hoc retrieval,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Conference on the Theory of Information Retrieval 285-296,8,2011,,
Annalina Caputo,Entity Linking for the Semantic Annotation of Italian Tweets,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Italian Journal of Computational Linguistics 2 (1) 87–99,1,2016,,
Annalina Caputo,Proceedings of the GEMS 2011 Workshop on GEometrical Models of Natural Language Semantics,"Sebastian Padó, Yves Peirsman",Proceedings of the GEMS 2011 Workshop on GEometrical Models of Natural …,1,2011,,
Annalina Caputo,"Proceedings of the Second Italian Conference on Computational Linguistics CLiC-it 2015: 3-4 December 2015, Trento","John Adebayo Kolawole, Johannes Andresen, Marco Angster, Mihael Arcan, Giuseppe Attardi, A Barbagli, Marilena Di Bari, Roberto Bartolini, Pierpaolo Basile, Valerio Basile, Roberto Basili, Yuri Bizzoni, Guido Boella, Daniele Bonadiman, Giulia Bonansinga, Francis Bond, Federico Boschetti, Cristina Bosco, Dominique Brunato, Elena Cabrio, Nicoletta Calzolari, Annalina Caputo, Tommaso Caselli, Sara Castagnoli, Giuseppe Castellucci, Flavio Massimiliano Cecchini, Fabio Celli, Francesca Chiusaroli, Andrea Cimino, Giovanni Colavizza, Vittoria Cozza, Danilo Croce, Loredana Cupi, Francesco Cutugno, F Dell’Orletta, Felice Dell’Orletta, Rodolfo Delmonte, Riccardo Del Gratta, Irene De Felice, Jose De Souza, Luigi Di Caro, Paolo Dragone, Fabrizio Esposito, Daniele Falavigna, Delia Irazú Hernández Farías, Fathi Fawi, Elisabetta Fersini, Michele Filannino, Francesca Frontini, Michel Généreux, Federico Giusfredi, Sara Goggi, Berta González Saavedra, Laura Gorrieri, Lorenzo Gregori, Raffaele Guarasci, Giorgio Guzzetta, Tobias Horsmann, Frédéric Kaplan, Fahad Khan, Mirko Lai, Gianluca E Lebani, Alessandro Lenci, Pierre Lison, P Lucisano, Verena Lyding, Alessandro Maisto, Simone Marchi, Francesca Masini, Alessandro Mazzei, Alessio Miaschi, Anne-Lyse Minard, Monica Monachini, S Montemagni, Simonetta Montemagni, Johanna Monti, Giovanni Moretti, Alessandro Moschitti, Federico Nanni, Matteo Negri, Malvina Nissim, Nicole Novielli, Christophe Onambélé Manga, Nahli Ouafae, Sebastian Padó, Alessandro Panunzi, Gabriella Pardelli, Lucia Passaro, Lucia Passaro, Marco Passarotti, Viviana Patti, Serena Pelosi, Ruggero Petrolito, Maria Laura Pierucci, Laura Pollacci, Luca Polonio, Valeria Quochi, Andrea Amelio Ravelli, Marianne Reboul, Giuseppe Riccardi, Stefan Richter, Livio Robaldo, Alice Ruggeri, Irene Russo, Simone Saletti, Federico Sangati, Manuela Sanguinetti, Daniele Sartiano, Giovanni Semeraro, Aliaksei Severyn, Serge Sharoff, Maria Simi, Claudia Soria, Manuela Speranza, Rachele Sprugnoli, Sabrina Stehwien, Evgeny A Stepanov, Marco Stranisci, Katalin Szabò, Martin Thomas, Sara Tonelli, Marco Turchi, Giulia Venturi, Giulia Venturi, Marco Venuti, Serena Villata, Daniela Virone, Hamed Zamani, Fabio Massimo Zanzotto, Torsten Zesch",Accademia University Press,0,2015,,
Annalina Caputo,Encoding Syntactic Dependencies using Random Indexing and Wikipedia as a Corpus.,"Pierpaolo Basile, Annalina Caputo",IIR 144-154,1,2012,,
Annalina Caputo,Entity linking for italian tweets,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Proc. Second Italian Conf. Computational Linguistics CLiC-it 2015 36-40,3,2015,,
Annalina Caputo,SABRE: A sentiment aspect-based retrieval engine,"Annalina Caputo, Pierpaolo Basile, Marco De Gemmis, Pasquale Lops, Giovanni Semeraro, Gaetano Rossiello",Information Filtering and Retrieval 63-78,14,2017,,
Annalina Caputo,An enhanced lesk word sense disambiguation algorithm through a distributional semantic model,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Proceedings of COLING 2014 the 25th International Conference on …,108,2014,,
Annalina Caputo,Temporal random indexing: A system for analysing word meaning over time,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",Italian Journal of Computational Linguistics 1 (1) 55-68,11,2015,,
Annalina Caputo,Analysing word meaning over time by exploiting temporal random indexing,"Pierpaolo Basile, Annalina Caputo, Giovanni Semeraro",First Italian Conference on Computational Linguistics CLiC-it,21,2014,,
