Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year,Filename,Ignore Y/N
Brian Davis,Classifying Action Items for Semantic Email.,"Simon Scerri, Gerhard Gossen, Brian Davis, Siegfried Handschuh",LREC,27,2010,,
Brian Davis,Engineering a controlled natural language into semantic mediawiki,"Pradeep Dantuluri, Brian Davis, Pierre Ludwick, Siegfried Handschuh",International Workshop on Controlled Natural Language 53-72,2,2010,,
Brian Davis,Semantic Relatedness for All (Languages): A Comparative Analysis of Multilingual Semantic Relatedness Using Machine Translation,"Siegfried Handschuh, Brian Davis",Knowledge Engineering and Knowledge Management: 20th International …,0,2016,,
Brian Davis,Classification of composite semantic relations by a distributional-relational model,"Siamak Barzegar, Brian Davis, Siegfried Handschuh, Andre Freitas",Data & Knowledge Engineering 117 319-335,1,2018,,
Brian Davis,Human language technologies,"Kalina Bontcheva, Brian Davis, Adam Funk, Yaoyong Li, Ting Wang",Semantic Knowledge Management 37-49,14,2009,,
Brian Davis,On developing extraction rules for mining informal scientific references from altmetric data sources,"Waqas Khawaja, Michael Taylor, Brian Davis",International Conference on Applications of Natural Language to Information …,1,2015,,
Brian Davis,In or out? Real-time monitoring of BREXIT sentiment on Twitter,"Laurentiu Vasiliu, Andre Freitas, Frederico Caroli, Ross Mcdermott, Manel Zarrouk, Manuela Hurlimann, Brian Davis, Tobias Daudert, Malek Ben Khaled, David Byrne, Sergio Fernández, Angelo Cavallini",SEMANTiCS 2016,9,2016,,
Brian Davis,Nostalgic Sentiment Analysis of YouTube Comments for Chart Hits of the 20th Century.,"Joseph Timoney, Brian Davis, Adarsh Raj",AICS 386-395,1,2018,,
Brian Davis,Distributional semantics and unsupervised clustering for sensor relevancy prediction,"Myriam Leggieri, Brian Davis, John G Breslin",2015 International Wireless Communications and Mobile Computing Conference …,0,2015,,
Brian Davis,On controlled natural language,"A Wyner, K Angelov, G Barzdins, D Damljanovic, B Davis",LNCS/LNAI 5972,2,2010,,
Brian Davis,FinSentiA: sentiment analysis in English financial microblogs,"Thomas Gaillat, Annanda Sousa, Manel Zarrouk, Brian Davis",,2,2018,,
Brian Davis,Rewriting simplified text into a controlled natural language,"Hazem Safwat, Manel Zarrouk, Brian Davis",Sixth International Workshop on Controlled Natural Language (CNL 2018),1,2018,,
Brian Davis,"Predicting citations from mainstream news, weblogs and discussion forums","Mohan Timilsina, Brian Davis, Mike Taylor, Conor Hayes",Proceedings of the International Conference on Web Intelligence 237-244,4,2017,,
Brian Davis,Social sentiment indices powered by X-scores,"Brian Davis, Keith Cortis, Laurentiu Vasiliu, Adamantios Koumpis, Ross Mcdermott, Siegfried Handschuh",2nd International Conference on Big Data Small Data Linked Data and Open …,8,2016,,
Brian Davis,A compositional-distributional semantic model for searching complex entity categories,"Juliano Efson Sales, Andre Freitas, Brian Davis, Siegfried Handschuh",Proceedings of the Fifth Joint Conference on Lexical and Computational …,16,2016,,
Brian Davis,SemR-11: a multi-lingual gold-standard for semantic similarity and relatedness for eleven languages,"Siamak Barzegar, Brian Davis, Manel Zarrouk, Siegfried Handschuh, Andre Freitas",Language Resources and Evaluation Conference,7,2018,,
Brian Davis,Proceedings of the Sixth International Workshop on Controlled Natural Language 2018,"Brian Davis, C Maria Keet, Adam Wyner",IOS Press,0,2018,,
Brian Davis,Semantic relatedness for all (languages): A comparative analysis of multilingual semantic relatedness using machine translation,"Andre Freitas, Siamak Barzegar, Juliano Efson Sales, Siegfried Handschuh, Brian Davis",European Knowledge Acquisition Workshop 212-222,14,2016,,
Brian Davis,Embedded controlled language to facilitate information extraction from eGov policies,"Hazem Safwat, Normunds Gruzitis, Ramona Enache, Brian Davis",Proceedings of the 17th International Conference on Information Integration …,1,2015,,
Brian Davis,A twitter sentiment gold standard for the brexit referendum,"Manuela Hurlimann, Brian Davis, Keith Cortis, Andre Freitas, Siegfried Handschuh, Sergio Fernández",Proceedings of the 12th international conference on semantic systems 193-196,29,2016,,
Brian Davis,Semanta–semantic email made easy,"Simon Scerri, Brian Davis, Siegfried Handschuh, Manfred Hauswirth",European Semantic Web Conference 36-50,25,2009,,
Brian Davis,Semanta–Semantic Email in Action,"Simon Scerri, Ioana Giurgiu, Brian Davis, Siegfried Handschuh",European Semantic Web Conference 883-887,6,2009,,
Brian Davis,Semeval-2017 task 5: Fine-grained sentiment analysis on financial microblogs and news,"Keith Cortis, Andre Freitas, Tobias Daudert, Manuela Hurlimann, Manel Zarrouk, Siegfried Handschuh, Brian Davis",Association for Computational Linguistics (ACL),87,2017,,
Brian Davis,Multilingual Verbalisation of Modular Ontologies Using GF and lemon,"Brian Davis, Ramona Enache, Jeroen Van Grondelle, Laurette Pretorius",International Workshop on Controlled Natural Language 167-184,18,2012,,
Brian Davis,A Multilingual Test Collection for the Semantic Search of Entity Categories,"Juliano Efson Sales, Siamak Barzegar, Wellington Franco, Bernhard Bermeitinger, Tiago Cunha, Brian Davis, Andre Freitas, Siegfried Handschuh",Proceedings of the Eleventh International Conference on Language Resources …,1,2018,,
Brian Davis,On applying controlled natural languages for ontology authoring and semantic annotation,Brian Davis,,3,2013,,
Brian Davis,Indra: A word embedding and semantic relatedness server,"Juliano Efson Sales, Leonardo Souza, Siamak Barzegar, Brian Davis, Andre Freitas, Siegfried Handschuh",Proceedings of the Eleventh International Conference on Language Resources …,15,2018,,
Brian Davis,Erratum to: Controlled Natural Language,"Brian Davis, Gordon J Pace, Adam Wyner",International Workshop on Controlled Natural Language E1-E1,2,2016,,
Brian Davis,Controlled natural language for semantic annotation,"Brian Davis, Pradeep Varma, Siegfried Handschuh, Laura Dragan, Hamish Cunningham",European Semantic Web Conference 816-820,4,2009,,
Brian Davis,Sensemaking of Complex Sociotechnical Systems,"Heike Vornhagen, Brian Davis, Manel Zarrouk",,0,2018,,
Brian Davis,Dinfra: A one stop shop for computing multilingual semantic relatedness,"Siamak Barzegar, Juliano Efson Sales, Andre Freitas, Siegfried Handschuh, Brian Davis",Proceedings of the 38th International ACM SIGIR Conference on Research and …,11,2015,,
Brian Davis,On controlled natural languages: Properties and prospects,"Adam Wyner, Krasimir Angelov, Guntis Barzdins, Danica Damljanovic, Brian Davis, Norbert Fuchs, Stefan Hoefler, Ken Jones, Kaarel Kaljurand, Tobias Kuhn, Martin Luts, Jonathan Pool, Mike Rosner, Rolf Schwitter, John Sowa",International workshop on controlled natural language 281-289,76,2009,,
Brian Davis,From simplified text to knowledge representation using Controlled Natural Language,"Hazem Safwat, Manel Zarrouk, Brian Davis",International Conference on Intelligent Text Processing and Computational …,1,2017,,
Brian Davis,A Use Case for Controlled Languages as Interfaces to Semantic Web Applications.,"Pradeep Dantuluri, Brian Davis, Siegfried Handschuh",LREC,1,2010,,
Brian Davis,"Proceedings of the Joint Workshop on NLP&LOD and SWAIE: Semantic Web, Linked Open Data and Information Extraction","Diana Maynard, Marieke Van Erp, Brian Davis, Petya Osenova, Kiril Simov, Georgi Georgiev, Preslav Nakov",Proceedings of the Joint Workshop on NLP&LOD and SWAIE: Semantic Web Linked …,0,2013,,
Brian Davis,D12. 2 User studies for BI's explanation engine,"Fra Herko Ter Horst, Emiel Van Haandel, Menno Gulpers, Joris Van Aart, Jeroen Daanen, Jouri Fledderman, Jeroen Van Grondelle, Kaarel Kaljurand, Christina Unger, Brian Davis, Ramona Enache, Laurette Pretorius",The Semantic Web: Research and Applications Proceedings of ESWC 2012,0,2013,,
Brian Davis,In or out? real-time monitoring of brexit sentiment on twitter,"David Byrne, Angelo Cavallini, Ross Mcdermott, Manuela Hurlimann, Frederico Caroli, Malek Ben Khaled, Andre Freitas, Manel Zarrouk, Laurentiu Vasiliu, Brian Davis, Tobias Daudert, Sergio Fernández",SEMANTiCS 2016,1,2016,,
Brian Davis,A Social Opinion Gold Standard for the Malta Government Budget 2018,"Keith Cortis, Brian Davis",Proceedings of the 5th Workshop on Noisy User-generated Text (W-NUT 2019 …,2,2019,,
Brian Davis,Experiences applying GATE to Semantic Web Technologies,Brian Davis,,0,2009,,
Brian Davis,"Controlled Natural Language: Proceedings of the Sixth International Workshop, CNL 2018, Maynooth, Co. Kildare, Ireland, August 27-28, 2018","Brian Davis, C Maria Keet, Adam Wyner",IOS Press,1,2018,,
Brian Davis,Proceedings of the Third Workshop on Semantic Web and Information Extraction,"Diana Maynard, Marieke Van Erp, Brian Davis",Proceedings of the Third Workshop on Semantic Web and Information Extraction,0,2014,,
Brian Davis,Multilingual semantic relatedness using lightweight machine translation,"Siamak Barzegar, Brian Davis, Siegfried Handschuh, Andre Freitas",2018 IEEE 12th International Conference on Semantic Computing (ICSC) 108-114,3,2018,,
Brian Davis,Toward the Automatic Retrieval and Annotation of Outsider Art images: A Preliminary Statement,"John Roberto, Diego Ortego, Brian Davis",Proceedings of the 1st International Workshop on Artificial Intelligence for …,0,2020,,
Brian Davis,Sensemaking of complex sociotechnical systems: the case of governance dashboards,"Heike Vornhagen, Brian Davis, Manel Zarrouk",Proceedings of the 19th Annual International Conference on Digital …,1,2018,,
Brian Davis,"The SSIX corpora: three gold standard corpora for sentiment analysis in English, Spanish and German financial microblogs","Thomas Gaillat, Manel Zarrouk, Andre Freitas, Brian Davis",The Language Resources and Evaluation Conference,3,2018,,
Brian Davis,Semanta Supporting E-mail Workflows in Business Processes,"Simon Scerri, Brian Davis, Siegfried Handschuh",2009 IEEE Conference on Commerce and Enterprise Computing 483-484,2,2009,,
Brian Davis,Engineering an aligned gold-standard corpus of human to machine oriented Controlled Natural Language,"Hazem Safwat, Brian Davis, Manel Zarrouk",2018 IEEE/WIC/ACM International Conference on Web Intelligence (WI) 421-427,2,2018,,
Brian Davis,Towards the Ontologization of the Outsider Art Domain: Position Paper,"John Roberto, Brian Davis",16th Joint ACL-ISO Workshop on Interoperable Semantic Annotation PROCEEDINGS …,0,2020,,
Brian Davis,Composite semantic relation classification,"Siamak Barzegar, Andre Freitas, Siegfried Handschuh, Brian Davis",International Conference on Applications of Natural Language to Information …,2,2017,,
