Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year,Filename,Ignore Y/N
Cathal Gurrin,"Advances in Information Retrieval: 33rd European Conference on IR Resarch, ECIR 2011, Dublin, Ireland, April 18-21, 2011","Paul Clough, Colum Foley, Cathal Gurrin, Gareth Jones, Wessel Kraaij, Hyowon Lee, Vanessa Murdock",Proceedings 6611,6,2011,,
Cathal Gurrin,"Who produced this video, amateur or professional?","Jinlin Guo, Cathal Gurrin, Song-Yang Lao",Proceedings of the 3rd ACM conference on International conference on …,15,2013,,
Cathal Gurrin,"MultiMedia Modeling: 25th International Conference, MMM 2019, Thessaloniki, Greece, January 8–11, 2019, Proceedings, Part I","Ioannis Kompatsiaris, Benoit Huet, Vasileios Mezaris, Cathal Gurrin, Wen-Huang Cheng, Stefanos Vrochidis",Springer,1,2018,,
Cathal Gurrin,"Information in Business and Administrative Systems Information in Business and Administrative Systems, 1973",Cathal Gurrin,IEICE transactions on communications 96 (2) 404-409,0,2013,,
Cathal Gurrin,Lifelong digital libraries,"Cathal Gurrin, Frank Hopfgartner",Proceedings of the 15th ACM/IEEE-CS joint conference on digital libraries …,2,2015,,
Cathal Gurrin,A comprehensive study of bluetooth fingerprinting-based algorithms for localization,"Li Zhang, Xiao Liu, Jie Song, Cathal Gurrin, Zhiliang Zhu",2013 27th International Conference on Advanced Information Networking and …,55,2013,,
Cathal Gurrin,DAVVI: A prototype for the next generation multimedia entertainment platform,"Dag Johansen, Håvard Johansen, Tjalve Aarflot, Joseph Hurley, Åge Kvalnes, Cathal Gurrin, Sorin Zav, Bjørn Olstad, Erik Aaberg, Tore Endestad, Haakon Riiser, Carsten Griwodz, Pål Halvorsen",Proceedings of the 17th ACM international conference on Multimedia 989-990,57,2009,,
Cathal Gurrin,Searching and recommending sports content on mobile devices,"David Scott, Cathal Gurrin, Dag Johansen, Håvard Johansen",International Conference on Multimedia Modeling 779-781,2,2010,,
Cathal Gurrin,"Data Quality For The Information Age Data Quality For The Information Age, 1996","Markus Helfert, Ray Walshe, Cathal Gurrin",IEICE transactions on communications 96 (2) 404-409,0,2013,,
Cathal Gurrin,Information Retrieval and Learning with Lifelogging Devices: a session for interaction and engagement at iConference 2016,"Hideo Joho, Frank Hopfgartner, Cathal Gurrin",DCU Press,0,2016,,
Cathal Gurrin,Method of recommending broadcasting contents and recommending apparatus therefor in multimedia contents reproducing device,"Chang-Hwan Choi, Noel O’Connor, Jun-Ki Kim, Cathal Gurrin, Sorin Sav",US Patent 9185348,38,2015,,
Cathal Gurrin,Introduction to Special Issue of the 23rd International Conference on Multimedia Modeling (MMM 2017),"Laurent Amsaleg, Cathal Gurrin, Björn Þór Jónsson, Shin’Ichi Satoh",Multimedia Tools and Applications 77 (22) 29405-29406,0,2018,,
Cathal Gurrin,Preface: Special issue on measuring behaviour 2016,T Steckler,Journal of Neuroscience Methods 300 1-3,0,2018,,
Cathal Gurrin,Managing diversity in practical ambient assisted living ecosystems,"Michael O’Grady, Michael Walsh, Richard Tynan, Cathal Gurrin, Mauro Dragone, Greg Mp O’Hare",The AALIANCE: The European Ambient Assisted Living Innovation Alliance …,1,2010,,
Cathal Gurrin,A gesture-based personal archive browser prototype,"Zhenxing Zhang, Cathal Gurrin, Hyowon Lee, Denise Carthy",International Conference on Multimedia Modeling 786-788,0,2010,,
Cathal Gurrin,Saturated with junk: The extent of junk food marketing in Children's everyday lives: T6: S38: 16,"Louise Signal, M Smith, M Barr, Tim Chambers, James Stanley, J Zhou, Aaron Duane, Gabrielle Ls Jenkin, T Lanumata, Amber Pearson, Cathal Gurrin, Alan F. Smeaton, Janet Hoek, C Ni Mhurchu",Obesity Reviews 17,0,2016,,
Cathal Gurrin,Demographic attributes prediction using extreme learning machine,"Ying Liu, Tengqi Ye, Guoqi Liu, Cathal Gurrin, Bin Zhang",Extreme Learning Machines 2013: Algorithms and Applications 145-165,2,2014,,
Cathal Gurrin,Proceedings of the 2018 ACM Workshop on The Lifelog Search Challenge,"Cathal Gurrin, Acm Special Interest Group On Multimedia",ACM,3,2018,,
Cathal Gurrin,"MultiMedia Modeling: 20th Anniversary International Conference, MMM 2014, Dublin, Ireland, January 6-10, 2014, Proceedings","Cathal Gurrin, Frank Hopfgartner, Wolfgang Hurst, Håvard Johansen, Hyowon Lee, Noel O’Connor",Springer,4,2014,,
Cathal Gurrin,EMIR: a novel music retrieval system for mobile devices incorporating analysis of user emotion,"Lijuan Zhou, Hongfei Lin, Cathal Gurrin",International Conference on Multimedia Modeling 627-629,3,2012,,
Cathal Gurrin,Kids’ Cam: an objective methodology to study the world in which children live,"Louise Signal, Moira Smith, Michelle Barr, James Stanley, Tim Chambers, Jiang Zhou, Aaron Duane, Gabrielle Ls Jenkin, Amber Pearson, Cathal Gurrin, Alan F. Smeaton, Janet Hoek, Cliona Ni Mhurchu",American Journal of Preventive Medicine 53 (3) e89-e95,44,2017,,
Cathal Gurrin,ECIR 2010: 32nd european conference on information retrieval research,"Cathal Gurrin, Yulan He, Udo Kruschwitz, Suzanne Little, Stefan Ruger",ACM SIGIR Forum 44 (1) 2-18,0,2010,,
Cathal Gurrin,Gardi: A self-regulating framework for digital libraries,"Cathal Gurrin, Tjalve Aarflot, Dag Johansen",2009 Ninth IEEE International Conference on Computer and Information …,2,2009,,
Cathal Gurrin,Information practices meet lifelogging technologies: Towards a successful multimethod research framework,"Hideo Joho, Cathal Gurrin, Jannica Heinström, Mamiko Matsubayashi",Proceedings of the Association for Information Science and Technology 53 (1 …,3,2016,,
Cathal Gurrin,NTCIR12-Lifelog: a test collection to support collaborative benchmarking,"Liting Zhou, Cathal Gurrin, Rami Albatal, Hideo Joho, Frank Hopfgartner",CEUR workshop proceedings,0,2016,,
Cathal Gurrin,"Semiotics in information systems engineering Semiotics in information systems engineering, 2000","Markus Helfert, Ray Walshe, Cathal Gurrin",IEICE transactions on communications 96 (2) 404-409,0,2013,,
Cathal Gurrin,"Quality of Life for People with Intellectual and Other Developmental Disabilities: Applications Across Individuals, Organizations, Communities, and Systems Quality of Life for …","Markus Helfert, Ray Walshe, Cathal Gurrin",IEICE transactions on communications 96 (2) 404-409,0,2013,,
Cathal Gurrin,ShareDay: A novel lifelog management system for group sharing,"Lijuan Zhou, Niamh Caprani, Cathal Gurrin, Noel O’Connor",Advances in Multimedia Modeling 490-492,6,2013,,
Cathal Gurrin,"Web Wisdom: How to Evaluate and Create Information Quality on the Web Web Wisdom: How to Evaluate and Create Information Quality on the Web, 1999","Markus Helfert, Ray Walshe, Cathal Gurrin",IEICE transactions on communications 96 (2) 404-409,0,2013,,
Cathal Gurrin,"Advances in Information Retrieval (Proceedings of the 35th European Conference on IR Research, ECIR 2013)","Cathal Gurrin, Yulan He, Gabriella Kazai, Udo Kruschwitz, Suzanne Little, Thomas Roelleke, Stefan Ruger, Keith Van Rijsbergen",Springer,0,2013,,
Cathal Gurrin,Visual insights from personal lifelogs,"Aaron Duane, Rashmi Gupta, Liting Zhou, Cathal Gurrin",Proceedings of the 12th NTCIR Conference on Evaluation of Information Access …,10,2016,,
Cathal Gurrin,LTA 2016: The First Workshop on Lifelogging Tools and Applications,"Cathal Gurrin, Xavier Giró Nieto, Petia Radeva, Mariella Dimiccoli, Håvard Johansen, Hideo Joho, Vivek Singh",Proceedings of the 24th ACM international conference on Multimedia 1487-1488,1,2016,,
Cathal Gurrin,Recent developments in information retrieval,"Cathal Gurrin, Yulan He, Gabriella Kazai, Udo Kruschwitz, Suzanne Little, Thomas Roelleke, Stefan Ruger, Keith Van Rijsbergen",European Conference on Information Retrieval 1-9,5,2010,,
Cathal Gurrin,Muithu: A touch-based annotation interface for activity logging in the norwegian premier league,"Magnus Stenhaug, Yang Yang, Cathal Gurrin, Dag Johansen",International Conference on Multimedia Modeling 365-368,9,2014,,
Cathal Gurrin,Overview of ImageCLEFcaption 2017–Image Caption Prediction and Concept Detection for Biomedical Images,"Bogdan Ionescu, Henning Muller, Mauricio Villegas, Helbert Arenas, Giulia Boato, Duc Tien Dang Nguyen, Yashin Dicente Cid, Carsten Eickhoff, Alba García Seco De Herrera, Cathal Gurrin, Bayzidul Islam, Vassili Kovalev, Vitali Liauchuk, Josiane Mothe, Luca Piras, Michael Riegler, Immanuel Schwall",Experimental IR Meets Multilinguality Multimodality and Interaction 10456 …,0,2017,,
Cathal Gurrin,Kids’ everyday exposure to food marketing,"Ln Signal, James Stanley, M Smith, Mb Barr, Tim Chambers, J Zhou, Aaron Duane, Cathal Gurrin, Alan F. Smeaton, Christina McKerchar, Amber Pearson, Janet Hoek, Gabrielle Ls Jenkin, C Ni Mhurchu",,0,2019,,
Cathal Gurrin,"MultiMedia Modeling: 23rd International Conference, MMM 2017, Reykjavik, Iceland, January 4-6, 2017, Proceedings","Björn Þór Jónsson, Cathal Gurrin, Gylfi Þór Guðmundsson, Laurent Amsaleg",Springer,0,2017,,
Cathal Gurrin,Information Retrieval and User-Centric Recommender System Evaluation.,"Alan Said, Alejandro Bellogín, Arjen P De Vries, Benjamin Kille",UMAP Workshops,6,2013,,
Cathal Gurrin,Aesthetics in data visualization: case studies and design issues,"Heekyoung Jung, Tanyoung Kim, Yang Yang, Luis Carli, Marco Carnesecchi, Antonio Rizzo, Cathal Gurrin",Innovative Approaches of Data Visualization and Visual Analytics 1-24,4,2014,,
