Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year,Filename,Ignore Y/N
David Sinclair,Modelling and verification of cyber-physical system,"Michal Pluska, David Sinclair",20th European Meeting on Cybernetics and System Research,3,2010,,
David Sinclair,Dual sensor filtering for robust tracking of head-mounted displays,"Nicholas T Swafford, Bastiaan J Boom, Kartic Subr, David Sinclair, Darren Cosker, Kenny Mitchell",Proceedings of the 20th ACM Symposium on Virtual Reality Software and …,1,2014,,
David Sinclair,The design methodology for hybrid system verification,"Michal Pluska, David Sinclair",2010 IEEE 9th International Conference on Cyberntic Intelligent Systems 1-6,0,2010,,
David Sinclair,The Role of Software Engineering in Future Automotive Systems Development (2008-01-1450),"Siobhan Clarke, Brian Fitzgerald, Paddy Nixon, Klaus Pohl, Kevin Ryan, David Sinclair, Steffen Thiel",SAE international journal of passenger cars-electronic and electrical …,0,2009,,
David Sinclair,Bringing the market to life: Screen aesthetics and the epistemic consumption object,"Chandana Alawattage, Danture Wickramasinghe, Fh Abed, I Matin, E Abrahamson, E Abrahamson, G Abrahamsson, J Gerdin, Ps Adler, Ps Adler, B Goldoftas, Di Levine, H Agndal, U Nilsson, Rv Aguilera, A Cuervo-Cazurra, Rv Aguilera, G Jackson, M Aiken, J Hage, T Aized, Chandana Alawattage, Chandana Alawattage, La Alsaid, Chandana Alawattage, S Fernando, Chandana Alawattage, C Graham, Danture Wickramasinghe, Chandana Alawattage, T Hopper, Danture Wickramasinghe, Chandana Alawattage, Danture Wickramasinghe, A Tennakoon, Z Hoque, L Parker, Chandana Alawattage, Danture Wickramasinghe, A Tennakoon, S Alcouffe, N Berland, Y Levant, Gj Alexander, Ra Buchholz, Sa Al-Tuwaijri, Te Christensen, Ke Hughes, Ca Alvares, Ah Amershi, P Cheng, Alia Amin, Sw Anderson, D Glenn, Kl Sedatole, J Andrew, D Cahill, M Annisette, M Annisette, M Annisette, Vu Trivedi, Sl Ansari, R Anthony, V Govindarajan, F Hartmann, K Kraus, G Nilsson, Rn Anthony, Rn Anthony, V Govindarajan, Om Apostol, C Argyris, C Argyris, Da Schön, C Argyris, Da Schön, At Ariyaratne, P Armstrong, P Armstrong, M Arnaboldi, G Azzone, T Artiach, D Lee, D Nelson, J Walker, J Ashraf, S Uddin, D Ashton, T Hopper, Rw Scapens, C Ax, T Bjørnenak, B Axelsson, J Laage-Hellman, U Nilsson, S Baiman, S Baiman, A Bhimani, Js Bain, Ml Barnett, Rm Salomon, J Baudrillard, J Baudrillard, Z Bauman, J Baxter, Wf Chua, Me Bayou, J Bebbington, J Bebbington, C Larrinaga-González, Jm Moneva-Abadía, S Beer, S Beer, C Berliner, Ja Brimson, Aj Berry, J Broadbent, D Otley, Aj Berry, T Capps, D Cooper, Paul Ferguson, T Hopper, Ea Lowe, Aj Berry, Af Coad, Ep Harris, D Otley, C Stringer, H Beynon, Hk Bhabha, A Bhimani, We Bijker, Tp Hughes, Tj Pinch, T Bjørnenak, K Kaarbøe, F Mitchell, H Norreklit, M Jakobsen, Rm Blackburn, M Mann, H Blair, Bp Bloomfield, Rj Boland Jr, Ak Sharma, Ps Afonso, L Boltanski, E Chiapello, L Boltanski",Strategizing Management Accounting: Liberal Origins and Neoliberal Trends 2 …,0,2019,,
David Sinclair,The Role of Software Engineering in Future Automotive Systems Development,"Siobhan Clarke, Brian Fitzgerald, Paddy Nixon, Klaus Pohl, Kevin Ryan, David Sinclair, Steffen Thiel",SAE International Journal of Passenger Cars-Electronic and Electrical …,2,2009,,
David Sinclair,Hybrid systems controller design methodology,"Michal Pluska, David Sinclair",,0,2010,,
David Sinclair,"Mitchell, K.(2014) Dual sensor filtering for robust tracking of head-mounted displays. In: 20th ACM Symposium on Virtual Reality Software and Technology, VRST 2014, 2014-11-11-2014","Nt Swafford, Bastiaan J Boom, K Subr, David Sinclair, Darren Cosker",,0,2014,,
David Sinclair,The design methodology for the verification of hybrid dynamical systems,"Michal Pluska, David Sinclair",2011 IEEE 10th International Conference on Cybernetic Intelligent Systems …,0,2011,,
David Sinclair,Empowerment and embodiment for collaborative mixed reality systems,"Ye Pan, David Sinclair, Kenny Mitchell",Computer Animation and Virtual Worlds 29 (3-4) e1838,6,2018,,
