Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year,Filename,Ignore Y/N
Gareth Jones,"Evaluating Search and Hyperlinking: An Example of the Design, Test, Refine Cycle for Metric Development.","David Racca, Gareth Jones",MediaEval,9,2015,,
Gareth Jones,"Multilingual Information Access Evaluation I-Text Retrieval Experiments: 10th Workshop of the Cross-Language Evaluation Forum, CLEF 2009, Corfu, Greece, September 30-October 2 …",Carol Peters,Springer Science & Business Media,12,2010,,
Gareth Jones,Incorporating prosodic prominence evidence into term weights for spoken content retrieval,"David Racca, Gareth Jones",Sixteenth Annual Conference of the International Speech Communication …,7,2015,,
Gareth Jones,Integrating evaluability assessment in after school and youth programming research,Gareth Jones,Temple University,1,2013,,
Gareth Jones,"The 36th International ACM SIGIR conference on research and development in Information Retrieval, SIGIR’13, Dublin, Ireland-July 28-August 01, 2013","Gareth Jones, Paraic Sheridan, Diane Kelly, Md Rijke, Tetsuya Sakai",ACM,3,2013,,
Gareth Jones,MediaEval 2016 Multimedia Benchmarking Initiative.,Gareth Jones,NTCIR,0,2016,,
Gareth Jones,Speech search: techniques and tools for spoken content retrieval,Gareth Jones,Proceedings of the 37th international ACM SIGIR conference on Research …,1,2014,,
Gareth Jones,Evaluating Systems for Multilingual and Multimodal Information Access,"Carol Peters, Thomas Deselaers, Nicola Ferro, Julio Gonzalo, Gareth Jones, Mikko Kurimo, Thomas Mandl, Anselmo Penas, Vivien Petras",LNCS 5706,10,2009,,
Gareth Jones,Identification of emphasised regions in audio-visual presentations,"Keith Curtis, Gareth Jones, Nick Campbell",Proceedings of the 4th European and 7th Nordic Symposium on Multimodal …,3,2017,,
Gareth Jones,Studying Online and Offline Evaluation Measures: A Case Study Based on the NTCIR-14 OpenLiveQ-2 Task,"Piyush Arora, Gareth Jones",NII Conference on Testbeds and Community for Information Access Research 70-82,0,2019,,
Gareth Jones,CLEF 2008,"Carol Peters, Thomas Deselaers, Nicola Ferro, Julio Gonzalo, Gareth Jones, M Kurimo, Thomas Mandl, A Peñas, Vivien Petras",Springer,2,2009,,
Gareth Jones,"Trecvid 2017: evaluating ad-hoc and instance video search, events detection, video captioning, and hyperlinking","George Awad, Asad Butt, Jonathan Fiscus, David Joy, Andrew Delgado, Willie Mcclinton, Martial Michel, Alan F. Smeaton, Yvette Graham, Wessel Kraaij, Georges Quénot, Maria Eskevich, Roeland Ordelman, Gareth Jones, Benoit Huet",,82,2017,,
Gareth Jones,First international workshop on exploitation of social media for emergency relief and preparedness (SMERP),"Saptarshi Ghosh, Kripabandhu Ghosh, Tanmoy Chakraborty, Debasis Ganguly, Gareth Jones, Marie-Francine Moens",ADVANCES IN INFORMATION RETRIEVAL ECIR 2017 10193 779-783,5,2017,,
Gareth Jones,D7. 2 Meta-analysis of the first phase of empirical and user-centered evaluations,"Lorraine Goeuriot, Olivier Hamon, Allan Hanbury, Gareth Jones, Liadh Kelly, Johannes Leveling, Joshua Robertson, Ales Tamchyna",Khresmoi public deliverable,3,2013,,
Gareth Jones,Second workshop on evaluation of personalisation in information retrieval (WEPIR 2019),"Gareth Jones, Nicholas J Belkin, Seamus Lawless, Gabriella Pasi",Proceedings of the 2019 Conference on Human Information Interaction and …,1,2019,,
Gareth Jones,Medical information retrieval: introduction to the special issue,"Lorraine Goeuriot, Gareth Jones, Liadh Kelly, Henning Muller, Justin Zobel",Information Retrieval Journal 19 (1-2) 1-5,26,2016,,
Gareth Jones,Bengali (Bangla) information retrieval,"Debasis Ganguly, Johannes Leveling, Gareth Jones",Technical Challenges and Design Issues in Bangla Language Processing 273-301,1,2013,,
Gareth Jones,Where in Space is My Pain? The Role of the Defensive Peripersonal Space & its Influence on Pain Perception.,Gareth Jones,Pain and Rehabilitation-the Journal of Physiotherapy Pain Association 2014 …,0,2014,,
Gareth Jones,The benchmarking initiative for multimedia evaluation: MediaEval 2016,"Martha Larson, Mohammad Soleymani, Guillaume Gravier, Bogdan Ionescu, Gareth Jones",IEEE MultiMedia 24 (1) 93-96,17,2017,,
Gareth Jones,Panel presentation,"Gareth Jones, Jussi Karlgren, Karl Kreiner, Henning Muller, Sanna Salanterä",,4,2012,,
Gareth Jones,MediaEval 2017: Multimedia Benchmark Workshop Working Notes Proceedings of the MediaEval 2017 Workshop co-located with the Conference and Labs of the Evaluation Forum (CLEF …,Gareth Jones,[Sl]: CEUR,0,2017,,
Gareth Jones,A Current Overview of Tens in Pain Management: a Narrative Review,"Mark I Johnson, Gareth Jones",Pain and Rehabilitation-the Journal of Physiotherapy Pain Association 2014 …,0,2014,,
