Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year,Filename,Ignore Y/N
Heather J. Ruskin,Modelling DNA methylation dynamics,"Karthika Raghavan, Heather J. Ruskin",DNA METHYLATION–FROM GENOMICS TO TECHNOLOGY 0,3,2012,,
Heather J. Ruskin,A computational model for genetic and epigenetic signals in colon cancer,"Irina A Roznovat, Heather J. Ruskin",Interdisciplinary Sciences: Computational Life Sciences 5 (3) 175-186,8,2013,,
Heather J. Ruskin,Integrating Colon cancer microarray data: associating locus-specific methylation groups to Gene expression-based classifications,"Ana Barat, Heather J. Ruskin, Annette T Byrne, Jochen Hm Prehn",Microarrays 4 (4) 630-646,4,2015,,
Heather J. Ruskin,Compartmentalised agent-based approach to epidemiological modelling,"Benoît Claude, Heather J. Ruskin, Dimitri Perrin",PhD thesis. Dublin City University,1,2009,,
Heather J. Ruskin,"A discrete flow simulation model for urban road networks, with application to combined car and single-file bicycle traffic","Jelena Vasic, Heather J. Ruskin",International Conference on Computational Science and Its Applications 602-614,16,2011,,
Heather J. Ruskin,"http://www. springerlink. com/content/133v82170m446n33/A discrete flow simulation model for urban road networks, with application to combined car and single-file bicycle traffic","Jelena Vasic, Heather J. Ruskin",Proceedings of the 2011 international conference on Computational science …,0,2011,,
Heather J. Ruskin,Modelling the genetic and epigenetic signals in colon cancer using a bayesian network,"Irina A Roznovat, Heather J. Ruskin",Proceedings of the European Conference on Complex Systems 2012 1059-1062,2,2013,,
Heather J. Ruskin,Visualization of complex biological systems: An immune response model using OpenGL,"John Burns, Heather J. Ruskin, Dimitri Perrin, John Walsh",International Conference on Complex Sciences 671-679,1,2009,,
Heather J. Ruskin,Throughput and delay in a discrete simulation model for traffic including bicycles on urban networks,"Jelena Vasic, Heather J. Ruskin",Proceedings of the ITRN 2011,5,2011,,
Heather J. Ruskin,From bio-inspired computing to e-Biology,"Dimitri Perrin, Heather J. Ruskin",2009 Seventh International Conference on Creating Connecting and …,0,2009,,
Heather J. Ruskin,Financial Time Series: Motif Discovery and Analysis Using VALMOD,"Eoin Cartwright, Martin Crane, Heather J. Ruskin",International Conference on Computational Science 771-778,0,2019,,
Heather J. Ruskin,Comparative correlation structure of colon cancer locus specific methylation: characterisation of patient profiles and potential markers across 3 array-based datasets,"Ana Barat, Heather J. Ruskin",Journal of Cancer 6 (8) 795,6,2015,,
Heather J. Ruskin,A Computational Lymph Tissue Model for Long Term HIV Infection Progression and Immune Fitness.,"Andreas Hillmann, Martin Crane, Heather J. Ruskin",AICS 245-257,1,2017,,
Heather J. Ruskin,Pattern discovery in gene expression data,"Grainne Kerr, Heather J. Ruskin, Martin Crane",Intelligent Data Analysis: Developing New Methodologies Through Pattern …,1,2009,,
Heather J. Ruskin,Methylation inhibitors and carcinogens in an agent-based model for colon crypt dynamics during cancer development,"Irina A Roznovat, Heather J. Ruskin",2013 European Modelling Symposium 152-157,2,2013,,
Heather J. Ruskin,Computational micromodel for epigenetic mechanisms,"Karthika Raghavan, Heather J. Ruskin, Dimitri Perrin, Francois Goasmat, John Burns",PloS one 5 (11) e14031,19,2010,,
Heather J. Ruskin,"A cellular automata-based network model for heterogeneous traffic: Intersections, turns and their connection","Jelena Vasic, Heather J. Ruskin",International Conference on Cellular Automata 835-844,5,2012,,
Heather J. Ruskin,A numerical model of a drug particle dissolving in a dissolution test apparatus,"Niall McMahon, Lawrence J Crane, Heather J. Ruskin, Martin Crane, Deirdre M D’Arcy, Anne‐Marie Healy, Owen Corrigan",PAMM: Proceedings in Applied Mathematics and Mechanics 9 (1) 655-656,1,2009,,
Heather J. Ruskin,Applications of High Performance Algorithms to Large Scale Cellular Automata Frameworks Used in Pharmaceutical Modelling.,"Marija Bezbradica, Martin Crane, Heather J. Ruskin",J. Cell. Autom. 11 (1) 21-45,4,2016,,
Heather J. Ruskin,Colon cancer associated genes exhibit signatures of positive selection at functionally significant positions,"Claire C Morgan, Kabita Shakya, Andrew Webb, Thomas A Walsh, Mark Lynch, Christine E Loscher, Heather J. Ruskin, Mary J O’Connell",BMC evolutionary biology 12 (1) 114,18,2012,,
Heather J. Ruskin,Comparison of microarray preprocessing methods,"K Shakya, Heather J. Ruskin, Grainne Kerr, Martin Crane, J Becker",Advances in Computational Biology 139-147,24,2010,,
Heather J. Ruskin,Understanding Urban Mobility and Pedestrian Movement,"Marija Bezbradica, Heather J. Ruskin",Smart Urban Development,0,2019,,
