Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year,Filename,Ignore Y/N
Jennifer Foster,Code mixing: A challenge for language identification in the language of social media,"Utsab Barman, Amitava Das, Joachim Wagner, Jennifer Foster",Proceedings of the first workshop on computational approaches to code …,192,2014,,
Jennifer Foster,Report on ACL Survey on Preprint Publishing and Reviewing,"Jennifer Foster, Marti Hearst, Joakim Nivre, Shiqi Zhao",Association for Computational Linguistics,3,2017,,
Jennifer Foster,Ilfhocail: A Lexicon of Irish MWEs,"Abigail Walsh, Teresa Lynn, Jennifer Foster",Proceedings of the Joint Workshop on Multiword Expressions and WordNet (MWE …,0,2019,,
Jennifer Foster,Detecting opinion polarities using kernel methods,"Rasoul Kaljahi, Jennifer Foster",Proceedings of the Workshop on Computational Modeling of People’s Opinions …,6,2016,,
Jennifer Foster,Universal Dependencies 1.2,"Joakim Nivre, Željko Agic, Maria Jesus Aranzabe, Masayuki Asahara, Aitziber Atutxa, Miguel Ballesteros, John Bauer, Kepa Bengoetxea, Riyaz Ahmad Bhat, Cristina Bosco, Sam Bowman, Giuseppe Ga Celano, Miriam Connor, Marie Catherine De Marneffe, Arantza Diaz De Ilarraza, Kaja Dobrovoljc, Timothy Dozat, Tomaž Erjavec, Richárd Farkas, Jennifer Foster, Daniel Galbraith, Filip Ginter, Iakes Goenaga, Koldo Gojenola, Yoav Goldberg, Berta Gonzales, Bruno Guillaume, Jan Hajič, Dag Haug, Radu Ion, Elena Irimia, Anders Johannsen, Hiroshi Kanayama, Jenna Kanerva, Simon Krek, Veronika Laippala, Alessandro Lenci, Nikola Ljubesic, Teresa Lynn, Christopher Manning, Cătălina Mărănduc, David Mareček, Héctor Alonso Martínez, Jan Mašek, Yuji Matsumoto, Ryan Mcdonald, Anna Missilä, Verginica Mititelu, Yusuke Miyao, Simonetta Montemagni, Shunsuke Mori, Hanna Nurmi, Petya Osenova, Lilja Øvrelid, Elena Pascual, Marco Passarotti, Cenel Augusto Perez, Slav Petrov, Jussi Piitulainen, Barbara Plank, Martin Popel, Prokopis Prokopidis, Sampo Pyysalo, Loganathan Ramasamy, Rudolf Rosa, Shadi Saleh, Sebastian Schuster, Wolfgang Seeker, Mojgan Seraji, Natalia Silveira, Maria Simi, Radu Simionescu, Katalin Simkó, Kiril Simov, Aaron Smith, Jan Štěpánek, Alane Suhr, Zsolt Szántó, Takaaki Tanaka, Reut Tsarfaty, Sumire Uematsu, Larraitz Uria, Viktor Varga, Veronika Vincze, Zdeněk Žabokrtský, Daniel Zeman, Hanzhi Zhu",Universal Dependencies Consortium,159,2015,,
Jennifer Foster,Foreebank: Syntactic analysis of customer support forums,"Rasoul Kaljahi, Jennifer Foster, Johann Roturier, Corentin Ribeyre, Teresa Lynn, Joseph Le Roux",Proceedings of the 2015 Conference on Empirical Methods in Natural Language …,18,2015,,
Jennifer Foster,Quality Estimation of English-French Machine Translation: A Detailed Study of the Role of Syntax,"Rasoul Kaljahi, Jennifer Foster, Raphael Rubino, Johann Roturier",,5,2014,,
Jennifer Foster,If you can’t beat them join them: handcrafted features complement neural nets for non-factoid answer reranking,"Dasha Bogdanova, Jennifer Foster, Daria Dzendzik, Liu Qun",Proceedings of the 15th Conference of the European Chapter of the …,9,2017,,
Jennifer Foster,Proceedings of the Second Workshop on Statistical Parsing of Morphologically Rich Languages,"Djame Seddah, Reut Tsarfaty, Jennifer Foster",Proceedings of the Second Workshop on Statistical Parsing of Morphologically …,0,2011,,
Jennifer Foster,Analyse syntaxique des langues naturelles par combinaison de grammaires algébriques et décomposition lagrangienne,"Joseph Le Roux, Antoine Rozenknop, Jennifer Foster",ROADEF-15ème congrès annuel de la Société française de recherche …,0,2014,,
