Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year,Filename,Ignore Y/N
Long Cheng,Design and evaluation of small–large outer joins in cloud computing environments,"Long Cheng, Ilias Tachmazidis, Spyros Kotoulas, Grigoris Antoniou",Journal of Parallel and Distributed Computing 110 2-15,23,2017,,
Long Cheng,QbDJ: A novel framework for handling skew in parallel join processing on distributed memory,"Long Cheng, Spyros Kotoulas, Tomas Ward, Georgios Theodoropoulos",2013 IEEE 10th International Conference on High Performance Computing and …,11,2013,,
Long Cheng,Efficient data redistribution to speedup big data analytics in large systems,"Long Cheng, Tao Li",2016 IEEE 23rd International Conference on High Performance Computing (HiPC …,19,2016,,
Long Cheng,Cluflow: Cluster-based flow management in software-defined wireless sensor networks,"Qingzhi Liu, Tanir Ozcelebi, Long Cheng, Fernando Kuipers, Johan Lukkien",2019 IEEE Wireless Communications and Networking Conference (WCNC) 1-8,2,2019,,
Long Cheng,A coflow-based co-optimization framework for high-performance data analytics,"Long Cheng, Ying Wang, Yulong Pei, Dick Epema",2017 46th International Conference on Parallel Processing (ICPP) 392-401,12,2017,,
Long Cheng,Minimizing network traffic for distributed joins using lightweight locality-aware scheduling,"Long Cheng, John Murphy, Qingzhi Liu, Chunliang Hao, Georgios Theodoropoulos",European Conference on Parallel Processing 293-305,1,2018,,
Long Cheng,Efficiently handling skew in outer joins on distributed systems.,"Long Cheng, Spyros Kotoulas, Tomas Ward, T Theodoropoulos",14th IEEE/ACM International Symposium on Cluster Cloud and Grid Computing …,19,2014,,
Long Cheng,Design and evaluation of parallel hashing over large-scale data,"Long Cheng, Spyros Kotoulas, Tomas Ward, Georgios Theodoropoulos",2014 21st International Conference on High Performance Computing (HiPC) 1-10,6,2014,,
Long Cheng,Efficient Parallel Dictionary Encoding for RDF Data.,"Long Cheng, Avinash Malik, Spyros Kotoulas, Tomas Ward, Georgios Theodoropoulos",Proc. 17th International Workshop on the Web and Databases (WebDB),17,2014,,
Long Cheng,Improving the robustness and performance of parallel joins over distributed systems,"Long Cheng, Spyros Kotoulas, Tomas Ward, Georgios Theodoropoulos",Journal of Parallel and Distributed Computing 109 310-323,7,2017,,
Long Cheng,Runtime characterization of triple stores,"Long Cheng, Spyros Kotoulas, Tomas Ward, Georgios Theodoropoulos",2012 IEEE 15th International Conference on Computational Science and …,3,2012,,
Long Cheng,Scale-Out Processing of Large RDF Datasets,"Long Cheng, Spyros Kotoulas",IEEE Transactions on Big Data 1 (4) 138-150,21,2015,,
Long Cheng,Business Process Comparison: A Methodology and Case Study,"Alifah Syamsiyah, Alfredo Bolt, Long Cheng, Bart Hompes, Rp Jagadeesh Chandra Bose, Boudewijn Van Dongen, Wil Van Der Aalst",Business Information Systems 253-267,11,2017,,
Long Cheng,A scalable analysis framework for large-scale RDF data,Long Cheng,National University of Ireland Maynooth,0,2014,,
Long Cheng,Network-aware Optimization for Query Executions in Large Systems,Long Cheng,The Dutch-Belgian DataBase Day,0,2017,,
Long Cheng,Investigating distributed approaches to efficiently extract textual evidences for biomedical ontologies,"Long Cheng, Yue Ma",2014 IEEE International Conference on Bioinformatics and Bioengineering 220-225,2,2014,,
Long Cheng,Efficient large outer joins over mapreduce,"Long Cheng, Spyros Kotoulas",European Conference on Parallel Processing 334-346,6,2016,,
Long Cheng,Target-based Resource Allocation for Deep Learning Applications in a Multi-tenancy System,"Wenjia Zheng, Yun Song, Zihao Guo, Yongchen Cui, Suwen Gu, Ying Mao, Long Cheng",Proceedings of the 23rd IEEE High Performance Extreme Computing Conference,2,2019,,
Long Cheng,Efficient Skew Handling for Outer Joins in a Cloud Computing Environment,"Long Cheng, Spyros Kotoulas",IEEE Transactions on Cloud Computing 6 (2) 558-571,15,2018,,
Long Cheng,Robust and efficient large-large table outer joins on distributed infrastructures.,"Long Cheng, Spyros Kotoulas, Tomas Ward, Georgios Theodoropoulos",European Conference on Parallel Processing 258-269,24,2014,,
Long Cheng,A Fully Parallel Framework for Analyzing RDF Data,"Long Cheng, Spyros Kotoulas, Tomas Ward, Georgios Theodoropoulos",International Semantic Web Conference,1,2014,,
Long Cheng,Fast Compression of Large Semantic Web Data using X10,"Long Cheng, Avinash Malik, Spyros Kotoulas, Tomas Ward, Georgios Theodoropoulos",IEEE Transactions on Parallel and Distributed Systems 27 (9) 2603 - 2617,9,2016,,
Long Cheng,A QoS-QoR aware CNN accelerator design approach,"Ying Wang, Huawei Li, Long Cheng, Xiaowei Li",IEEE Transactions on Computer-Aided Design of Integrated Circuits and …,2,2018,,
Long Cheng,Efficient event correlation over distributed systems,"Long Cheng, Boudewijn Van Dongen, Wil Van Der Aalst",2017 17th IEEE/ACM International Symposium on Cluster Cloud and Grid …,13,2017,,
Long Cheng,An Edge 3D CNN Accelerator for Low Power Activity Recognition,"Ying Wang, Yongchen Wang, Cong Shi, Long Cheng, Huawei Li, Xiaowei Li",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,0,2020,,
