Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year,Filename,Ignore Y/N
Mark Roantree,Reducing dementia risk by targeting modifiable risk factors in mid-life: study protocol for the Innovative Midlife Intervention for Dementia Deterrence (In-MINDD) randomised …,"Catherine A O’Donnell, Susan Browne, Maria Pierce, Alex Mcconnachie, Kay Deckers, Martin Pj Van Boxtel, Valeria Manera, Sebastian Köhler, Muriel Redmond, Frans Rj Verhey, Marjan Van Den Akker, Kevin Power, Kate Irving, In-Mindd Team",Pilot and feasibility studies 1 (1) 40,25,2015,,
Mark Roantree,"Advanced Information Systems Engineering: 21st International Conference, CAiSE 2009, Amsterdam, The Netherlands, June 8-12, 2009, Proceedings","Pascal Van Eck, Jaap Gordijn, Roel J Wieringa",Springer,2,2009,,
Mark Roantree,Optimizing Queries for Web Generated Sensor Data.,"Gerard Marks, Mark Roantree, Dominick Smyth",ADC 47-56,7,2011,,
Mark Roantree,A heuristic approach to selecting views for materialization,"Mark Roantree, Jun Li",Software: Practice and Experience 44 (10) 1157-1179,12,2014,,
Mark Roantree,A Scalable Platform for Low-Latency Real-Time Analytics of Streaming Data,"Paolo Cappellari, Mark Roantree, Soon Ae Chun",International Conference on Data Management Technologies and Applications 1-24,1,2016,,
Mark Roantree,ISE: A High Performance System for Processing Data Streams.,"Paolo Cappellari, Soon Ae Chun, Mark Roantree",DATA 13-24,2,2016,,
Mark Roantree,Benchmarking parametric and Machine Learning models for genomic prediction of complex traits,"Christina B Azodi, Emily Bolger, Andrew McCarren, Mark Roantree, Gustavo De Los Campos, Shin-Han Shiu",G3: Genes Genomes Genetics 9 (11) 3691-3702,5,2019,,
Mark Roantree,Data mining in agri warehouses using modwt wavelet analysis,"Ken Bailey, Mark Roantree, Martin Crane, Andrew McCarren",International Conference on Information and Software Technologies 241-253,1,2017,,
Mark Roantree,Precomputing queries for personal health sensor environments,"Jun Li, Mark Roantree",Proceedings of the International Conference on Management of Emergent …,6,2009,,
Mark Roantree,Enabling knowledge extraction from low level sensor data,"Paolo Cappellari, Jie Shi, Mark Roantree, Crionna Tobin, Niall Moyna",International Conference on Database and Expert Systems Applications 411-419,2,2011,,
Mark Roantree,Exploiting Schema Information for Efficient Streaming Queries.,"Dónall Mccann, Paolo Cappellari, Mark Roantree",SEDE 326-331,0,2010,,
Mark Roantree,Optimizing XML data with view fragments,"Jun Li, Mark Roantree, Zohra Bellahsene",Proceedings of the Twenty-First Australasian Conference on Database …,3,2010,,
Mark Roantree,A path-oriented rdf index for keyword search query processing,"Paolo Cappellari, Roberto De Virgilio, Antonio Maccioni, Mark Roantree",International Conference on Database and Expert Systems Applications 366-380,20,2011,,
Mark Roantree,The Sensor Web: Bridging the Physical-Digital Divide,"Mark Roantree, Mikko Sallinen",ERCIM News 14-15,3,2009,,
Mark Roantree,Optimizing data stream processing for large‐scale applications,"Paolo Cappellari, Mark Roantree, Soon Ae Chun",Software: Practice and Experience 48 (9) 1607-1641,0,2018,,
Mark Roantree,Knowledge management in sensor enabled online services,"Dominick Smyth, Paolo Cappellari, Mark Roantree",Future Internet Symposium 88-96,2,2010,,
Mark Roantree,Path-oriented keyword search over graph-modeled web data,"Paolo Cappellari, Roberto De Virgilio, Mark Roantree",World Wide Web 15 (5-6) 631-661,5,2012,,
Mark Roantree,Automating data mart construction from semi-structured data sources,"Michael Scriney, Suzanne Mccarthy, Andrew McCarren, Paolo Cappellari, Mark Roantree",The Computer Journal 62 (3) 394-413,3,2019,,
Mark Roantree,A query service for raw sensor data,"Dónall Mccann, Mark Roantree",European Conference on Smart Sensing and Context 38-50,12,2009,,
Mark Roantree,Distributed Applications and Interoperable Systems,"Kostas Magoutis, Peter Pietzuch, Mario Macías, Jordi Guitart, Stefan Brenner, Benjamin Garbers, Rüdiger Kapitza, Kamal Hakimzadeh, Hooman Peiro Sajjad, Jim Dowling, João Paulo, José Pereira, Paulo Almeida, Carlos Baquero, Ricardo Gonçalves, Nuno Preguiça, Victor Fonte, Neil Donnelly, Kate Irving, Mark Roantree, Davide Frey, Mathieu Goessens, Anne-Marie Kermarrec, Kent Simonsen, Lars Kristensen, Gonçalo Avelar, Luís Veiga, Ali Shoker, Mathieu Pasquet, Francisco Maia, Etienne Rivière, Valerio Schiavoni, Andreas Benzing, Boris Koldehofe, Kurt Rothermel, Abdulrahman Azab, Hein Meling, Reggie Davidrajuh, Fatemeh Rahimian, Amir Payberah, Sarunas Girdzijauskas, Seif Haridi, Alessio Mansutti, Marino Miculan, Marco Peressotti",,0,2014,,
Mark Roantree,Reducing dementia risk by targeting modifiable risk factors in mid-life: Study protocol for the Innovative Midlife Intervention for Dementia Deterrence (In-MINDD) randomised …,"O’Donnell C., Susan Browne, Maria Pierce, Mcconnachie A., Kay Deckers, Van Boxtel M., Manera V., Sebastian Köhler, Muriel Redmond, Frans Rj Verhey, Marjan Van Den Akker, Power K., Kate Irving, Woods K., Boran L., Mcgarrigle L., Barry S., De Vugt M., Schiepers O., Vos S., Bourgeois J., Cauvin A., Robert P., Mark Roantree, Noel O’Kelly, Jim O’Donoghue, Alan F. Smeaton, Ward N., Kevin D O’Brien, Clissman C.",Pilot and Feasibility Studies,25,2015,,
Mark Roantree,"OOIS’94: 1994 International Conference on Object Oriented Information Systems 19–21 December 1994, London","Dilip Patel, Yuan Sun, Shushma Patel",Springer Science & Business Media,0,2012,,
Mark Roantree,OTwig: An Optimised Twig Pattern Matching Approach for XML Databases,"Jun Li, Mark Roantree",International Conference on Current Trends in Theory and Practice of …,1,2010,,
Mark Roantree,Using a pipeline approach to build data cube for large xml data streams,"Hao Gui, Mark Roantree",International Conference on Database Systems for Advanced Applications 59-73,3,2013,,
Mark Roantree,A hybrid storage model for web information systems,Mark Roantree,Proceedings of the 6th International Workshop on Web Information Systems …,1,2009,,
Mark Roantree,Query Optimisation for Data Mining in Peer-to-Peer Sensor Networks,"Mark Roantree, Alan F. Smeaton, Noel O’Connor, Vincent Andrieu, Nicolas Legeay, Fabrice Camous",Intelligent Techniques for Warehousing and Mining Sensor Network Data 234-256,0,2010,,
Mark Roantree,A framework for real-time context provision in ubiquitous sensing environments,"Adel Shaeib, Paolo Cappellari, Mark Roantree",The IEEE symposium on Computers and Communications 1083-1085,9,2010,,
Mark Roantree,Topological XML data cube construction,"Hao Gui, Mark Roantree",International journal of Web engineering and technology 8 (4) 347-368,3,2013,,
Mark Roantree,Metamodel-based optimisation of xpath queries,"Gerard Marks, Mark Roantree",British National Conference on Databases 146-157,10,2009,,
Mark Roantree,Preface SSW 2011,"Paolo Cappellari, Roberto De Virgilio, Mark Roantree",International Conference on Advanced Information Systems Engineering 541-543,0,2011,,
Mark Roantree,A schemaguide for accelerating the view adaptation process,"Jun Li, Mark Roantree, Zohra Bellahsene",International Conference on Conceptual Modeling 160-173,7,2010,,
Mark Roantree,CORBA 2 In The LIOM Project,"Pierce Hickey, Mark Roantree, Alan Crilly, John Murphy",OOIS’96: 1996 International Conference on Object Oriented Information …,0,2012,,
