Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year,Filename,Ignore Y/N
Martin Crane,Computer-based Approach to Detect Wrinkles and Suggest Facial Fillers,"Amal Alrabiah, Mai Alduailij, Martin Crane",Editorial Preface From the Desk of Managing Editor… 10 (9),0,2019,,
Martin Crane,Modelling Gene Regulatory Networks - An Integrative Approach,"Alina Sirbu, Heather J. Ruskin, Martin Crane",ERCIM News 81 36-37,0,2010,,
Martin Crane,Wisdom of crowds for robust gene network inference (As part of the DREAM5 consortium),"Daniel Marbach, James C Costello, Robert Küffner, Nicole M Vega, Robert J Prill, Diogo M Camacho, Kyle R Allison, Manolis Kellis, James J Collins, Gustavo Stolovitzky",Nature Methods,1232,2012,,
Martin Crane,Random matrix theory filters and currency portfolio optimisation,"Justin Daly, Martin Crane, Heather J. Ruskin",Journal of Physics: Conference Series 221 (1) 012003,11,2010,,
Martin Crane,A Wavelet-Based Method to Measure Stock Market Development,"Adel Al Sharkasi, Heather J. Ruskin, Martin Crane, José Abilio De Oliveira Matos, Sílvio Ma Gama",,1,2014,,
Martin Crane,Increasing biological accuracy in models of HIV progression while minimising complexity,"Ed Mcguinness, Heather J. Ruskin, Martin Crane",IFAC Proceedings Volumes 42 (12) 319-323,0,2009,,
Martin Crane,Drug Dissolution Modelling,"Niall McMahon, Martin Crane, Heather J. Ruskin",ERCIM News 82 33,0,2010,,
Martin Crane,Cross-platform microarray data normalisation for regulatory network inference,"Alina Sirbu, Heather J. Ruskin, Martin Crane",PLoS One 5 (11) e13822,28,2010,,
Martin Crane,Considerations on privacy in the era of digitally logged lives,"Rashmi Gupta, Martin Crane, Cathal Gurrin",Online Information Review,1,2020,,
Martin Crane,Integrating heterogeneous gene expression data for gene regulatory network modelling,"Alina Sirbu, Heather J. Ruskin, Martin Crane",Theory in Biosciences 131 (2) 95-102,10,2012,,
Martin Crane,Model refinement through high-performance computing: an agent-based HIV example,"Dimitri Perrin, Heather J. Ruskin, Martin Crane",Immunome research 6 (S1) S3,12,2010,,
Martin Crane,A Study of Correlation and Entropy for Multiple Time Series,"José Ao Matos, Sílvio Ma Gama, Heather J. Ruskin, Adel Al Sharkasi, Martin Crane",Nonlinear Science and Complexity 245-254,0,2011,,
Martin Crane,Evaluating the Volatility Behaviour in Irish ISEQ Overall Index Using GARCH Models,"Adel M Alsharkasi, Martin Crane, Heather J. Ruskin",Journal of Economics Management and Trade 1-13,0,2016,,
Martin Crane,In silico biology: Making the most of parallel computing,"Dimitri Perrin, Heather J. Ruskin, Martin Crane",Biocomputation and Biomedical Informatics: Case Studies and Applications 55-74,5,2010,,
Martin Crane,Stages of gene regulatory network inference: the evolutionary algorithm role,"Alina Sirbu, Heather J. Ruskin, Martin Crane",INTECH Open Access Publisher,14,2011,,
Martin Crane,"Evolutionary algorithms in genetic regulatory network modelling with microarray data,","Alina Sirbu, Heather J. Ruskin, Martin Crane",Proceedings of the 9th Asia-Pacific Complex Systems Conference (Complex 09 …,0,2009,,
Martin Crane,Assessing the impact of HIV treatment interruptions using stochastic cellular Automata,"Andreas Hillmann, Martin Crane, Heather J. Ruskin",Journal of theoretical biology 502 110376,0,2020,,
Martin Crane,ON THE VOLUME OF FLUID METHOD FOR MULTIPHASE FLUID FLOW SIMULATION,"Bipin Kumar, Martin Crane, Yan Delauré",International Journal of Modeling Simulation and Scientific Computing 4 …,1,2013,,
Martin Crane,Regulatory network modelling: Correlation for structure and parameter optimisation,"Alina Sirbu, Heather J. Ruskin, Martin Crane",Proceedings of The IASTED Technology Conferences (International Conference …,3,2010,,
Martin Crane,Analysis of Cryptocurrency Commodities with Motifs and LSTM.,"Benjamin Barry, Martin Crane",AICS 28-39,0,2019,,
Martin Crane,Employee Turnover Prediction Using Machine Learning,"Lama Alaskar, Martin Crane, Mai Alduailij",International Conference on Computing 301-316,0,2019,,
Martin Crane,Motif Discovery and Evaluation: Focus on Finance,"Eoin Cartwright, Martin Crane, Heather J. Ruskin",Econophysics 2018 (EC2018),0,2018,,
