Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year,Filename,Ignore Y/N
Murat YILMAZ,Guest Editorial: Gamification and Persuasive Games for Software Engineering,"Murat Yilmaz, Rory O’Connor, Ricardo Colomo Palacios, Paul M. Clarke",IET SOFTWARE 13 (2) 97-98,0,2019,,
Murat YILMAZ,"Systems, Software and Services Process Improvement: 22nd European Conference, EuroSPI 2015, Ankara, Turkey, September 30--October 2, 2015. Proceedings","Rory O’Connor, Mariye Umay Akkaya, Kerem Kemaneci, Murat Yilmaz, Alexander Poth, Richard Messnarz",Springer,2,2015,,
Murat YILMAZ,A 3D virtual environment for training soccer referees,"Ulas Gulec, Murat Yilmaz, Veysi Isler, Rory O’Connor, Paul M. Clarke",Computer Standards & Interfaces 64 1-10,8,2019,,
Murat YILMAZ,Adopting virtual reality as a medium for software development process education,"Ulas Gulec, Murat Yilmaz, Veysi Isler, Rory O’Connor, Paul M. Clarke",Proceedings of the 2018 International Conference on Software and System …,1,2018,,
Murat YILMAZ,Observed Effects of Software Processes Change in Three Software Firms: Industrial Exploratory Case Study,Murat Yilmaz,Pamukkale Üniversitesi Mühendislik Bilimleri Dergisi 25 (2) 240-246,2,2019,,
Murat YILMAZ,Adopting Augmented Reality for the Purpose of Software Development Process Training and Improvement: An Exploration,"İpek Ohri, İrem Öge, Bora Orkun, Murat Yilmaz, Eray Tuzun, Paul M. Clarke, Rory O’Connor",25th European Conference on Software Process Improvement (EuroSPI 2018) 896 …,0,2018,,
Murat YILMAZ,Gamifying the Onboarding Process for Novice Software Practitioners,"Mehmet Kosa, Murat Yilmaz",European Conference on Software Process Improvement 633 242-248,2,2016,,
Murat YILMAZ,Bilgisayar Mühendisliği Bitirme Projeleri için Düşünülmüş Bir Süreç Yönetim Modeli,"Murat Yilmaz, Serdar Taşel, Ulaş Güleç, Uğur Sopaoğlu",Proceedings of the 10th Turkish National Software Engineering Symposium,0,2016,,
Murat YILMAZ,Virtual Reality-Based Daily Scrum Meetings.,Murat Yilmaz,Encyclopedia of Computer Graphics and Games 1--6,2,2018,,
Murat YILMAZ,Using Adapted Version of Hoshin Matrix for Selection of Agile Software Development Processes,"Zulal Akarsu, Ozgun Onat Metin, Yasemin Yigit Kuru, Murat Yilmaz",12th Turkish National Software Engineering Conference (UYMS 2018),1,2018,,
Murat YILMAZ,Futbol Hakemlerinin Karar Verme Yeteneklerini Geliştirmek İçin Düşünülmüş Ciddi Oyun Tabanlı Öğrenme Çatısı.,"Ulaş Güleç, Murat Yilmaz",Ulusal Yazılım Mühendisliği Konferansı (UYMS 2015),0,2015,,
Murat YILMAZ,An Exploratory Study to Assess Digital Map Zoom/Pan/Rotate Methods with HoloLens,"İsmail Kılınç, Murat Yilmaz",Süleyman Demirel Üniversitesi Fen Bilimleri Enstitüsü Dergisi 22 (2) 458-463,0,2018,,
Murat YILMAZ,Yazılım Geliştiren Organizasyonlar için Düşünülmüş Bir Kişilik Tipi Ölçüm Oyunu.,"Murat Yilmaz, Rory O’Connor",7th Turkish National Software Engineering Conference (UYMS 2013),1,2013,,
Murat YILMAZ,Software Development Overall Efficiency Improvement in a CMMI Level 5 Organization within the scope of a Case Study,"Pınar Örgün, Deniz Gungor, Yasemin Yigit Kuru, Ozgun Onat Metin, Murat Yilmaz",Uluslararası Bilgisayar Bilimleri ve Mühendisliği Konferansı (UBMK 2018) 1-12,3,2018,,
Murat YILMAZ,Towards a Role Playing Game for Exploring the Roles in Scrum to Improve Collaboration Problems,"Zulal Akarsu, Özgün Onat Metin, Deniz Gungor, Murat Yilmaz",25th European Conference on Software Process Improvement (EuroSPI 2018) 896 …,2,2018,,
Murat YILMAZ,Gamification as a Disruptive Factor in Software Process Improvement Initiatives.,"Eduardo Herranz, Ricardo Colomo Palacios, Antonio De Amescua Seco, Murat Yilmaz",J. UCS 20 (6) 885-906,56,2014,,
Murat YILMAZ,Integration of accessibility design patterns with the software implementation process of ISO/IEC 29110,"Sandra Sanchez‐Gordon, Mary Sánchez‐Gordón, Murat Yilmaz, Rory O’Connor",Journal of Software: Evolution and Process 31 (1) e1987,6,2019,,
Murat YILMAZ,Yazılım Mühendisliği Dersi için Geliştirilmiş Ders Akış Modeli ve İlgili Vaka Çalışması,"Murat Yilmaz, Ulas Gulec",12th Turkish National Software Engineering Conference (UYMS 2018) 1-11,0,2018,,
Murat YILMAZ,Uygulama Yaşam Döngüsü Yönetim Araçlarının Verimini Arttırmak İçin Ciddi Oyun Uygulaması.,"Çağdaş Üsfekes, Murat Yilmaz, Eray Tuzun",11th Turkish National Software Engineering Symposium (UYMS 2017) 1-11,0,2017,,
Murat YILMAZ,An Exploratory Study to Assess Analytical and Logical Thinking Skills of the Software Practitioners using a Gamification Perspective,"Şahin Kayalı, Murat Yilmaz",Süleyman Demirel Üniversitesi Fen Bilimleri Enstitüsü Dergisi 21 (1) 178-189,6,2017,,
Murat YILMAZ,The Design Process of a Board Game for Exploring the Territories of the United States,"Mehmet Kosa, Murat Yilmaz",Press Start 4 (1) 36-52,5,2017,,
Murat YILMAZ,Simulacrum: Savas Kosullarinda Acil Tibbi Mudahale ve Ilk Yardim Simulasyonu,"M.A. Gulec,Ulas And Gozcu, Sedanur Dogan, Nesil Mesurhan, Murat Yilmaz, Veysi Isler, Mustafa Dinc",12th Turkish National Software Engineering Conference (UYMS 2018) 1-11,0,2018,,
Murat YILMAZ,Serious game plug-in experience for devops,"Çağdaş Üsfekes, Yagup Macit, Murat Yilmaz, Eray Tuzun",CEUR Workshop Proceedings 2201,0,2018,,
Murat YILMAZ,Designing games for improving the software development process,"Mehmet Kosa, Murat Yilmaz",European Conference on Software Process Improvement (EUROSPI 2015) 543 303-310,8,2015,,
Murat YILMAZ,An investigation of software development process terminology,"Paul M. Clarke, Antoni Lluís Mesquida Calafat, Damjan Ekert, J.J. Ekstrom, Tatjana Gornostaja, Milo Jovanovic, Jørn Johansen, Antonia Mas, Richard Messnarz, Blanca Najera Villar, Alexander O’Connor, Rory O’Connor, Michael Reiner, Gabriele Sauberer, Klaus-Dirk Schmitz, Murat Yilmaz",International Conference on Software Process Improvement and Capability …,25,2016,,
Murat YILMAZ,Towards a process management life-cycle model for graduation projects in computer engineering,"Murat Yilmaz, Faris Serdar Tasel, Ulas Gulec, Ugur Sopaoglu",PloS one 13 (11) e0208012,2,2018,,
Murat YILMAZ,Yazılım Uzmanları için Tasarlanmış Dijital Olmayan İş Birliği Oyunu,"Hazal Ipek Kahraman, Yasemin Bekturk, Irmak Angun, Yasemin Yigit Kuru, Murat Yilmaz",13. Ulusal Yazılım Mühendisliği Sempozyumu (UYMS 2019),0,2019,,
Murat YILMAZ,Yazılım Geliştirme Süreçlerini Eğitmek Amacıyla Tasarlanan Sanal Ofis Ortamında Ortamın Gerçekçiliğini Arttıran Etmenler,"Ulas Gulec, Murat Yilmaz, Veysi Isler",12th Turkish National Software Engineering Conference (UYMS 2018) 1-11,0,2018,,
Murat YILMAZ,Anti-Social: Bireylerin Sosyal Medya Bağımlılığını Azaltmak Amacıyla Düşünülmüş Bir Ciddi Oyun,"Ulaş Güleç, Murat Yilmaz, Can Koral Adalı, Veysi İşler",13. Ulusal Yazılım Mühendisliği Sempozyumu (UYMS 2019),0,2019,,
Murat YILMAZ,A Literature Survey: Is it Necessary to Develop a New Software Development Methodology for Virtual Reality Projects?,"Ulas Gulec, Murat Yilmaz, Veysi Isler",Journal of Universal Computer Science 23 (8) 725-754,7,2017,,
Murat YILMAZ,Artırılmış Gerçeklik Tabanlı Sürekli İşe Alıştırma Sistemi (Augmented Reality Based Continuous Onboarding Framework),"Eray Ohri, Ipek And Oge, Irem And Orkun, Bora And Yilmaz, Murat And Tuzun",12th Turkish National Software Engineering Conference (UYMS 2018) 1-11,0,2018,,
