Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year,Filename,Ignore Y/N
Paul M. Clarke,Software Process Improvement and Capability Determination,"Paul M. Clarke, Rory O’Connor, Terry Rout, Alec Dorling",Springer,1,2016,,
Paul M. Clarke,The demands of safety-critical medical device software development,"Paul M. Clarke, Marion Lepmets, Fergal McCaffery, Anita Finnegan, Alec Dorling, Derek Flood",,0,2017,,
Paul M. Clarke,"Proceedings of the 16th International Conference on Software Process Improvement and Capability Determination (SPICE 2016), Dublin, Ireland, June 9-10, 2016",Paul M. Clarke,Springer,0,2016,,
Paul M. Clarke,Erratum to: Software Process Improvement and Capability Determination,"Paul M. Clarke, Rory O’Connor, Terry Rout, Alec Dorling",International Conference on Software Process Improvement and Capability …,0,2016,,
Paul M. Clarke,The Impact of Situational Context on Software Process: A Case Study of a Very Small-Sized Company in the Online Advertising Domain,"Görkem Giray, Murat Yilmaz, Rory O’Connor, Paul M. Clarke",European Conference on Software Process Improvement 28-39,8,2018,,
Paul M. Clarke,Reducing Knowledge Loss in Open Source Software,"Mehvish Rashid, Paul M. Clarke, Rory O’Connor",structure 5 7,0,2017,,
Paul M. Clarke,An Approach to Investigating Proactive Knowledge Retention in OSS Communities,"Mehvish Rashid, Paul M. Clarke, Rory O’Connor",European Conference on Software Process Improvement 108-119,1,2018,,
Paul M. Clarke,Bringing Medical Device Software Development Standards into a single model - MDevSPICE,"Fergal Mccaffery, Paul M. Clarke, Marion Lepmets",Irish Medicines Board Medical Devices Newsletter 1 (41) 2-3,2,2014,,
Paul M. Clarke,A Multivocal Literature Review of Function-as-a-Service (FaaS) Infrastructures and Implications for Software Developers,"Jake Grogan, Connor Mulready, James Mcdermott, Martynas Urbanavicius, Murat Yilmaz, Yalemisew Abgaz, Andrew McCarren, Silvana Togneri Mac Mahon, Vahid Garousi, Peter Elger, Paul M. Clarke",European Conference on Software Process Improvement 58-75,0,2020,,
Paul M. Clarke,Software Process Improvement and Capability Determination Conference 2016,"Paul M. Clarke, Murat Yilmaz",Computer Standards & Interfaces 117-118,1,2017,,
Paul M. Clarke,Assessing Application Lifecycle Management (ALM) Potentials from an Industrial Perspective,"Zuleyha Akgun, Murat Yilmaz, Paul M. Clarke",European Conference on Software Process Improvement 326-338,0,2020,,
Paul M. Clarke,Medical device software development: towards a single best practice framework,"Marion Lepmets, Paul M. Clarke, Fergal Mccaffery, Anita Finnegan",The Engineers Journal 1-4,0,2014,,
Paul M. Clarke,A systematic examination of knowledge loss in open source software projects,"Mehvish Rashid, Paul M. Clarke, Rory O’Connor",International Journal of Information Management 46 104-123,14,2019,,
Paul M. Clarke,Summary of the 2019 International Conference on Software and System Processes (ICSSP 2019),"Stanley Sutton, Ove Armbrust, Regina Hebig, Paul M. Clarke",ACM SIGSOFT Software Engineering Notes 44 (3) 4,0,2019,,
Paul M. Clarke,A robust approach to examining business success in software development companies,"Paul M. Clarke, Rory O’Connor",International Conference on Software Quality 1-6,0,2012,,
Paul M. Clarke,A 3D Virtual Environment for Training Soccer Referees,"Ulas Gulec, Murat Yilmaz, Veysi Isler, Rory O’Connor, Paul M. Clarke",Computer Standards & Interfaces,8,2018,,
Paul M. Clarke,Agile Software Development–Do We Really Calculate the Costs? A Multivocal Literature Review,"Aidan Fogarty, Aaron Edgeworth, Oishin Smith, Michael Dowling, Murat Yilmaz, Silvana Togneri Mac Mahon, Paul M. Clarke",European Conference on Software Process Improvement 203-219,0,2020,,
Paul M. Clarke,MDevSpice is a one-stop shop for medical-device manufacturers,"Paul M. Clarke, Paul M. Clarke, Marion Lepmets, M., Mccaffery, Fergal Mccaffery, Donnelly",http://www.irishtimes.com/business/mdevspice-is-a-one-stop-shop-for-medical …,0,2015,,
Paul M. Clarke,"Software Process Improvement and Capability Determination [electronic resource]: 16th International Conference, SPICE 2016, Dublin, Ireland, June 9-10, 2016, Proceedings/edited …","Paul M. Clarke, Rory O’Connor, Terry Rout, Alec Dorling",Cham: Springer International Publishing: Imprint: Springer 2016.,1,2016,,
Paul M. Clarke,"Visualization, Monitoring and Control Techniques for Use in Scrum Software Development: An Analytic Hierarchy Process Approach","Nesib Tekin, Mehmet Kosa, Murat Yilmaz, Paul M. Clarke, Vahid Garousi",European Conference on Software Process Improvement 45-57,0,2020,,
Paul M. Clarke,A mechanism to explore proactive knowledge retention in open source software communities,"Mehvish Rashid, Paul M. Clarke, Rory O’Connor",Journal of Software: Evolution and Process e2198,1,2019,,
