Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year,Filename,Ignore Y/N
Tomas Ward,Measuring perceptual centers using the phase correction response,"Rudi Villing, Bruno H Repp, Tomas Ward, Joseph Timoney",Attention Perception & Psychophysics 73 (5) 1614-1629,19,2011,,
Tomas Ward,High throughput indexing for large-scale semantic web data,"Long Cheng, Spyros Kotoulas, Tomas Ward, Georgios Theodoropoulos",Proceedings of the 30th Annual ACM Symposium on Applied Computing 416-422,4,2015,,
Tomas Ward,A methodology for validating artifact removal techniques for physiological signals,"Kevin Sweeney, Hasan Ayaz, Tomas Ward, Meltem Izzetoglu, Seán McLoone, Banu Onaral",IEEE transactions on information technology in biomedicine 16 (5) 918-926,87,2012,,
Tomas Ward,IROS 2019 Lifelong Robotic Vision: Object Recognition Challenge [Competitions],"Heechul Bae, Eoin Brophy, Rosa Hm Chan, Baoquan Chen, Fan Feng, Gabriele Graffieti, Vidit Goel, Xinyue Hao, Hyonyoung Han, Sathursan Kanagarajah, Somesh Kumar, Siew-Kei Lam, Tin Lun Lam, Chuanlin Lan, Qi Liu, Vincenzo Lomonaco, Liang Ma, Davide Maltoni, German I Parisi, Lorenzo Pellegrini, Duvindu Piyasena, Shiliang Pu, Qi She, Debdoot Sheet, Soonyong Song, Youngsung Son, Zhengwei Wang, Tomas Ward, Jianwen Wu, Meiqing Wu, Di Xie, Yangsheng Xu, Lin Yang, Qihan Yang, Qiaoyong Zhong, Liguang Zhou",IEEE Robotics & Automation Magazine 27 (2) 11-16,0,2020,,
Tomas Ward,Data collection requirements for mobile connected health: an end user development approach,"José Juan Dominguez, Tomas Ward",Proceedings of the 1st International Workshop on Mobile Development 23-30,4,2016,,
Tomas Ward,Efficiently handling skew in outer joins on distributed systems,"Long Cheng, Spyros Kotoulas, Tomas Ward, Georgios Theodoropoulos",2014 14th IEEE/ACM International Symposium on Cluster Cloud and Grid …,19,2014,,
Tomas Ward,Rehabilitation Systems in Ambient Assisted Living Environments,"Anthea M Middleton, Rp Harte, Tomas Ward",Gamification: Concepts Methodologies Tools and Applications 1688-1705,0,2015,,
Tomas Ward,A Preliminary Investigation into the use of Machine Vision Techniques for Automating Facial Paralysis Rehabilitation Therapy,"Jane Reilly Delannoy, Tomas Ward",,0,2010,,
Tomas Ward,Evaluating performance of the single leg squat exercise with a single inertial measurement unit,"Darragh Whelan, Martin O’Reilly, Tomas Ward, Eamonn Delahunt, Brian Caulfield",Proceedings of the 3rd 2015 Workshop on ICTs for improving Patients …,19,2015,,
Tomas Ward,Classification of lunge biomechanics with multiple and individual inertial measurement units,"Martin O’Reilly, Darragh Whelan, Tomas Ward, Eamonn Delahunt, Brian Caulfield",Sports biomechanics 16 (3) 342-360,13,2017,,
Tomas Ward,Predicting risk of suicide using resting state heart rate,"Daud Sikander, Mahnaz Arvaneh, Francesco Amico, Graham Healy, Tomas Ward, Damien Kearney, Eva Mohedano, Jennifer Fagan, John Yek, Alan F. Smeaton, Justin Brophy",2016 Asia-Pacific Signal and Information Processing Association Annual …,5,2016,,
Tomas Ward,The NIRS technique: a potential tool to detect the occurrence of acute attention deficits,"Gerard Dray, Gerard Derosiere, Maxime Billot, Stephane Perrey, Tomas Ward",,0,2012,,
Tomas Ward,The pursuit of flow in the design of rehabilitation systems for ambient assisted living: A review of current knowledge,"Anthea M Middleton, Tomas Ward",International Journal of Ambient Computing and Intelligence (IJACI) 4 (1) 54-65,4,2012,,
Tomas Ward,A Sensor Glove System for Rehabilitation in Instrumental Activities of Daily Living,"Aodhan Coffey, Tomas Ward",International Conference on Human-Computer Interaction 135-139,0,2013,,
Tomas Ward,Brain computer interfaces for neurorehabilitation–its current status as a rehabilitation strategy post-stroke,"Leh Van Dokkum, Tomas Ward, Isabelle Laffont",Annals of physical and rehabilitation medicine 58 (1) 3-8,113,2015,,
Tomas Ward,Runtime Characterisation of Triple Stores,"Long Cheng, Spyros Kotoulas, Tomas Ward, Georgios Theodoropoulos",Computational Science and Engineering (CSE) 2012 IEEE 15th International …,3,2012,,
Tomas Ward,Multicomponent analysis using a confocal Raman microscope,"Zhengyuan Tang, Sinead J Barton, Tomas Ward, John Lowry, Michelle Doran, Hugh J Byrne, Bryan M Hennelly",Applied optics 57 (22) E118-E130,1,2018,,
Tomas Ward,An exploration of EEG features during recovery following stroke–implications for BCI-mediated neurorehabilitation therapy,"Darren J Leamy, Jus Kocijan, Katarina Domijan, Joseph Duffin, Richard Roche, Sean Commins, Ronan Collins, Tomas Ward",Journal of neuroengineering and rehabilitation 11 (1) 9,41,2014,,
Tomas Ward,Functional near infrared spectroscopy (fNIRS) synthetic data generation,"Darren J Leamy, Tomas Ward, Kevin Sweeney",2011 Annual International Conference of the IEEE Engineering in Medicine and …,10,2011,,
Tomas Ward,Effects of anodal high-definition transcranial direct current stimulation on bilateral sensorimotor cortex activation during sequential finger movements: an fNIRS study,"Makii Muthalib, Pierre Besson, John Rothwell, Tomas Ward, Stephane Perrey",Oxygen Transport to Tissue XXXVII 351-359,28,2016,,
Tomas Ward,A preliminary investigation into the use of machine vision techniques for automating facial paralysis rehabilitation therapy,"Jane Reilly Delannoy, Tomas Ward",IET Digital Library,14,2010,,
Tomas Ward,A two-tier index architecture for fast processing large RDF data over distributed memory,"Long Cheng, Spyros Kotoulas, Tomas Ward, Georgios Theodoropoulos",Proceedings of the 25th ACM conference on Hypertext and social media 300-302,2,2014,,
Tomas Ward,Classification of NIRS-measured hemodynamics of the cerebral cortex to detect lapses in attention.,"Gerard Derosiere, Sami Dalhoumi, Maxime Billot, Stephane Perrey, Tomas Ward, Gerard Dray",16th International Conference on Near-InfraRed Spectroscopy,0,2013,,
Tomas Ward,An Adaptive Rate-Based Method for Maintaining Consistency in Networked Multiplayer Computer Games,"Séamus McLoone, Tomas Ward, Damian Wynne, Aaron Mccoy",2012 IEEE/ACM 16th International Symposium on Distributed Simulation and …,0,2012,,
Tomas Ward,Artifact Abstract: CNNs for Heart Rate Estimation and Human Activity Recognition in Wrist Worn Sensing Applications,"Eoin Brophy, Willie Muehlhausen, Alan F. Smeaton, Tomas Ward",2020 IEEE International Conference on Pervasive Computing and Communications …,0,2020,,
Tomas Ward,Comparison of predictive contract mechanisms from an information theory perspective,"Xin Zhang, Tomas Ward, Seamus Mcloone",ACM Transactions on Multimedia Computing Communications and Applications …,3,2012,,
