Research name,Publication Title,Author List,Conf/Journal Details,Year,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Alan F. Smeaton,Predicting “At Risk” students from log data.,"Smeaton, Alan F., Smyth, Sinead, Corrigan, Owen, Brennan, John, Egan, Ely","Insight Student Conference (INSIGHT-SC 2014), 12 Sept 2014, UCD, Dublin, Ireland.",2014,,,Conference or Workshop Item (Poster),Conference,Yes,,,,Social Sciences > Adult education. Computer Science > Machine learning. Social Sciences > Communication. Computer Science > Information retrieval. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,20615,25 May 2015 11:08 by  Kevin Fraser. Last Modified 13 Aug 2020 15:16,,,,,SFI Grant Number 12/RC/2289,,,
Alan F. Smeaton,Pattern detection in lifelog data.,"Hu, Feiyan, Smeaton, Alan F., Newman, Eamonn, Gurrin, Cathal","Insight Student Conference, 12 Sep 2014, UCD, Dublin, Ireland.",2014,,,Conference or Workshop Item (Poster),Conference,Yes,,,,Computer Science > Lifelog. Engineering > Signal processing. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,20263,23 Oct 2014 09:59 by  Feiyan Hu. Last Modified 11 Oct 2018 12:51,,,,,,,,
Alan F. Smeaton,"TRECVID 2010 – An overview of the goals, tasks, data, evaluation mechanisms, and metrics.","Over, Paul, Awad, George M., Fiscus, Jon, Antonishek, Brian, Michel, Martial, Smeaton, Alan F., Kraaij, Wessel, Quénot, Georges","TRECVid 2010, 15-17 November 2010, Gaithersburg, Md., USA.",2011,,,Conference or Workshop Item (Paper),Workshop,Yes,,,TRECVID,Computer Science > Multimedia systems. Computer Science > Information retrieval. Computer Science > Digital video. Computer Science > Image processing. ,Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,16306,28 Apr 2011 14:17 by  Alan Smeaton. Last Modified 19 Jul 2018 14:53,Proceedings of TRECVid 2010..  National Institute of Standards and Tchnology.,National Institute of Standards and Tchnology,http://www-nlpir.nist.gov/projects/tvpubs/tv.pubs.org.html,,Science Foundation Ireland,,,
Alan F. Smeaton,PANEL: challenges for multimedia/multimodal research in the next decade.,"Chang, Shih-Fu, Morency, L.P., Hauptmann, Alexander, Del Bimbo, Alberto, Gurrin, Cathal, Hung, Hayley, Ji, Heng, Smeaton, Alan F.","27th ACM International Conference on Multimedia (MM'19), 21-25 Oct 1919, Nice, France",2019,978-1-4503-6889-6,,Conference or Workshop Item (Paper),Conference,Yes,,,future challenges; long-term outlook; future opportunities; multimedia research,Computer Science > Multimedia systems,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24669,22 Jun 2020 16:19 by  Cathal Gurrin. Last Modified 22 Jun 2020 16:19,Proceedings of the 27th ACM International Conference on Multimedia (MM ’19)..  Association for Computing Machinery (ACM). ISBN 978-1-4503-6889-6,Association for Computing Machinery (ACM),https://doi.org/10.1145/3343031.3351494,© 2019 The Authors,National Science Foundation for its support of this effort under Grant No. IIS1735591.,,,
Alan F. Smeaton,Ethics of AAL for people with dementia.,"Novitzky, Peter, Chen, Cynthia, Gordijn, Bert, O'Mathúna, Dónal, Ó Brolcháin, Fiachra, Jacquemard, Tim, Irving, Kate, Smeaton, Alan F.","Insight Student Conference (INSIGHT-SC 2014), 12 Sept 2014, UCD, Dublin, Ireland.",2014,,,Conference or Workshop Item (Poster),Conference,Yes,,,,Computer Science > Lifelog. Medical Sciences > Nursing. Computer Science > Information retrieval. ,DCU Faculties and Schools > Faculty of Science and Health > School of Nursing and Human Sciences. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,20613,09 Jun 2015 10:47 by  Kevin Fraser. Last Modified 31 Oct 2018 12:31,,,,,SFI Grant Number 12/RC/2289,,,
Alan F. Smeaton,Predicting peer group effects on University exam results.,"Scanlon, Philip, Smeaton, Alan F.","EventInsight Student Conference (INSIGHT-SC 2015), 30 Oct 2015, NUIG, Galway, Ireland.",2015,,,Conference or Workshop Item (Poster),Conference,Yes,,,,Computer Science > Machine learning. Social Sciences > Educational technology. Computer Science > Information retrieval. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21212,11 May 2016 10:23 by  Philip Scanlon. Last Modified 31 Oct 2018 11:46,,,,,This project has been funded by Science Foundation Ireland (SFI) under Grant Number SFI/12/RC/2289,,,
Alan F. Smeaton,"Presentations and demos of the ""Curiosity Cloning"" project.","Izzo, Dario, Ampatzis, Christos, Ruciński, Marek, Ebrahimi, Touradj, Yazdani, Ashkan, Ha-Minh, Thien, Dufaux, Frédéric, Smeaton, Alan F., Wilkins, Peter, Healy, Graham","Workshop on Brain Machine Interfaces for Space Applications: Enhancing Astronaut Capabilities, 30 November 2009, European Space Agency, Noordwijk (The Netherlands).",2009,,,Conference or Workshop Item (Lecture),Workshop,No,,,brain computer interfaces (BCI);,Computer Science > Image processing,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,15031,21 Dec 2009 13:46 by  Alan Smeaton. Last Modified 11 Oct 2018 08:57,,,http://www.esa.int/gsp/ACT/bng/op/BMI_Workshop/programme.htm,,"Science Foundation Ireland, European Space Agency, Advanced Concepts Team",Alan.smeaton@dcu.ie,,
Alan F. Smeaton,High-level feature detection from video in TRECVid: a 5-year retrospective of achievements.,"Smeaton, Alan F., Over, Paul, Kraaij, Wessel","Divakaran, Ajay, (ed.) Multimedia Content Analysis: Theory and Applications. Springer series on Signals and Communication Technology . Springer US, Norwell, MA 02061, USA, pp. 151-174",2009,978-0-387-76567-9,,Book Section,,Yes,,,Semantic Concepts; video indexing;,Computer Science > Multimedia systems. Computer Science > Image processing. Computer Science > Digital video. ,Research Initiatives and Centres > Centre for Digital Video Processing (CDVP). Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,2230,06 Jan 2009 11:33 by  Alan Smeaton. Last Modified 19 Jul 2018 14:42,,Springer US,http://dx.doi.org/10.1007/978-0-387-76569-3_6,© Springer 2009,Science Foundation Ireland,,,
Alan F. Smeaton,Identifying the impact of friends on their peers academic performance.,"Scanlon, Philip, Smeaton, Alan F.","The 2016 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, 18 Aug 2016, San Francisco, CA..",2016,,,Conference or Workshop Item (Poster),Conference,No,,,Data analytics,Social Sciences > Education. Social Sciences > Sociology. Computer Science > Machine learning. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21287,26 Jul 2016 12:55 by  Philip Scanlon. Last Modified 31 Oct 2018 11:38,,,,,,,,
Alan F. Smeaton,PANEL: Challenges for multimedia/multimodal research in the next decade.,"Chang, Shih-Fu, Morency, L.P., Hauptmann, Alexander, Del Bimbo, Alberto, Gurrin, Cathal, Hung, Haley, Heng, Ji, Smeaton, Alan F.","27th ACM International Conference on Multimedia, 21–25 Oct 2019, Nice, France",2019,978-1-4503-6889-6,,Conference or Workshop Item (Paper),Conference,No,,,"Multimedia research; long-term outlook; future challenges and
opportunities.",Computer Science > Image processing. Computer Science > Information retrieval. Computer Science > Multimedia systems. Computer Science > Digital video. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24198,10 Feb 2020 16:52 by  Cathal Gurrin. Last Modified 02 Sep 2020 17:01,MM '19: Proceedings of the 27th ACM International Conference on Multimedia..  Association for Computing Machinery. ISBN 978-1-4503-6889-6,Association for Computing Machinery,https://doi.org/10.1145/3343031.3351494,© 2019 The Authors,National Science Foundation for its support of this effort under Grant No. IIS1735591,,,
