Research name,Publication Title,Author List,Conf/Journal Details,Year,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Cathal Gurrin,EMIR: A novel emotion-based music retrieval system.,"Zhou, Lijuan Marissa, Lin, Hongfei, Gurrin, Cathal","The 18th International Conference on Multimedia Modeling, 4-6 Jan 2012, Klagenfurt, Austria.",2012,,,Conference or Workshop Item (Paper),Conference,Yes,,,Music Information Retrieval; Emotion Detection; Machine Learning; Human Computer Interaction,Computer Science > Information technology. Computer Science > Artificial intelligence. Medical Sciences > Psychology. Computer Science > Information retrieval. ,Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,17532,01 Oct 2012 15:32 by  Ms Lijuan Marissa Zhou. Last Modified 02 Nov 2018 15:40,,,,,,,,
Cathal Gurrin,Recognising Irish sign language using electromyography.,"Galea, Laura Christina, Smeaton, Alan F.","17th IEEE Content Based Multimedia Indexing (CBMI) Conference, 4-6 Sept 2019, Dublin, Ireland",2019,978-1-7281-4673-7,,Conference or Workshop Item (Paper),Conference,Yes,,,EMG; sign language,Computer Science > Machine learning. Computer Science > Multimedia systems. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23553,15 Jul 2019 09:11 by  Alan Smeaton. Last Modified 17 Dec 2019 12:18,"Gurrin, Cathal and Jónsson, Björn Þór and Péteri, Renaud and Rudinac, Stevan, (eds.)2019 International Conference on Content-Based Multimedia Indexing (CBMI)..  IEEE. ISBN 978-1-7281-4673-7",IEEE,http://dx.doi.org/10.1109/CBMI.2019.8877421,© 2019 The Authors,Science Foundation Ireland  under grant number SFI/12/RC/2289,,,
Cathal Gurrin,ShareDay:A memory enhancing lifelogging system based on group sharing.,"Zhou, Lijuan Marissa, Caprani, Niamh, Gurrin, Cathal","Summer School on Social Media Modeling and Search SSMS 2012, 10-14 Sept 2012, Santorini, Greece.",2012,,,Conference or Workshop Item (Poster),Seminar,Yes,,,lifelogging; event segmentation,Computer Science > Interactive computer systems. Computer Science > Multimedia systems. Computer Science > Algorithms. Engineering > Artificial life. ,Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,17536,01 Oct 2012 09:57 by  Ms Lijuan Marissa Zhou. Last Modified 02 Nov 2018 15:33,,,,,,,,
Cathal Gurrin,TRECVid 2010 experiments at Dublin City University.,"Foley, Colum, Guo, Jinlin, Scott, David, Ferguson, Paul, Gurrin, Cathal, Smeaton, Alan F.","TRECVid 2010, 15-17 Nov 2010, Gaithersburg, Maryland.",2010,,,Conference or Workshop Item (Speech),Workshop,Yes,,,information retrieval; coarse-to-fine search,Computer Science > Machine learning. Computer Science > Multimedia systems. Computer Science > Digital video. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,17531,02 Oct 2012 14:04 by  Jinlin Guo. Last Modified 31 Oct 2018 13:27,,,,,,,,
Cathal Gurrin,Temporal saliency adaptation in egocentric videos.,"Panagiotis, Linardos, Mohedano, Eva, Cherto, Monica, Gurrin, Cathal, Giró-i-Nieto, Xavier","The Third International Workshop on Egocentric Perception, Interaction and Computing (EPIC@ECCV18), 9 Sept 2018, Munich, Germany.",2018,,,Conference or Workshop Item (Poster),Workshop,Yes,,,,Computer Science > Artificial intelligence. Computer Science > Digital video. Computer Science > Lifelog. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22679,19 Sep 2018 13:02 by  Eva Mohedano Robles. Last Modified 22 Oct 2018 10:48,,,,© The Authors,SFI/12/RC/2289,,,
Cathal Gurrin,Exploring the impact of training data bias on automatic generation of video captions.,"Smeaton, Alan F., Graham, Yvette, McGuinness, Kevin, O'Connor, Noel E., Quinn, Sean, Arazo Sanchez, Eric","25th International Conference on Multimedia Modeling (MMM2019), 8 - 11 Jan 2019, Thessaloniki, Greece",2018,978-3-030-05710-7,,Conference or Workshop Item (Paper),Conference,Yes,,,Video-to-language; Video captioning; Video understanding; Semantic similarity,Computer Science > Artificial intelligence. Computer Science > Machine learning. Computer Science > Multimedia systems. Computer Science > Digital video. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23512,01 Jul 2019 10:54 by  Sean Quinn. Last Modified 12 Aug 2020 17:21,"Kompatsiaris, Ioannis and Huet, Benoit and Mezaris, Vasileios and Gurrin, Cathal and Cheng, Wen-Huang, (eds.)MMM 2019: MultiMedia Modeling, Proceedings. Lecture Notes in Computer Science book series (LNCS)11295(1).  Springer. ISBN 978-3-030-05710-7",Springer,http://dx.doi.org/10.1007/978-3-030-05710-7_15,©2018 Springer,Science Foundation Ireland under grant numbers 12/RC/2289 and 15/SIRG/3283,,9.0,21.0
Cathal Gurrin,"LoggerMan, a software to capture, visualize and preserve computer activities as a digital personal archive.","Hinbarji, Zaher, Albatal, Rami, O'Connor, Noel E., Gurrin, Cathal","Personal Digital Archiving Conference 2016, 12-14 May 2016, University of Michigan Library, Michigan, USA.",2016,,,Conference or Workshop Item (Poster),Conference,Yes,,,,Computer Science > Lifelog. Computer Science > Computer software. Computer Science > Visualization. Computer Science > Information storage and retrieval systems. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21254,01 Jul 2016 08:30 by  Zaher Hinbarji. Last Modified 19 Oct 2018 08:53,,,,,,,,
Cathal Gurrin,ShareDay: A new lifelogging brower system for group sharing.,"Zhou, Lijuan Marissa, Caprani, Niamh, Gurrin, Cathal, O'Connor, Noel E.","The 19th International Conference on Multimedia Modeling, 7-9 Jan 2013, Huangshan, China.",2013,,,Conference or Workshop Item (Paper),Conference,Yes,,,Human Computer Interaction; Multimedia Systems; Group Sharing; Lifelogging; Touchscreen Browser,Computer Science > Lifelog. Computer Science > Interactive computer systems. Engineering > Systems engineering. Computer Science > Multimedia systems. ,Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,17534,10 Jan 2013 11:39 by  Ms Lijuan Marissa Zhou. Last Modified 19 Oct 2018 15:11,,,,,,,,
Cathal Gurrin,"Who created this video clip, amateur or professional?","Guo, Jinlin, Gurrin, Cathal, Lao, Songyang","International Conference on Multimedia Retrieval, 16-19 Apr 2013, Dallas, TX..",2013,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine learning. Computer Science > Information retrieval. Computer Science > Algorithms. Computer Science > Digital video. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,17847,18 Apr 2013 13:33 by  Jinlin Guo. Last Modified 27 Sep 2019 12:01,Proceedings of ICMR 2013..,,,,,,,
Cathal Gurrin,Guest editorial.,"Hopfgartner, Frank, Gurrin, Cathal, Joho, Hideo","Online Information Review, 44 (2). pp. 477-481",2020,,1468-4527,Article (Published),,No,,,lifelogging; self-tracking; quantified self,Computer Science > Image processing. Computer Science > Lifelog. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,24670,29 Jun 2020 16:29 by  Cathal Gurrin. Last Modified 29 Jun 2020 16:29,,Emerald,http://dx.doi.org/10.1108/OIR-04-2020-398,"© 2020, Emerald",,,,
