Research name,Publication Title,Author List,Conf/Journal Details,Year,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Heather J. Ruskin,Probabilistic pharmaceutical modelling: A comparison between synchronous and asynchronous cellular automata.,"Bezbradica, Marija, Ruskin, Heather J., Crane, Martin","International Conference on Parallel Processing and Applied Mathematics, 8-11 Sep 2016, Warsaw, Poland.",2014,,,Conference or Workshop Item (Paper),Conference,Yes,,,Complex modelling; Controlled drug delivery systems;  Discrete systems;  Parallel algorithms,Medical Sciences > Pharmacology. Computer Science > Computational complexity. ,Research Initiatives and Centres > Scientific Computing and Complex Systems Modelling (Sci-Sym). DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21692,30 Jan 2017 13:53 by  Thomas Murtagh. Last Modified 03 Oct 2018 11:27,PPAM 2013: Parallel Processing and Applied Mathematics. Lecture Notes in Computer Science (LNCS)8685.  Springer International Publishing.,Springer International Publishing,,© Springer International Publishing,,,,
Heather J. Ruskin,"Automatically detecting ""significant events"" on SenseCam.","Li, Na, Crane, Martin, Ruskin, Heather J.","ERCIM News, 2011 (87).",2011,,,Article (Published),,Yes,,,Sensecam,Computer Science > Lifelog. Physical Sciences > Statistical physics. ,Research Initiatives and Centres > Scientific Computing and Complex Systems Modelling (Sci-Sym). DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,17850,04 Mar 2013 11:04 by  Na LI. Last Modified 04 Feb 2020 14:50,,,http://ercim-news.ercim.eu/en87/special/automatically-detecting-qsignificant-eventsq-on-sensecam,© 2011 The Authors,,,,
Heather J. Ruskin,Comparative analysis of asynchronous cellular automata in stochastic pharmaceutical modelling.,"Bezbradica, Marija, Ruskin, Heather J., Crane, Martin","Journal Of Computational Science, 5 (5). pp. 834-840",2014,,1877-7503,Article (Published),,Yes,,,Complex systems; Controlled drug delivery; High-performance computing; Swellable devices; Probabilistic models,Mathematics. Mathematics > Stochastic analysis. ,UNSPECIFIED,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,19947,19 Sep 2014 10:48 by  Martin Crane. Last Modified 03 Oct 2018 11:30,,Elsevier,http://dx.doi.org/doi:10.1016/j.jocs.2014.04.010,© 2014 Elsevier,,,,
Heather J. Ruskin,Multiscaled cross-correlation dynamics on SenseCam lifelogged images.,"Li, Na, Crane, Martin, Ruskin, Heather J., Gurrin, Cathal","19th International Conference on Multimedia Modelling, 7-9 Jan 2012, Huangshan, China.",2013,,,Conference or Workshop Item (Paper),Conference,Yes,,,Lifelogging; SenseCam; Images; equal-time Correlation Matrices; Maximum Overlap Discrete Wavelet Transform,Computer Science > Lifelog. Physical Sciences > Statistical physics. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,17844,06 Mar 2013 11:39 by  Na LI. Last Modified 04 Feb 2020 14:50,"Advances in Multimedia Modeling: Part II: 19th International Conference, MMM 2012, Huangshan, China, January 7-9, 2012, Proceedings (Lecture Notes in Computer Science / Information Systems and). Lecture Notes in Computer Science 7732.  Springer.",Springer,http://www.springer.com/computer/information+systems+and+applications/book/978-3-642-35724-4,"© 2013 Springer
The original publication is available at www.springerlink.com",,,,
Heather J. Ruskin,Cross-correlation dynamics in financial time series.,"Conlon, Thomas, Ruskin, Heather J., Crane, Martin","Physica A Statistical Mechanics and its Applications, 388 (5). pp. 705-714",2009,,0378-4371,Article (Published),,Yes,,,correlation matrix; eigenspectrum analysis; econophysics;,Mathematics > Numerical analysis. Physical Sciences > Statistical physics. Computer Science > Computer simulation. Mathematics > Stochastic analysis. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,14964,27 Oct 2009 12:43 by  Martin Crane. Last Modified 03 Oct 2018 11:21,,Elsevier,http://dx.doi.org/10.1016/j.physa.2008.10.047,Copyright © 2008 Elsevier B.V,,,,
Heather J. Ruskin,Multiscaled cross-correlation dynamics in financial time series.,"Conlon, Thomas, Ruskin, Heather J., Crane, Martin","Advances in Complex Systems, 12 (4-5). pp. 439-454",2009,,0219-5259,Article (Published),,Yes,,,random matrix theory (RMT); wavelets; eigenvalues; eigenanalysis; financial time series; equity returns;,Mathematics > Numerical analysis. Mathematics > Statistics. Physical Sciences > Statistical physics. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,14915,01 Oct 2009 09:44 by  Martin Crane. Last Modified 03 Oct 2018 11:21,,World Scientific Publishing,http://dx.doi.org/10.1142/S0219525909002325,Copyright © 2009 World Scientific Publishing Co.,,,,
Heather J. Ruskin,Random matrix ensembles of time correlation matrices to analyze visual lifelogs.,"Li, Na, Crane, Martin, Ruskin, Heather J., Gurrin, Cathal","MultiMedia Modeling (Lecture Notes in Computer Science), 8325 . pp. 400-411",2013,,0302-9743,Article (Published),,Yes,,,Random Matrix Theory; Correlation & Covariance,Computer Science > Lifelog. Mathematics > Mathematical models. Mathematics > Statistics. Physical Sciences > Statistical physics. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,19672,15 May 2014 10:54 by  Martin Crane. Last Modified 04 Feb 2020 14:51,,Springer Verlag,http://link.springer.com/chapter/10.1007%2F978-3-319-04114-8_34,"© 2013 Springer Verlag
The original publication is available at www.springerlink.com",,,,
Heather J. Ruskin,Applying random matrix theory filters on SenseCam images.,"Li, Na, Crane, Martin, Gurrin, Cathal, Ruskin, Heather J.","ERCIM News, 95 (10). pp. 19-20.",2013,,,Article (Published),,Yes,,,,Computer Science > Lifelog. Computer Science > Image processing. Physical Sciences > Statistical physics. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21307,29 Jul 2016 13:42 by  Na Li. Last Modified 03 Oct 2018 11:28,,,http://ercim-news.ercim.eu/images/stories/EN95/EN95-web.pdf,,,,,
Heather J. Ruskin,Visual experience for recognising human activities.,"Li, Na, Crane, Martin, Ruskin, Heather J.","International Competitions and Final Workshop, EvAAL 2012, July and September 2012. Communications in Computer and Information Science , 362 . Springer, Berlin Heidelberg, pp. 173-185",2013,Press),,Book Section,,Yes,,,Ambient Assisted Living; SenseCam; time series methods; EvAAL competition,Computer Science > Lifelog. Physical Sciences > Statistical physics. ,Research Initiatives and Centres > Scientific Computing and Complex Systems Modelling (Sci-Sym). DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,17849,21 May 2013 08:53 by  Na LI. Last Modified 04 Feb 2020 14:50,,Springer,http://link.springer.com/chapter/10.1007%2F978-3-642-37419-7_14#,"© 2013 Springer
The original publication is available at www.springerlink.com",,,,
Heather J. Ruskin,Probabilistic models for dissolution of ethylcellulose coated microspheres.,"Bezbradica, Marija, Barat, Ana, Ruskin, Heather J., Crane, Martin","European Simulation and Modelling Conference 2010, 25-27 Oct 2010, Hasselt, Belgium",2010,978-90-77381-57-1,,Conference or Workshop Item (Paper),Conference,Yes,,,pharmacokinetics; probabilistic modelling; drug dissolution,Biological Sciences > Bioinformatics. Mathematics > Mathematical models. Mathematics > Numerical analysis. Physical Sciences > Statistical physics. Computer Science > Computer simulation. ,Research Initiatives and Centres > Scientific Computing and Complex Systems Modelling (Sci-Sym). DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,17638,07 Dec 2012 10:58 by  Martin Crane. Last Modified 03 Oct 2018 11:29,Proceedings of the European Simulation and Modelling Conference ESM 2010..  Eurosis. ISBN 978-90-77381-57-1,Eurosis,,© 2010 Eurosis,IRCSET Enterprise Partnership Scheme,,,
