Research name,Publication Title,Author List,Conf/Journal Details,Year,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Mark Roantree,Using sensor networks to measure intensity in sporting activities.,"Roantree, Mark, Shi, Jie, Whelan, Michael, Moyna, Niall","QShine 2009 - The Sixth International ICST Conference on Heterogeneous Networking for Quality, Reliability, Security and Robustness, 23-25 November 2009, Las Palmas de Gran Canaria, Spain. (In Press)",2009,,,Conference or Workshop Item (Paper),Conference,Yes,,,Wireless Sensor Network; Data Synchronisation; Calibration; Query Service;,Computer Science > Computer networks,DCU Faculties and Schools > Faculty of Science and Health > School of Health and Human Performance. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,14954,10 Nov 2009 16:03 by  Shi Jie. Last Modified 23 Oct 2019 14:03,,,http://www.qshine.org/cfp.shtml,,,,,
Mark Roantree,Enrichment of raw sensor data to enable high-level queries.,"Conroy, Kenneth, Roantree, Mark","DEXA 2010 - 21st International Conference on Database and Expert Systems Applications, 29 August - 3 September 2010, Bilbao, Spain",2010,978-3-642-15250-4,,Conference or Workshop Item (Paper),Conference,Yes,,,ubisense; sensors;,Computer Science > Computer software. Computer Science > Information storage and retrieval systems. Computer Science > Algorithms. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,15730,27 Sep 2010 14:52 by  Kenneth Conroy. Last Modified 19 Jul 2018 14:51,"Database and Expert Systems Applications. 21th International Conference, DEXA 2010, Bilbao, Spain, August 30 - September 3, 2010, Proceedings..  Springer Berlin / Heidelberg. ISBN 978-3-642-15250-4",Springer Berlin / Heidelberg,http://dx.doi.org/10.1007/978-3-642-15251-1_36,Copyright Springer-Verlag Berlin / Heidelberg 2010,"Science Foundation Ireland, SFI 07/CE/I1147",The original publication is available at www.springerlink.com,,2.0
Mark Roantree,Desirable properties for XML update mechanisms.,"O'Connor, Martin F., Roantree, Mark","Updates 2010 - 1st International Workshop on Updates in XML, held in conjunction with the EDBT/ICDT, 22 March, 2010, Lausanne, Switzerland",2010,978-1-60558-990-9,,Conference or Workshop Item (Paper),Workshop,Yes,,,XML; semi-structured data; dynamic labeling schemes; encoding schemes; XML update;,Computer Science > Information technology. Computer Science > Algorithms. Computer Science > Information retrieval. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,15345,09 Apr 2010 09:00 by  Martin F. O'Connor. Last Modified 19 Jul 2018 14:50,Proceedings of the 2010 EDBT Workshops. ACM International Conference Proceeding Series426(23).  Association for Computing Machinery. ISBN 978-1-60558-990-9,Association for Computing Machinery,http://doi.acm.org/10.1145/1754239.1754265,Copyright 2010 ACM,Enterprise Ireland,,,
Mark Roantree,Efficient cube construction for smart city data.,"Scriney, Michael, Roantree, Mark","EDBT/ICDT 2016 Joint Conference, 15-18 Mar 2016, Bordeaux, France.",2016,,,Conference or Workshop Item (Paper),Workshop,Yes,,,Smart City; Data Streams; Cubes; XML Analytics,Computer Science > Software engineering,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21119,31 Mar 2016 10:16 by  Michael John Scriney. Last Modified 23 Aug 2019 08:52,"Proceedings of the Workshops of the EDBT/ICDT 2016 Joint Conference, EDBT/ICDT Workshops 2016, Bordeaux, France, March 15, 2016. CEUR Workshop Proceedings1558.  CEUR-WS.org.",CEUR-WS.org,http://ceur-ws.org/Vol-1558/paper6.pdf,,Science Foundation Ireland under grant number SFI/12/RC/2289,,,
Mark Roantree,Synchronizing sensed data in team sports.,"McCann, Dónall, Roantree, Mark, Moyna, Niall, Whelan, Michael","ERCIM News, 1 (76). pp. 55-56",2009,,0926-4981,Article (Published),,No,,,sensor web; ERCIM; sensor networks; sensors;,Computer Science > Computer networks. Computer Science > Information technology. Physical Sciences > Detectors. Medical Sciences > Sports sciences. ,DCU Faculties and Schools > Faculty of Science and Health > School of Health and Human Performance. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,4558,08 May 2009 14:49 by  Dónall McCann. Last Modified 23 Oct 2019 14:05,,ERCIM EEIG,http://ercim-news.ercim.org/content/blogsection/14/705/,© 2009 Copyright the authors,Enterprise Ireland,,,
Mark Roantree,Data cube computational model with Hadoop MapReduce.,"Wang, Bo, Gui, Hao, Roantree, Mark, O'Connor, Martin F.","10th International Conference on Web Information Systems and Technologies (WEBIST 2014), 3-5 Apr 2014, Barcelona, Spain",2014,978-989-758-023-9,,Conference or Workshop Item (Paper),Conference,Yes,,,XML; Hadoop; Data Warehouse; MapReduce,Computer Science > Information technology. Computer Science > Information storage and retrieval systems. Computer Science > Algorithms. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,19914,16 Apr 2014 14:09 by  Martin F. O'Connor. Last Modified 19 Jul 2018 15:03,Proceedings of the 10th International Conference on Web Information Systems and Technologies.1.  SCITEPRESS. ISBN 978-989-758-023-9,SCITEPRESS,,,Science Foundation Ireland,,,
Mark Roantree,Knowledge acquisition from sensor data in an equine environment.,"Conroy, Kenneth, May, Gregory, Roantree, Mark, Warrington, Giles, Cullen, Sarah Jane, McGoldrick, Adrian","Data Warehousing and Knowledge Discovery (DAWAK) 2011, 29 Aug - 2 Sept 2011, Toulouse, France.",2011,,,Conference or Workshop Item (Paper),Conference,Yes,,,Event-Condition-Action; sensors,Computer Science > Computer software. Computer Science > Information storage and retrieval systems. Medical Sciences > Sports sciences. ,DCU Faculties and Schools > Faculty of Science and Health > School of Health and Human Performance. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,16582,12 Dec 2011 11:48 by  Kenneth Conroy. Last Modified 19 Jul 2018 14:54,Data Warehousing and Knowledge Discovery. Lecture Notes in Computer Science6862.  Springer-Verlag.,Springer-Verlag,http://www.springerlink.com/content/k233445814375714/,"© 2011 Springer-Verlag.
The original publication is available at www.springerlink.com",Science Foundation Ireland (SFI),,,
Mark Roantree,EBSL: supporting deleted node label reuse in XML.,"O'Connor, Martin F., Roantree, Mark","XSym 2010 - The 7th International XML Database Symposium, 17 Sep 2010, Singapore",2010,978-3-642-15683-0,,Conference or Workshop Item (Paper),Conference,Yes,,,XML; semi-structured data; dynamic labeling schemes; label reuse; XML update;,Computer Science > Information technology. Computer Science > Algorithms. Computer Science > Information retrieval. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,15723,23 Sep 2010 08:21 by  Martin F. O'Connor. Last Modified 19 Jul 2018 14:51,"Database and XML Technologies 7th International XML Database Symposium, XSym 2010, Singapore, September 17, 2010. Proceedings. Lecture Notes in Computer Science6309.  Springer Berlin / Heidelberg. ISBN 978-3-642-15683-0",Springer Berlin / Heidelberg,http://dx.doi.org/10.1007/978-3-642-15684-7_7,Copyright 2010 Springer Berlin / Heidelberg,Enterprise Ireland,The original publication is available at www.springerlink.com,,12.0
Mark Roantree,A configurable deep network for high-dimensional clinical trial data.,"O'Donoghue, Jim, Roantree, Mark, van Boxtel, Martin","International Joint Conference on Neural Networks (IJCNN 2015), 12-17 July 2015, Killarney, Ireland",2015,978-1-4799-1960-4,,Conference or Workshop Item (Paper),Conference,Yes,,,Deep learning; Dementia,Computer Science > Machine learning. Computer Science > Computer software. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,20866,23 Oct 2015 10:19 by  Jim O'Donoghue. Last Modified 16 Nov 2018 11:03,2015 International Joint Conference on Neural Networks (IJCNN 2015)..  IEEE. ISBN 978-1-4799-1960-4,IEEE,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=7280841,"© 2015 IEEE. Personal use of this material is permitted. Permission from IEEE must be obtained for all other users, including reprinting/ republishing this material for advertising or promotional purposes, creating new collective works for resale or redistribution to servers or lists, or reuse of any copyrighted components of this work in other works.",European Framework Programme 7,,,
Mark Roantree,Automating the integration of clinical studies into medical ontologies.,"Roantree, Mark, O'Donoghue, Jim, O'Kelly, Noel, van Boxtel, Martin, Köhler, Sebastian","47th Annual Hawaii International Conference on System Sciences (HICSS-47), 6-9 Jan 2014, Big Island, Hawaii.",2014,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Artificial intelligence. Computer Science > Computer engineering. Computer Science > Algorithms. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,19913,16 Apr 2014 14:06 by  Jim O'Donoghue. Last Modified 19 Jul 2018 15:03,"System Sciences (HICSS), 2014 47th Hawaii International Conference on..  IEEE.",IEEE,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6758966,"© 2014 IEEE
Personal use of this material is permitted. Permission from IEEE must be obtained
for all other users, including reprinting/ republishing this material for advertising or
promotional purposes, creating new collective works for resale or redistribution to servers or
lists, or reuse of any copyrighted components of this work in other works.",European Framework Programme 7,,,
