Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year,Filename,Ignore Y/N
Michael Scriney,Identifying extra-terrestrial intelligence using machine learning,"Ma Lgorzata Gutowska, Michael Scriney, Andrew McCarren",,0,2019,,
Michael Scriney,Automating Data Mart Construction from Semi-structured Data Sources,"Michael Scriney, Suzanne Mccarthy, Andrew McCarren, Paolo Cappellari, Mark Roantree",The Computer Journal 62 (3) 394-413,3,2018,,
Malika Bendechache,Simulating Across the Cloud-to-Edge Continuum,"Minas Spanopoulos-Karalexidis, Christos Filelis Papadopoulo, Konstantinos M Giannoutakis, George A Gravvanis, Dimitrios Tzovaras, Malika Bendechache, Sergej Svorobej, Patricia Takako Endo, Theo Lynn",Managing Distributed Cloud Applications and Infrastructure 93-115,0,2020,,
Malika Bendechache,Study of Distributed Dynamic Clustering Framework for Spatial Data Mining,Malika Bendechache,University College Dublin. School of Computer Science,0,2017,,
Marija Bezbradica,Scenario-Based Requirements Elicitation for User-Centric Explainable AI,"Douglas Cirqueira, Dietmar Nedbal, Markus Helfert, Marija Bezbradica",International Cross-Domain Conference for Machine Learning and Knowledge …,0,2020,,
Marija Bezbradica,Release modelling of nanoencapsulated food ingredients by probabilistic models: Cellular Automata and Monte Carlo Methods,"Marija Bezbradica, Martin Crane, Heather J. Ruskin",Release and Bioavailability of Nanoencapsulated Food Ingredients 273-309,0,2020,,
Marija Bezbradica,Predicting Students’ Academic Performance and Main Behavioral Features Using Data Mining Techniques,"Suad Almutairi, Hadil Shaiba, Marija Bezbradica",International Conference on Computing 245-259,2,2019,,
Marija Bezbradica,AI Cloud-Based Smart Manufacturing and 3D Printing Techniques for Future In-House Production,"Mohammed Saeed Jawad, Marija Bezbradica, Martin Crane, Mohammed Khalil Alijel",2019 International Conference on Artificial Intelligence and Advanced …,0,2019,,
Marija Bezbradica,"Customer Purchase Behavior Prediction in E-commerce: Current Tasks, Applications and Methodologies","Douglas Cirqueira, Markus Hofer, Dietmar Nedbal, Markus Helfert, Marija Bezbradica",International Workshop New Frontiers in Mining Complex Patterns,1,2019,,
Marija Bezbradica,Understanding Urban Mobility and Pedestrian Movement,"Marija Bezbradica, Heather J. Ruskin",Smart Urban Development,0,2019,,
Marija Bezbradica,Generic Refactoring Methodology for Cloud Migration-Position Paper,"Manoj Kesavulu, Marija Bezbradica, Markus Helfert",International Conference on Cloud Computing and Services Science 2 692-695,1,2017,,
