Research name,Publication Title,Author List,Conf/Journal Details,Year,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Rob Brennan,Design challenges for GDPR RegTech.,"Ryan, Paul, Crane, Martin, Brennan, Rob","ICEIS 2020, 22nd International Conference on Enterprise Information Systems, 5-7- May 2020, Czech Republic. (Online)",2020,978-989-758-423-7,,Conference or Workshop Item (Paper),Conference,Yes,,,GDPR; Compliance; Accountability; Data Protection Officer; RegTech,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,24547,05 Jun 2020 12:37 by  Vidatum Academic. Last Modified 05 Jun 2020 12:37,Proceedings of the 22nd International Conference on Enterprise Information Systems (ICEIS).2.  Scitepress. ISBN 978-989-758-423-7,Scitepress,https://doi.org/10.5220/0009464507870795,2020 The Authors. CC BY-NC-ND 4.0,"Science Foundation Ireland (SFI) Research Centres Programme (Grant 13/RC/2106, European Regional Development Fund",,,
Rob Brennan,An interpretable machine vision approach to human activity recognition using photoplethysmograph sensor data.,"Brophy, Eoin, Wang, Zhengwei, Dominguez Veiga, José Juan, Smeaton, Alan F., Ward, Tomás E.","Irish Conference on Artificial Intelligence and Cognitive Science (AICS 2018), 6 -7 Dec 2018, Dublin, Ireland.",2018,,,Conference or Workshop Item (Paper),Conference,Yes,,,deep learning; activity recognition; explainable artificial intelligence,Computer Science > Artificial intelligence. Computer Science > Machine learning. Computer Science > Visualization. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22807,03 Dec 2018 16:26 by  Eoin Brophy. Last Modified 23 Jun 2020 15:35,"Brennan, Rob and Beel, Joeran and Byrne, Ruth and Debattista, Jeremy and Crotti Junior, Ademar, (eds.)Proceedings for the 26th AIAI Irish Conference on Artificial Intelligence and Cognitive Science.2259.  CEUR -WS.",CEUR -WS,http://ceur-ws.org/Vol-2259/aics_22.pdf,© 2018 The Authors,Science Foundation Ireland under grant number SFI/12/RC/2289 and by SAP SE,,,
Long Cheng,Rethinking defeasible reasoning: a scalable approach.,"Maher, Michael J., Tachmazidis, Ilias, Antoniou, Grigoris, Wade, Stephen, Cheng, Long","Theory and Practice of Logic Programming, 20 (4). pp. 552-586",2020,,1471-0684,Article (Published),,Yes,,,Defeasible Reasoning; Parallel Reasoning; Scalability,Computer Science > Algorithms. Computer Science > Artificial intelligence. Computer Science > Computer engineering. ,UNSPECIFIED,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24726,01 Jul 2020 12:55 by  Long Cheng. Last Modified 25 Aug 2020 03:30,,Cambridge University Press,http://dx.doi.org/10.1017/S1471068420000010,© 2020 Cambridge University Press,,,,
Paul M. Clarke,An industrial case study to improve the onboaring process in software management. Yazılım Yönetiminde İşe Alıştırma Süreçlerinin İyileştirilmesi İçin Düşünülmüş Bir Endüstriyel Vaka Çalışması.,"Yilmaz, Murat, Güleç, Ulaş, O'Connor, Rory, Clarke, Paul, Tüzün, Eray","11th Turkish National Software Engineering Symposium (UYMS 2017), 18-20 Oct 2017, Alanya, Turkey.",2017,,,Conference or Workshop Item (Paper),Conference,Yes,,,Yazılım yönetimi; Sosyal etmenler; İşe alıştırma; oryantasyon.,Computer Science > Software engineering,Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22107,06 Nov 2017 12:27 by  Rory O'connor. Last Modified 23 Oct 2019 13:07,"Turhan, Cigdem and Coskuncay, Ahmet and Yazici, Ali and Oguztuzun, Halit, (eds.)Proceedings 11th Turkish National Software Engineering Symposium (UYMS 2017)..",,http://ceur-ws.org/Vol-1980/UYMS17_paper_71.pdf,© 2017 the Authors/Owners,,Title and abstract in Turkish and English. Article in Turkish only.,,
Martin Crane,Design challenges for GDPR RegTech.,"Ryan, Paul, Crane, Martin, Brennan, Rob","ICEIS 2020, 22nd International Conference on Enterprise Information Systems, 5-7- May 2020, Czech Republic. (Online)",2020,978-989-758-423-7,,Conference or Workshop Item (Paper),Conference,Yes,,,GDPR; Compliance; Accountability; Data Protection Officer; RegTech,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,24547,05 Jun 2020 12:37 by  Vidatum Academic. Last Modified 05 Jun 2020 12:37,Proceedings of the 22nd International Conference on Enterprise Information Systems (ICEIS).2.  Scitepress. ISBN 978-989-758-423-7,Scitepress,https://doi.org/10.5220/0009464507870795,2020 The Authors. CC BY-NC-ND 4.0,"Science Foundation Ireland (SFI) Research Centres Programme (Grant 13/RC/2106, European Regional Development Fund",,,
Jennifer Foster,Treebank embedding vectors for out-of-domain dependency parsing.,"Wagner, Joachim, Barry, James, Foster, Jennifer","58th Annual Meeting of the Association for Computational Linguistics (ACL 2020), 05-10 Jul 2020, Online (virtual conference).",2020,,,Conference or Workshop Item (Paper),Conference,Yes,,,dependency parsing,Computer Science > Computational linguistics,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,24861,27 Aug 2020 14:05 by  Joachim Wagner. Last Modified 27 Aug 2020 14:05,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics..  Association for Computational Linguistics (ACL).,Association for Computational Linguistics (ACL),http://dx.doi.org/10.18653/v1/2020.acl-main.778,© 2020 The Authors CC-BY-4.0,"Science Foundation Ireland (SFI) Research Centres Programme (Grant 13/RC/2106), European Regional Development Fund",,,
Jennifer Foster,Cross-lingual parsing with polyglot training and multi-treebank learning: a Faroese case study.,"Barry, James, Wagner, Joachim, Foster, Jennifer","The 2nd Workshop on Deep Learning Approaches for Low-Resource NLP (DeepLo 2019), 3 - 5 Nov 2019, Hong Kong, China",2019,978-1-950737-78-9,,Conference or Workshop Item (Paper),Workshop,Yes,,,Faroese language resources; knowledge transfer across related languages; dependency parsing for low-resource languages,Computer Science > Computational linguistics,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,23972,29 Nov 2019 15:58 by  Joachim Wagner. Last Modified 27 Aug 2020 14:12,Proceedings of the 2nd Workshop on Deep Learning Approaches for Low-Resource NLP (DeepLo 2019)..  Association for Computational Linguistics. ISBN 978-1-950737-78-9,Association for Computational Linguistics,http://dx.doi.org/10.18653/v1/D19-6118,© 2019 The Association for Computational Linguistics (ACL) CC-BY-4.0,"Science Foundation Ireland SFI Research Centres Programme (Grant 13/RC/2106), European Regional Development Fund",,,
Jennifer Foster,Similarity rules! Exploring methods for ad-hoc rule detection.,"Dickinson, Markus, Foster, Jennifer","TLT 7 - The 7th International Workshop on Treebanks and Linguistic Theories, 23-24 January 2009, Groningen, The Netherlands.",2009,,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Machine translating,Research Initiatives and Centres > National Centre for Language Technology (NCLT). DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,15183,16 Feb 2010 09:54 by  DORAS Administrator. Last Modified 10 Oct 2018 15:15,,,http://lotos.library.uu.nl/publish/issues/12/index.html,,,,,
Yvette Graham,Findings of the 2018 conference on machine translation (WMT18).,"Bojar, Ondřej, Federmann, Christian, Fishel, Mark, Graham, Yvette, Haddow, Barry, Huck, Matthias, Koehn, Philipp, Monz, Christof","Third Conference on Machine Translation, Volume 2: Shared Task Papers, 31 Oct - 1 Nov 2018, Brussels, Belgium.",2018,,,Conference or Workshop Item (Paper),Conference,No,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23118,03 Apr 2019 09:10 by  Dr Yvette Graham. Last Modified 22 May 2019 10:57,Proceedings of the Third Annual Conference for Machine Translation.2.  Association for Computational Linguistics (ACM).,Association for Computational Linguistics (ACM),https://www.aclweb.org/anthology/W18-6401,© 2018 ACM,"European Union’s Horizon 2020 research and innovation programme, grant Nos. 645452 (QT21) 295 and 645357 (Cracker), Connecting Europe Facility under agreement No. NEA/CEF/ICT/A2016/1331648 (ParaCrawl), Science Foundation Ireland,  SFI Research Centres Programme (Grant 13/RC/2106) co-funded under the European Regional Development Fund.",,,
Yvette Graham,Findings of the 2018 Conference on Machine Translation (WMT18).,"Bojar, Ondrej, Federmann, Christian, Fishel, Mark, Graham, Yvette, Haddow, Barry","Third Conference on Machine Translation, 31 Oct- 1 Nov 2018, Brussels, Belgium.",2018,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,24163,22 Jan 2020 14:53 by  Vidatum Academic. Last Modified 12 Aug 2020 17:25,"Proceedings of the Third Conference on Machine Translation, Volume 2: Shared Task Papers.2.  Association for Computational Linguistics (ACL).",Association for Computational Linguistics (ACL),http://dx.doi.org/10.18653/v1/W18-6401,© 2018 ACL,"European Union’s Horizon 2020 research and innovation programme under grant agreement Nos. 645452 (QT21) 295 and 645357 (Cracker, Connecting Europe Facility under agreement No. NEA/CEF/ICT/A2016/1331648 (ParaCrawl).",,,
